Date,HTML,Image,Text,Long Text
02/20/2020,raw/Wealth/20200220224848__https____www.scotiawealthmanagement.com__ca__en__home.html,," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
05/14/2020,raw/Wealth/20200514234758__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200514234758__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
06/25/2020,raw/Wealth/20200625100034__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200625100034__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
07/25/2020,raw/Wealth/20200725005245__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200725005245__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
07/25/2020,raw/Wealth/20200725005312__http____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200725005312__http____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
08/15/2020,raw/Wealth/20200815051412__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200815051412__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
09/01/2020,raw/Wealth/20200901153022__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200901153022__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
09/29/2020,raw/Wealth/20200929135539__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20200929135539__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
10/28/2020,raw/Wealth/20201028083245__https____www.scotiawealthmanagement.com__ca__en__home.html,raw/Wealth/20201028083245__https____www.scotiawealthmanagement.com__ca__en__home/content__dam__scotiabank__swm__Playful_grandparents_and_grandchildren_at_party_on_balcony.jpg2000.2000.jpg," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
12/03/2020,raw/Wealth/20201203072948__https____www.scotiawealthmanagement.com__ca__en__home.html,," Enriched Thinking® for your family, business and future. All services  News and information Sharing current thoughts, viewpoints and strategies. "," Enriched Thinking® for your family, business and future. All services  For individuals and families with complex wealth management needs who prefer to work with a collaborative team of professionals who can deliver comprehensive solutions.  News and information Sharing current thoughts, viewpoints and strategies. "
