Date,HTML,Image,Text,Long Text
04/22/2020,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__iTrade_Education_2020_WebsiteHeader_V5.jpg1280.1280.jpeg," Get Self Started. Learn how to open and fund an account, and place your first trade. "," Get Self Started. Learn how to open and fund an account, and place your first trade. "
04/22/2020,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg, NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ , NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ 
04/22/2020,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png, Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. , Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. 
04/22/2020,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200422031458__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png, Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.    ," Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  No matter where you are on life’s journey, optimizing your tax situation can help you keep more of your money. Discover how in this series of articles from Evelyn Jacks3.  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.  Scotia iTRADE is a top rated discount brokerage which offers low cost commissions and innovative technologies for any level of investor.   Manage investments on your own terms. Our powerful trading platform lets you manage your investments from a computer or mobile device with integrated banking and trading all on one screen.   Invest in yourself. Scotia iTRADE U offers a wealth of free educational tools and resources including articles, videos, webinars, and the Knowledge Navigator to help you find the educational path to your direct investing goals.   Achieve your investment goals. Whatever you’re investing for, Scotia iTRADE offers an account that will meet – and often exceed – your expectations. Discover Canada’s first sustainable investing tools for direct investors. "
05/10/2020,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__iTrade_Education_2020_WebsiteHeader_V5.jpg1280.1280.jpeg," Get Self Started. Learn how to open and fund an account, and place your first trade. "," Get Self Started. Learn how to open and fund an account, and place your first trade. "
05/10/2020,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg, NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ , NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ 
05/10/2020,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png, Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. , Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. 
05/10/2020,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200510235956__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png, Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.    ," Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  No matter where you are on life’s journey, optimizing your tax situation can help you keep more of your money. Discover how in this series of articles from Evelyn Jacks3.  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.  Scotia iTRADE is a top rated discount brokerage which offers low cost commissions and innovative technologies for any level of investor.   Manage investments on your own terms. Our powerful trading platform lets you manage your investments from a computer or mobile device with integrated banking and trading all on one screen.   Invest in yourself. Scotia iTRADE U offers a wealth of free educational tools and resources including articles, videos, webinars, and the Knowledge Navigator to help you find the educational path to your direct investing goals.   Achieve your investment goals. Whatever you’re investing for, Scotia iTRADE offers an account that will meet – and often exceed – your expectations. Discover Canada’s first sustainable investing tools for direct investors. "
05/13/2020,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__iTrade_Education_2020_WebsiteHeader_V5.jpg1280.1280.jpeg," Get Self Started. Learn how to open and fund an account, and place your first trade. "," Get Self Started. Learn how to open and fund an account, and place your first trade. "
05/13/2020,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg, NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ , NEW! Get self-started with our how-to videos Boost your investing know-how and trade with confidence – watch our educational videos+ 
05/13/2020,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png, Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. , Get self-started with self-directed investing. Our standard commission pricing is just $9.99 for equities and options trades1. 
05/13/2020,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading.html,raw/iTrade/20200513072749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png, Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.    ," Diversify your portfolio with US dollar registered accounts. Take advantage of investment opportunities in U.S. markets. New Clients Existing Clients Make life less taxing  No matter where you are on life’s journey, optimizing your tax situation can help you keep more of your money. Discover how in this series of articles from Evelyn Jacks3.  Why Scotia iTRADE? Some great reasons to join Scotia iTRADE today.  Scotia iTRADE is a top rated discount brokerage which offers low cost commissions and innovative technologies for any level of investor.   Manage investments on your own terms. Our powerful trading platform lets you manage your investments from a computer or mobile device with integrated banking and trading all on one screen.   Invest in yourself. Scotia iTRADE U offers a wealth of free educational tools and resources including articles, videos, webinars, and the Knowledge Navigator to help you find the educational path to your direct investing goals.   Achieve your investment goals. Whatever you’re investing for, Scotia iTRADE offers an account that will meet – and often exceed – your expectations. Discover Canada’s first sustainable investing tools for direct investors. "
