Week,HTML,Page Views,Visits,Unique Visitors
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,60101,49272,28719
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,17367,12826,10126
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,5480,4388,3997
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,3728,3001,2086
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,3424,2836,2015
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/registered-acco,3708,2640,2329
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/faqs/contact-us.html,2875,2553,2107
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/how-to-make-it,3705,2531,2268
2020-03-29,https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/open-a-practice,3330,2322,2060
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne.html,1775,1439,863
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte.html,390,323,260
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/tarification-concurrentie,427,247,225
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/options-de-placement/acti,117,100,94
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/pourquoi-scotia-itrade/of,160,89,80
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/options-de-placement/comp,138,84,76
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte/liste-de,99,83,68
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/ouvrir-un-compte/comptes-,108,77,71
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/formation.html,90,61,55
2020-03-29,https://www.scotiaitrade.com/fr/investissement-direct-and-trading-en-ligne/faq/contactez-nous.html,60,48,40
