#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jan 2, 2022 - Jan 8, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4172
Windows 10,1981
OS X 10.15,591
Mobile iOS 15.1,296
Android 11,220
Android 10,127


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4172
Google Chrome 96.0,1282
Chrome Mobile 96.0,386
Microsoft Edge 96.0,319
Safari 0.8.2,282
Safari 15.1,280


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4172
None,2890
Apple iPhone,647
Apple iPad,129
Samsung Galaxy S20 FE 5G (SM-G781W),17
Samsung Galaxy S10 (SM-G973W),12


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4172
Canada,2946
United States,417
Mexico,198
Peru,158
India,85
Pakistan,72
Nigeria,36
United Kingdom,27
Philippines,20
Netherlands,18
Jamaica,16
Germany,16
Czech Republic,11
France,10
Bangladesh,10
Chile,9
Bahamas,7
Colombia,6
Costa Rica,6
China,6
Spain,6
Dominican Republic,5
Israel,5
Brazil,5
Russian Federation,4
Trinidad and Tobago,4
United Arab Emirates,3
Nepal,3
Venezuela,3
Indonesia,3
Egypt,3
South Africa,3
Thailand,3
Australia,3
New Zealand,2
Singapore,2
Turkey,2
Cyprus,2
Ghana,2
Ecuador,2
Argentina,2
Portugal,2
Switzerland,2
Panama,2
Kenya,2
Morocco,2
Haiti,1
Tunisia,1
Greece,1
Hong Kong SAR of China,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4172
Ontario (Canada),1604
Alberta (Canada),393
British Columbia (Canada),391
Quebec (Canada),286
Metropolitana De Lima (Peru),131
Ciudad De Mexico (Mexico),98
California (United States),97
Nova Scotia (Canada),94
Manitoba (Canada),57
Saskatchewan (Canada),47
Florida (United States),47
New Brunswick (Canada),43
Punjab (Pakistan),43
Texas (United States),42
New York (United States),32
Ohio (United States),20
Mexico (Mexico),19
Arizona (United States),19
Lagos (Nigeria),19
Newfoundland and Labrador (Canada),18
Sindh - South (Pakistan),17
Prince Edward Island (Canada),17
Washington (United States),16
Zuid-Holland (Netherlands),15
Kano (Nigeria),15
Louisiana (United States),15
Jalisco (Mexico),15
Oregon (United States),15
Maharashtra (India),15
Virginia (United States),12
London (United Kingdom),11
Praha (Czech Republic),11
Kingston (Jamaica),11
North Carolina (United States),10
District of Columbia (United States),10
Islamabad (Pakistan),10
Delhi (India),10
Wyoming (United States),10
Bayern (Germany),9
Region Metro De Santiago (Chile),9
Ile-De-France (France),9
Dhaka (Bangladesh),8
Nuevo Leon (Mexico),8
South Carolina (United States),7
Puebla (Mexico),7
Pennsylvania (United States),7
Quintana Roo (Mexico),7
Punjab (India),7
New Jersey (United States),7
Uttar Pradesh (India),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Jan 2, 2022 - Jan 8, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Gestion de patrimoine Scotia,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,4166
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,1656
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,651
SB:en:swm:ScotiaMcLeod® Online - Scotia Wealth Management,415
SB:es:swm:Pagina principal,410
SB:en:swm:Scotiatrust® - Scotia Wealth Management,257
