#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Feb 27, 2022 - Mar 5, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,5674
Windows 10,2619
OS X 10.15,844
Mobile iOS 15.3.1,665
Android 12,160
Mobile iOS 15.3,156


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,5674
Google Chrome 98.0,1634
Safari 15.3,803
Safari,460
Chrome Mobile 98.0,453
Microsoft Edge 98.0,442


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,5674
None,3869
Apple iPhone,1128
Apple iPad,156
Samsung Galaxy S10 (SM-G973W),24
Samsung Galaxy S20 FE 5G (SM-G781W),20


##############################################
# Countries
##############################################
,Unique Visitors
Countries,5674
Canada,4525
United States,536
Mexico,216
Peru,64
India,53
United Kingdom,24
Germany,21
Netherlands,20
Spain,18
France,17
Bahamas,13
Colombia,12
Pakistan,11
Czech Republic,9
Dominican Republic,8
Switzerland,7
Bangladesh,7
Lithuania,7
Trinidad and Tobago,6
Chile,5
Barbados,5
Brazil,5
Italy,4
Kenya,4
Cayman Islands,4
Costa Rica,3
Hong Kong SAR of China,3
Saudi Arabia,3
Ecuador,3
China,3
Argentina,3
South Korea,3
Panama,3
Nigeria,3
Russian Federation,3
Philippines,3
Japan,3
Singapore,2
Nepal,2
Taiwan region,2
Egypt,2
Finland,2
Thailand,2
Jamaica,2
Israel,2
Australia,2
Morocco,2
Luxembourg,1
Turks and Caicos Islands,1
United Arab Emirates,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,5674
Ontario (Canada),2415
British Columbia (Canada),638
Alberta (Canada),589
Quebec (Canada),412
Nova Scotia (Canada),143
Saskatchewan (Canada),113
Ciudad De Mexico (Mexico),107
California (United States),98
Florida (United States),87
Manitoba (Canada),86
New Brunswick (Canada),84
Metropolitana De Lima (Peru),52
Newfoundland and Labrador (Canada),41
Virginia (United States),41
Texas (United States),38
New York (United States),37
Mexico (Mexico),24
Jalisco (Mexico),24
Oregon (United States),23
Arizona (United States),21
District of Columbia (United States),19
Illinois (United States),19
Ohio (United States),18
North Carolina (United States),18
Ile-De-France (France),15
Zuid-Holland (Netherlands),14
Madrid (Spain),14
Prince Edward Island (Canada),14
Washington (United States),14
Wyoming (United States),12
New Providence (Bahamas),10
Nuevo Leon (Mexico),10
Praha (Czech Republic),9
New Jersey (United States),9
Maharashtra (India),9
Bayern (Germany),8
Distrito Nacional (Dominican Republic),8
Bihar (India),8
Nevada (United States),8
Iowa (United States),7
Hessen (Germany),7
Yucatan (Mexico),7
Chihuahua (Mexico),7
Queretaro (Mexico),7
Massachusetts (United States),6
Dhaka (Bangladesh),6
Vilniaus (Lithuania),6
Delaware (United States),6
Michigan (United States),6
Distrito Capital (Colombia),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Feb 27, 2022 - Mar 5, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Wealth Management Canada,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,5663
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,2105
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,734
SB:en:swm:Annual Tax Reporting & Resources - Scotia Wealth Management,662
SB:en:swm:Tax Slips Checklist - Scotia Wealth Management,556
SB:en:swm:ScotiaMcLeod® Online - Scotia Wealth Management,472
SB:es:swm:Pagina principal,296
SWM:Contact US,238
SB:en:swm:Private Banking - Scotia Wealth Management,219
SB:en:swm:Important Tax Dates For 2021 - Scotia Wealth Management,205
SB:fr:swm:Gestion de patrimoine Canada - Gestion de patrimoine Scotia,179
SB:en:swm:Tax Documents FAQs - Scotia Wealth Management,167
SB:en:swm:Scotiatrust® - Scotia Wealth Management,160
SB:en:swm:About us - Scotia Wealth Management,123
SB:en:swm:Investment Management Services in Canada - Scotia Wealth Management,115
SB:en:swm:Wealth Management Services in Canada - Scotia Wealth Management,105
SB:en:swm:Client Resource Centre - Scotia Wealth Management,96
SB:en:swm:J.P. Bickell Foundation grants - Scotia Wealth Management,89
SB:en:swm:Private Investment Counsel - Scotia Wealth Management,86
SB:en:swm:Home,77
SB:en:swm:Estate Planning & Trust Services - Scotia Wealth Management,72
SB:en:swm:J.P. Bickell Foundation - Scotia Wealth Management,69
SB:en:swm:Tailored solutions for individuals and families - Scotia Wealth Management,67
SB:en:swm:The Scotiabank Women Initiative™ - Scotia Wealth Management,64
SB:en:swm:Total Wealth Planning - Scotia Wealth Management,63
SB:en:swm:Foundations - Scotia Wealth Management,52


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),5674
https://www.scotiawealthmanagement.com/ca/en.html,1609
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-annual-tax-reporting.html,662
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html,570
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-tax-slips-checklist.html,566
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiamcleod-online-account.html,472
https://www.scotiawealthmanagement.com/ca/en/connect-with-us.html,239
https://www.scotiawealthmanagement.com/ca/en/services/private-banking.html,218
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-important-tax-dates.html,206
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html?gclid=,174
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-tax-documents.html,167
https://www.scotiawealthmanagement.com/ca/fr.html,139
https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,132
https://www.scotiawealthmanagement.com/ca/en/about-us.html,127
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust.html,113
https://www.scotiawealthmanagement.com/ca/en/services/investment-management.html,112
https://www.scotiawealthmanagement.com/ca/en/services.html,105
https://www.scotiawealthmanagement.com/ca/en/resource-centre.html,96
(Low Traffic),94
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/jp-bickell-foundation/application-,89
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/private-investment-couns,86
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/jp-bickell-foundation.html,73
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/estate-and-trust-services.html,72
https://www.scotiawealthmanagement.com/intl/es/pagina-principal.html,70
https://www.scotiawealthmanagement.com/intl/en/home.html,66
https://www.scotiawealthmanagement.com/ca/en/tailored-solutions/individuals-and-families.html,66
https://www.scotiawealthmanagement.com/ca/en/services/the-scotiabank-women-initiative.html,58
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/foundations.html,50
https://www.scotiawealthmanagement.com/ca/en/services/total-wealth-planning.html,50
https://www.scotiawealthmanagement.com/ca/en/connect-with-us/thank-you.html,49
https://www.scotiawealthmanagement.com/ca/en/services/private-banking/borrowing-to-invest.html,46
https://www.scotiawealthmanagement.com/ca/en/services/the-scotiabank-women-initiative/knowledge-cent,45
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,38
https://www.scotiawealthmanagement.com/ca/en/tailored-solutions.html,32
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,28
https://www.scotiawealthmanagement.com/ca/en/services/private-banking/concierge.html,24
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html?gclsrc,20
