#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Mar 20, 2022 - Mar 26, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,5825
Windows 10,2718
OS X 10.15,796
Mobile iOS 15.3.1,514
Android 11,219
Mobile iOS 15.3,180


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,5825
Google Chrome 99.0,2006
Safari 15.3,811
Chrome Mobile 99.0,543
Microsoft Edge 99.0,444
Mozilla Firefox 98.0,194


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,5825
None,4039
Apple iPhone,927
Apple iPad,174
Samsung Galaxy S20 FE 5G (SM-G781W),27
Samsung Galaxy S21 5G (SM-G991W),20


##############################################
# Countries
##############################################
,Unique Visitors
Countries,5825
Canada,4336
United States,481
India,390
Mexico,201
Pakistan,64
Germany,32
United Kingdom,24
Peru,22
Spain,19
France,15
Bangladesh,14
Nigeria,13
Philippines,12
Colombia,11
Jamaica,11
Barbados,9
China,9
Bahamas,8
Netherlands,8
Dominican Republic,7
Switzerland,7
Romania,7
South Korea,6
Brazil,6
Costa Rica,5
Singapore,5
Chile,5
Ethiopia,5
United Arab Emirates,4
Italy,4
Ecuador,4
Finland,4
Ireland,4
Australia,4
Cayman Islands,4
Hong Kong SAR of China,3
Argentina,3
Panama,3
Kenya,3
Thailand,3
Austria,3
Israel,3
Lithuania,3
Tunisia,2
Nepal,2
Ghana,2
Venezuela,2
Indonesia,2
Egypt,2
Cote D Ivoire,2


##############################################
# Regions
##############################################
,Unique Visitors
Regions,5825
Ontario (Canada),2359
British Columbia (Canada),553
Alberta (Canada),521
Quebec (Canada),423
Nova Scotia (Canada),164
Ciudad De Mexico (Mexico),102
Saskatchewan (Canada),101
California (United States),86
New Brunswick (Canada),85
Manitoba (Canada),79
Maharashtra (India),77
Florida (United States),57
Ohio (United States),54
Texas (United States),50
Delhi (India),49
Newfoundland and Labrador (Canada),47
Uttar Pradesh (India),39
Punjab (Pakistan),39
New York (United States),37
Rajasthan (India),34
Madhya Pradesh (India),27
Bayern (Germany),26
Oregon (United States),25
Bihar (India),25
Gujarat (India),21
Telangana (India),21
Metropolitana De Lima (Peru),20
West Bengal (India),19
Virginia (United States),18
Sindh - South (Pakistan),18
Mexico (Mexico),16
Arizona (United States),15
Prince Edward Island (Canada),15
Ile-De-France (France),15
Washington (United States),15
Jalisco (Mexico),14
Odisha (India),13
Madrid (Spain),13
Illinois (United States),13
Nuevo Leon (Mexico),13
Karnataka (India),12
Haryana (India),12
New Jersey (United States),12
Dhaka (Bangladesh),11
Michigan (United States),11
Kingston (Jamaica),11
North Carolina (United States),10
Chihuahua (Mexico),10
Saint Michael (Barbados),9
Tamil Nadu (India),9


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Mar 20, 2022 - Mar 26, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Next
Focus,Step 1,Path views
GWM:Home,,0
GWM:Home,English,1

Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Wealth Management Canada,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,5817
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,2335
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,797
SB:en:swm:ScotiaMcLeod® Online - Scotia Wealth Management,449
SB:en:swm:Tax Slips Checklist - Scotia Wealth Management,417
SB:en:swm:Annual Tax Reporting & Resources - Scotia Wealth Management,399
SB:en:swm:Scotiatrust® - Scotia Wealth Management,309
SB:en:swm:Private Banking - Scotia Wealth Management,263
SWM:Contact US,257
SB:es:swm:Pagina principal,228
SB:en:swm:Investment Management Services in Canada - Scotia Wealth Management,201
SB:en:swm:Tax Documents FAQs - Scotia Wealth Management,166
SB:en:swm:About us - Scotia Wealth Management,142
SB:en:swm:J.P. Bickell Foundation - Scotia Wealth Management,139
SB:en:swm:Important Tax Dates For 2021 - Scotia Wealth Management,126
SB:en:swm:J.P. Bickell Foundation grants - Scotia Wealth Management,121
SB:fr:swm:Gestion de patrimoine Canada - Gestion de patrimoine Scotia,119
SB:en:swm:Wealth Management Services in Canada - Scotia Wealth Management,109
SB:en:swm:Client Resource Centre - Scotia Wealth Management,101
SB:en:swm:Home,93
SB:en:swm:Tailored solutions for individuals and families - Scotia Wealth Management,85
SB:en:swm:The Scotiabank Women Initiative™ - Scotia Wealth Management,80
SB:en:swm:Estate Planning & Trust Services - Scotia Wealth Management,76
SB:en:swm:Private Investment Counsel - Scotia Wealth Management,75
SB:en:swm:Total Wealth Planning - Scotia Wealth Management,73
swm:Thank You,58


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),5825
https://www.scotiawealthmanagement.com/ca/en.html,1429
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html,487
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiamcleod-online-account.html,444
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-tax-slips-checklist.html,417
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-annual-tax-reporting.html,399
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html?gclid=,314
https://www.scotiawealthmanagement.com/ca/en/services/private-banking.html,260
https://www.scotiawealthmanagement.com/ca/en/connect-with-us.html,258
https://www.scotiawealthmanagement.com/ca/en/services/investment-management.html,173
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-tax-documents.html,166
https://www.scotiawealthmanagement.com/ca/en/about-us.html,143
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/jp-bickell-foundation.html,141
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiawealth-important-tax-dates.html,127
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/jp-bickell-foundation/application-,122
https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,117
https://www.scotiawealthmanagement.com/ca/fr.html,114
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust.html,108
https://www.scotiawealthmanagement.com/ca/en/services.html,103
https://www.scotiawealthmanagement.com/ca/en/resource-centre.html,101
https://www.scotiawealthmanagement.com/intl/en/home.html,87
https://www.scotiawealthmanagement.com/ca/en/tailored-solutions/individuals-and-families.html,83
https://www.scotiawealthmanagement.com/ca/en/services/the-scotiabank-women-initiative.html,79
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/private-investment-couns,75
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/estate-and-trust-services.html,74
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust/foundations.html,54
https://www.scotiawealthmanagement.com/ca/en/connect-with-us/thank-you.html,53
https://www.scotiawealthmanagement.com/ca/en/services/private-banking/borrowing-to-invest.html,53
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,37
https://www.scotiawealthmanagement.com/ca/en/services/total-wealth-planning.html,36
https://www.scotiawealthmanagement.com/ca/en/services/private-banking/concierge.html,35
https://www.scotiawealthmanagement.com/ca/en/tailored-solutions.html,35
https://www.scotiawealthmanagement.com/ca/en/services/the-scotiabank-women-initiative/knowledge-cent,28
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,24
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html?gclsrc,24
https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,23
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust.html?gclid=CjwKCAjwoduRBhA4EiwACL5,23
https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,21
https://www.scotiawealthmanagement.com/ca/en/services/total-wealth-planning/insurance.html,20
