#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: May 17, 2020 - May 23, 2020"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4173
Windows 10,2000
Windows 7,336
OS X 10.15,281
Mobile iOS 13.4.1,235
Android 9,194


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4173
Google Chrome 81.0,1275
Google Chrome 79.0,386
Chrome Mobile 81.0,350
Microsoft Internet Explorer 11,333
Safari 0.8.2,256


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4173
None,3163
Apple iPhone,426
Apple iPad,141
Samsung Galaxy S8 (SM-G950W),17
Samsung Galaxy S9 (SM-G960W),13


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4173
Canada,2512
United States,635
Mexico,337
Peru,335
Germany,40
Colombia,36
United Kingdom,34
India,17
Netherlands,17
Finland,14
Spain,13
Egypt,12
France,12
Australia,10
Nigeria,9
Hong Kong SAR of China,8
Bahamas,7
Austria,7
Jamaica,7
Russian Federation,7
Brazil,7
Chile,6
Argentina,6
Pakistan,6
Portugal,5
Philippines,5
Italy,4
Barbados,3
South Korea,3
Switzerland,3
Panama,3
Uruguay,3
Trinidad and Tobago,3
New Zealand,2
United Arab Emirates,2
Dominican Republic,2
Ecuador,2
Kenya,2
Ireland,2
Denmark,2
Romania,2
Bangladesh,2
Cayman Islands,2
Czech Republic,2
Bulgaria,2
Luxembourg,1
Costa Rica,1
Uganda,1
Singapore,1
Uzbekistan,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4173
Ontario (Canada),1393
British Columbia (Canada),348
Alberta (Canada),292
Metropolitana De Lima (Peru),258
Quebec (Canada),239
Ciudad De Mexico (Mexico),121
Nova Scotia (Canada),96
California (United States),88
New York (United States),79
Georgia (United States),73
Saskatchewan (Canada),54
Virginia (United States),51
Texas (United States),44
Florida (United States),36
Distrito Capital (Colombia),33
Pennsylvania (United States),32
Manitoba (Canada),31
Delaware (United States),31
Jalisco (Mexico),28
New Brunswick (Canada),28
Nuevo Leon (Mexico),28
Newfoundland and Labrador (Canada),27
Washington (United States),27
La Libertad (Peru),26
Mexico (Mexico),25
Arizona (United States),24
New Jersey (United States),22
Bayern (Germany),20
Illinois (United States),19
Wyoming (United States),18
Noord-Holland (Netherlands),15
Arequipa (Peru),14
Massachusetts (United States),14
Uusimaa (Finland),14
Hessen (Germany),13
Oregon (United States),13
Iowa (United States),12
Veracruz (Mexico),12
Al Qahirah (Egypt),12
Nevada (United States),11
Coahuila (Mexico),10
Colorado (United States),10
Piura (Peru),10
Baja California (Mexico),10
Guanajuato (Mexico),9
Morelos (Mexico),9
Yucatan (Mexico),9
Ile-De-France (France),9
Chihuahua (Mexico),9
Sonora (Mexico),9


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: May 17, 2020 - May 23, 2020"
# Segments: SWM
#=================================================================


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,4169
SB:en:swm:Home,1698
SB:es:swm:Pagina principal,771
SB:en:swm:ScotiaMcLeod,491
SB:en:swm:Investment Management,270
SB:en:swm:Private Banking,224
