#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jun 20, 2021 - Jun 26, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4103
Windows 10,2004
OS X 10.15,529
Mobile iOS 14.6,463
Android 10,132
Android 11,121


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4103
Google Chrome 91.0,1462
Safari 14.1,370
Chrome Mobile 91.0,327
Microsoft Edge 91.0,256
Safari 14.1.1,230


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4103
None,3056
Apple iPhone,557
Apple iPad,115
Samsung Galaxy S9 (SM-G960W),14
Samsung Galaxy S10 (SM-G973W),12


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4103
Canada,2835
United States,484
Mexico,221
Peru,210
Russian Federation,64
India,34
Bahamas,28
United Kingdom,27
Germany,27
Colombia,13
Netherlands,12
Austria,10
France,9
Finland,8
Nigeria,8
Dominican Republic,7
Chile,7
China,7
Jamaica,7
Philippines,7
Spain,6
Brazil,6
Hong Kong SAR of China,4
Ukraine,4
Costa Rica,3
United Arab Emirates,3
Ghana,3
Taiwan region,3
South Africa,3
Israel,3
Singapore,2
Barbados,2
South Korea,2
Switzerland,2
Sweden,2
Kenya,2
Ireland,2
Uruguay,2
Pakistan,2
Australia,2
Malaysia,2
Trinidad and Tobago,2
Morocco,2
Curacao,1
Saudi Arabia,1
Serbia,1
Venezuela,1
Portugal,1
Norway,1
Benin,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4103
Ontario (Canada),1630
British Columbia (Canada),367
Alberta (Canada),320
Quebec (Canada),269
Metropolitana De Lima (Peru),170
Virginia (United States),122
Ciudad De Mexico (Mexico),104
Nova Scotia (Canada),68
Moskva (Russian Federation),61
Manitoba (Canada),60
New Brunswick (Canada),59
California (United States),50
Saskatchewan (Canada),47
New York (United States),44
Oregon (United States),41
Texas (United States),34
Florida (United States),29
Jalisco (Mexico),25
New Providence (Bahamas),24
Mexico (Mexico),19
Louisiana (United States),19
New Jersey (United States),19
Washington (United States),18
Wyoming (United States),16
Newfoundland and Labrador (Canada),15
Arequipa (Peru),14
Prince Edward Island (Canada),13
Noord-Holland (Netherlands),12
Massachusetts (United States),11
Distrito Capital (Colombia),11
Wien (Austria),10
La Libertad (Peru),10
Nordrhein-Westfalen (Germany),10
Iowa (United States),9
Colorado (United States),9
Ile-De-France (France),9
Maharashtra (India),9
Uusimaa (Finland),8
Nuevo Leon (Mexico),8
Ohio (United States),7
Puebla (Mexico),7
Maryland (United States),7
Michigan (United States),7
Region Metro De Santiago (Chile),7
Bayern (Germany),6
Distrito Nacional (Dominican Republic),6
North Carolina (United States),6
Guanajuato (Mexico),6
Veracruz (Mexico),6
Lagos (Nigeria),6


#=================================================================
