#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jul 11, 2021 - Jul 17, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4491
Windows 10,2447
Mobile iOS 14.6,558
OS X 10.15,495
Android 11,145
Android 10,126


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4491
Google Chrome 91.0,1619
Safari 14.1,455
Chrome Mobile 91.0,353
Microsoft Edge 91.0,304
Safari 14.1.1,232


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4491
None,3339
Apple iPhone,642
Apple iPad,100
Samsung Galaxy S10 (SM-G973W),13
Samsung Galaxy S9 (SM-G960W),12


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4491
Canada,3128
United States,482
Mexico,216
Peru,201
Russian Federation,104
India,34
Netherlands,30
Finland,26
United Kingdom,22
Germany,20
France,15
Austria,15
Chile,13
Bahamas,12
Nigeria,11
Colombia,10
Jamaica,10
Spain,9
Philippines,9
Italy,8
Ukraine,8
Hong Kong SAR of China,6
Dominican Republic,6
Brazil,6
Greece,5
Argentina,5
South Africa,5
Trinidad and Tobago,5
Barbados,4
China,4
Pakistan,4
Japan,4
Ghana,3
South Korea,3
Switzerland,3
Kenya,3
Thailand,3
Ireland,3
Israel,3
Uruguay,3
Costa Rica,2
Singapore,2
United Arab Emirates,2
Portugal,2
Sweden,2
Panama,2
Algeria,2
Bangladesh,2
Jersey,2
Uganda,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4491
Ontario (Canada),1802
British Columbia (Canada),415
Quebec (Canada),355
Alberta (Canada),307
Metropolitana De Lima (Peru),164
Ciudad De Mexico (Mexico),94
Nova Scotia (Canada),87
Moskva (Russian Federation),75
California (United States),58
Texas (United States),53
Manitoba (Canada),49
Virginia (United States),47
New York (United States),46
Saskatchewan (Canada),43
New Brunswick (Canada),37
Iowa (United States),34
Washington (United States),33
Noord-Holland (Netherlands),30
Wyoming (United States),29
Oregon (United States),28
Uusimaa (Finland),26
Mexico (Mexico),25
Arequipa (Peru),20
Jalisco (Mexico),19
Florida (United States),19
Newfoundland and Labrador (Canada),18
Prince Edward Island (Canada),17
Nuevo Leon (Mexico),15
Wien (Austria),14
Michigan (United States),13
Region Metro De Santiago (Chile),13
Ile-De-France (France),13
Georgia (United States),12
Bayern (Germany),11
Massachusetts (United States),11
New Providence (Bahamas),11
Ohio (United States),10
Louisiana (United States),10
Kingston (Jamaica),10
Maharashtra (India),10
Delaware (United States),9
Distrito Capital (Colombia),9
Sankt-Peterburg (Russian Federation),9
Maryland (United States),7
Kyiv (Ukraine),7
Queretaro (Mexico),7
New Jersey (United States),7
Hong Kong (Hong Kong SAR of China),6
Sinaloa (Mexico),6
District of Columbia (United States),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Jul 11, 2021 - Jul 17, 2021"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Next
Focus,Step 1,Path views
GWM:Home,,0
GWM:Home,English,1

Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,English,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,4485
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,1929
SB:en:swm:ScotiaMcLeod,599
SB:es:swm:Pagina principal,478
SB:en:swm:ScotiaMcLeod online,346
SB:en:swm:Private Banking,270
SB:en:swm:Scotiatrust,230
SB:en:swm:Contact us,214
SB:en:swm:Investment Management Services Canada,186
SWM:Contact US,185
SB:en:swm:The Scotiabank Women Initiative,183
SB:en:swm:About us,165
SB:en:swm:Resource Centre,144
SB:en:swm:Total Wealth Planning,107
SB:fr:swm:Accueil,103
SB:en:swm:Private Investment Counsel,99
SB:en:swm:Foundations,82
SB:en:swm:J.P. Bickell Foundation,76
SB:en:swm:Home,75
SB:en:swm:Explore Your Priorities tool,62
SB:en:swm:J. P. Bickell Foundation General Charities Grant A,45
SB:es:swm:Banca Privada,36
SB:es:swm:Contrato de Inversion Scotiabank,35
swm:Thank You,30
SB:en:swm:Annual tax reporting,28
SB:es:swm:Contáctanos,26


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),4491
https://www.scotiawealthmanagement.com/ca/en/home.html,1590
