#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jul 31, 2022 - Aug 6, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,24926
Windows 10,22439
OS X 10.15,692
Mobile iOS 15.5,509
Mobile iOS 15.6,438
Android 12,143


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,24926
Google Chrome 58.0,19946
Google Chrome 103.0,860
Microsoft Edge 103.0,613
Safari 0.8.2,415
Safari 15.5,388


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,24926
None,23362
Apple iPhone,1131
Apple iPad,141
Samsung Galaxy S20 FE 5G (SM-G781W),17
Vivo S1 (1907),13


##############################################
# Countries
##############################################
,Unique Visitors
Countries,24926
Canada,23394
United States,590
Mexico,131
Netherlands,98
India,77
United Kingdom,72
Czech Republic,68
Germany,51
Japan,36
Brazil,34
Singapore,24
Australia,23
China,19
Bahamas,16
Austria,16
Pakistan,16
France,15
United Arab Emirates,13
Hong Kong SAR of China,13
Finland,13
Spain,11
Colombia,10
Switzerland,10
Jamaica,10
Peru,9
Philippines,9
Russian Federation,8
Costa Rica,7
Greece,7
Dominican Republic,6
Kuwait,6
Portugal,5
Cayman Islands,5
New Zealand,4
Chile,4
Indonesia,4
Panama,4
Ireland,4
Denmark,4
Jordan,4
Lithuania,4
Bulgaria,4
Senegal,3
Ghana,3
Venezuela,3
Argentina,3
Namibia,3
Cameroon,3
Mauritius,3
Nigeria,3


##############################################
# Regions
##############################################
,Unique Visitors
Regions,24926
Quebec (Canada),20307
Ontario (Canada),1896
British Columbia (Canada),450
Alberta (Canada),375
Nova Scotia (Canada),171
Virginia (United States),107
California (United States),101
Zuid-Holland (Netherlands),90
Oregon (United States),87
Manitoba (Canada),72
Ciudad De Mexico (Mexico),70
Praha (Czech Republic),68
Ohio (United States),67
London (United Kingdom),57
New York (United States),56
New Brunswick (Canada),48
Saskatchewan (Canada),47
Tokyo (Japan),36
Florida (United States),35
Hessen (Germany),33
Sao Paulo (Brazil),27
Texas (United States),27
Central (Singapore),21
New South Wales (Australia),21
Maharashtra (India),20
Newfoundland and Labrador (Canada),19
Rajasthan (India),15
New Providence (Bahamas),14
New Jersey (United States),14
Hong Kong (Hong Kong SAR of China),13
Ile-De-France (France),13
Dubai (United Arab Emirates),12
Uusimaa (Finland),12
Washington (United States),12
Nuevo Leon (Mexico),12
Wien (Austria),11
Missouri (United States),11
Kingston (Jamaica),10
North Carolina (United States),9
Wyoming (United States),9
Unspecified,9
Bayern (Germany),8
Vaud (Switzerland),8
Gujarat (India),8
Prince Edward Island (Canada),8
Jalisco (Mexico),7
Metropolitana De Lima (Peru),7
Henan Sheng (China),7
Noord-Holland (Netherlands),7
San Jose (Costa Rica),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Jul 31, 2022 - Aug 6, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Next
Focus,Step 1,Path views
GWM:Home,,0
GWM:Home,Wealth Management Canada,1

Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Wealth Management Canada,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,24888
SB:en:swm:Home,5751
