#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Sep 27, 2020 - Oct 3, 2020"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4554
Windows 10,2116
OS X 10.15,405
Mobile iOS 13.7,395
Android 10,222
Windows 7,187


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4554
Google Chrome 85.0,1326
Google Chrome 79.0,410
Safari 13.1,363
Chrome Mobile 85.0,350
Safari,238


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4554
None,3142
Apple iPhone,834
Apple iPad,128
Samsung Galaxy S10 (SM-G973W),25
Samsung Galaxy S8 (SM-G950W),19


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4554
Canada,3065
United States,688
Mexico,285
Peru,218
Germany,29
United Kingdom,27
Colombia,23
France,16
Netherlands,16
Finland,14
India,14
Bahamas,12
Jamaica,11
Hong Kong SAR of China,8
Austria,7
Russian Federation,7
Philippines,7
New Zealand,6
Italy,6
Egypt,6
Spain,6
Trinidad and Tobago,6
Dominican Republic,5
Argentina,5
Australia,5
Brazil,5
Sweden,4
Chile,3
Barbados,3
Taiwan region,3
Ukraine,3
Uruguay,3
Bolivia,3
Cayman Islands,3
United Arab Emirates,2
China,2
Portugal,2
Nigeria,2
Bermuda,2
Japan,2
Costa Rica,1
Guernsey,1
Singapore,1
Tunisia,1
Curacao,1
Ecuador,1
Belgium,1
Norway,1
Croatia,1
Saint Lucia,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4554
Ontario (Canada),1818
British Columbia (Canada),381
Alberta (Canada),309
Quebec (Canada),300
Metropolitana De Lima (Peru),181
Ciudad De Mexico (Mexico),119
California (United States),90
Nova Scotia (Canada),89
New York (United States),88
Georgia (United States),79
Texas (United States),65
Saskatchewan (Canada),63
Manitoba (Canada),52
New Brunswick (Canada),40
Virginia (United States),39
Washington (United States),38
New Jersey (United States),35
Wyoming (United States),34
Mexico (Mexico),32
Florida (United States),31
Iowa (United States),26
Jalisco (Mexico),22
Bayern (Germany),21
Illinois (United States),21
Newfoundland and Labrador (Canada),20
Idaho (United States),17
Distrito Capital (Colombia),17
Ile-De-France (France),15
Noord-Holland (Netherlands),15
Uusimaa (Finland),14
Arizona (United States),14
Nuevo Leon (Mexico),13
Puebla (Mexico),12
Pennsylvania (United States),12
La Libertad (Peru),11
New Providence (Bahamas),11
Nevada (United States),11
Chihuahua (Mexico),11
Coahuila (Mexico),10
Colorado (United States),9
Kingston (Jamaica),9
Connecticut (United States),9
Hong Kong (Hong Kong SAR of China),8
Arequipa (Peru),8
Sinaloa (Mexico),8
Massachusetts (United States),8
Baja California (Mexico),8
London (United Kingdom),7
Sonora (Mexico),7
Ohio (United States),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Sep 27, 2020 - Oct 3, 2020"
# Segments: SWM
#=================================================================


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,4548
SB:en:swm:Home,1714
SWM:Contact US,683
SB:es:swm:Pagina principal,616
SB:en:swm:ScotiaMcLeod,523
SB:en:swm:ScotiaMcLeod online,279
SB:en:swm:Private Banking,253
SB:en:swm:Scotiatrust,193
