#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Nov 15, 2020 - Nov 21, 2020"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4209
Windows 10,2157
OS X 10.15,398
Mobile iOS 14.1,298
Windows 7,188
Android 10,177


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4209
Google Chrome 86.0,1218
Safari 14.0,459
Google Chrome 79.0,358
Chrome Mobile 86.0,295
Microsoft Edge 86.0,220


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4209
None,3172
Apple iPhone,551
Apple iPad,140
Samsung Galaxy S8 (SM-G950W),14
Samsung Galaxy S10 (SM-G973W),13


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4209
Canada,2838
United States,656
Mexico,237
Peru,165
United Kingdom,27
Germany,26
Colombia,16
India,16
Finland,15
Hong Kong SAR of China,12
France,12
Philippines,12
Bahamas,11
Netherlands,9
Austria,8
Jamaica,8
Russian Federation,8
Dominican Republic,7
Belgium,7
Egypt,6
Brazil,6
Trinidad and Tobago,6
New Zealand,5
Panama,5
Ireland,5
Denmark,5
Spain,5
Australia,5
Turkey,4
Chile,4
Argentina,4
Switzerland,4
Italy,3
South Korea,3
Sweden,3
Guatemala,3
Uruguay,3
Portugal,2
Indonesia,2
South Africa,2
Thailand,2
Pakistan,2
Cayman Islands,2
Malaysia,2
Japan,2
Czech Republic,2
Poland,2
Costa Rica,1
Senegal,1
Tunisia,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4209
Ontario (Canada),1503
British Columbia (Canada),422
Alberta (Canada),324
Quebec (Canada),313
Metropolitana De Lima (Peru),143
Ciudad De Mexico (Mexico),107
Nova Scotia (Canada),87
Georgia (United States),86
New York (United States),81
Saskatchewan (Canada),79
California (United States),75
Texas (United States),56
Manitoba (Canada),47
New Brunswick (Canada),45
Virginia (United States),41
Florida (United States),40
Wyoming (United States),40
Washington (United States),32
Jalisco (Mexico),27
Iowa (United States),25
New Jersey (United States),25
Mexico (Mexico),20
Newfoundland and Labrador (Canada),18
Oregon (United States),18
Minnesota (United States),16
Bayern (Germany),15
Uusimaa (Finland),15
Illinois (United States),14
Nuevo Leon (Mexico),14
Arizona (United States),13
Hong Kong (Hong Kong SAR of China),12
North Carolina (United States),11
Pennsylvania (United States),11
New Providence (Bahamas),11
Ile-De-France (France),10
Nevada (United States),10
Maharashtra (India),9
Coahuila (Mexico),8
Arequipa (Peru),8
Wien (Austria),8
Delaware (United States),8
Colorado (United States),8
Distrito Capital (Colombia),8
Queretaro (Mexico),8
Massachusetts (United States),7
Michigan (United States),7
Misamis Oriental (Philippines),7
Prince Edward Island (Canada),7
Moskva (Russian Federation),7
Noord-Holland (Netherlands),7


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Nov 15, 2020 - Nov 21, 2020"
# Segments: SWM
#=================================================================


##############################################
