#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Nov 28, 2021 - Dec 4, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,3645
Windows 10,1883
OS X 10.15,433
Android 11,173
Mobile iOS 14.8.1,156
Mobile iOS 15.1,150


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,3645
Google Chrome 96.0,1249
Chrome Mobile 96.0,286
Microsoft Edge 96.0,282
Safari 14.1,223
Safari 0.8.2,160


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,3645
None,2652
Apple iPhone,540
Apple iPad,112
Samsung Galaxy S20 FE 5G (SM-G781W),14
Samsung Galaxy S10 (SM-G973W),10


##############################################
# Countries
##############################################
,Unique Visitors
Countries,3645
Canada,2608
United States,332
Mexico,249
Peru,139
India,39
United Kingdom,32
Israel,21
Netherlands,19
Germany,17
Bahamas,15
France,15
Finland,12
Jamaica,10
Pakistan,10
Colombia,8
Hong Kong SAR of China,6
Chile,6
Ecuador,6
Spain,6
Czech Republic,6
Russian Federation,5
Dominican Republic,4
China,4
Argentina,4
Austria,4
Nigeria,4
Philippines,4
Cayman Islands,4
Brazil,4
Trinidad and Tobago,4
Singapore,3
Barbados,3
Venezuela,3
Switzerland,3
South Africa,3
Australia,3
Costa Rica,2
Curacao,2
Portugal,2
Indonesia,2
Panama,2
Thailand,2
Ireland,2
US Virgin Islands,1
United Arab Emirates,1
Azerbaijan,1
Belgium,1
Norway,1
South Korea,1
Benin,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,3645
Ontario (Canada),1448
British Columbia (Canada),355
Alberta (Canada),290
Quebec (Canada),262
Ciudad De Mexico (Mexico),115
Metropolitana De Lima (Peru),114
Nova Scotia (Canada),88
California (United States),55
Manitoba (Canada),52
New Brunswick (Canada),48
Saskatchewan (Canada),43
Oregon (United States),42
Florida (United States),37
Mexico (Mexico),26
New York (United States),25
Texas (United States),23
Jalisco (Mexico),21
Newfoundland and Labrador (Canada),20
Tel Aviv (Israel),20
Virginia (United States),18
Ile-De-France (France),15
Washington (United States),15
Wyoming (United States),14
Louisiana (United States),13
Prince Edward Island (Canada),13
New Providence (Bahamas),13
Uusimaa (Finland),12
Chihuahua (Mexico),11
Puebla (Mexico),10
New Jersey (United States),10
Noord-Holland (Netherlands),10
Zuid-Holland (Netherlands),9
Bayern (Germany),9
District of Columbia (United States),9
Queretaro (Mexico),9
Maharashtra (India),9
Nuevo Leon (Mexico),9
Arequipa (Peru),8
Arizona (United States),8
Delaware (United States),7
Georgia (United States),7
Hong Kong (Hong Kong SAR of China),6
Massachusetts (United States),6
Praha (Czech Republic),6
Punjab (Pakistan),6
Yucatan (Mexico),6
Illinois (United States),6
Coahuila (Mexico),5
Sinaloa (Mexico),5
Tamil Nadu (India),5


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Nov 28, 2021 - Dec 4, 2021"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Gestion de patrimoine Scotia,2
GWM:Home,Wealth Management Canada,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,3641
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,1480
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,586
SB:es:swm:Pagina principal,426
SB:en:swm:ScotiaMcLeod® Online - Scotia Wealth Management,311
SB:en:swm:Connect with us - Scotia Wealth Management,241
SB:en:swm:Private Banking - Scotia Wealth Management,202
SB:en:swm:Scotiatrust® - Scotia Wealth Management,147
SB:en:swm:Investment Management Services in Canada - Scotia Wealth Management,138
SB:en:swm:About us - Scotia Wealth Management,131
SB:en:swm:Important Tax Dates For 2021 - Scotia Wealth Management,125
SB:fr:swm:Gestion de patrimoine Canada - Gestion de patrimoine Scotia,119
SB:en:swm:Wealth Management Services in Canada - Scotia Wealth Management,82
SB:en:swm:Client Resource Centre - Scotia Wealth Management,67
SB:en:swm:Private Investment Counsel - Scotia Wealth Management,59
SB:en:swm:Tailored solutions for individuals and families - Scotia Wealth Management,56
SB:en:swm:Home,48
SB:es:swm:Contrato de Inversion Scotiabank,45
SB:en:swm:Total Wealth Planning - Scotia Wealth Management,39
SB:en:swm:J.P. Bickell Foundation - Scotia Wealth Management,38
SB:en:swm:The Scotiabank Women Initiative™ - Scotia Wealth Management,35
SB:en:swm:Estate Planning & Trust Services - Scotia Wealth Management,29
SB:en:swm:Borrowing to invest - Scotia Wealth Management,29
SB:en:swm:Tailored Solutions - Scotia Wealth Management,29
SB:en:swm:Contact us,27
SB:en:swm:Foundations - Scotia Wealth Management,26


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),3645
https://www.scotiawealthmanagement.com/ca/en.html,1475
https://www.scotiawealthmanagement.com/ca/en/services/investment-management/scotiamcleod.html,586
https://www.scotiawealthmanagement.com/ca/en/resource-centre/scotiamcleod-online-account.html,311
https://www.scotiawealthmanagement.com/ca/en/connect-with-us.html,242
https://www.scotiawealthmanagement.com/ca/en/services/private-banking.html,202
https://www.scotiawealthmanagement.com/intl/es/pagina-principal.html,160
https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,154
https://www.scotiawealthmanagement.com/ca/en/services/scotiatrust.html,141
https://www.scotiawealthmanagement.com/ca/en/services/investment-management.html,138
https://www.scotiawealthmanagement.com/ca/en/about-us.html,132
