#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Dec 26, 2021 - Jan 1, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,3614
Windows 10,1438
OS X 10.15,515
Mobile iOS 15.1,333
Android 11,221
Android 10,123


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,3614
Google Chrome 96.0,1005
Chrome Mobile 96.0,450
Safari 15.1,326
Safari 0.8.2,258
Microsoft Edge 96.0,234


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,3614
None,2223
Apple iPhone,721
Apple iPad,146
Samsung Galaxy S20 FE 5G (SM-G781W),17
Samsung Galaxy S10 (SM-G973W),15


##############################################
# Countries
##############################################
,Unique Visitors
Countries,3614
Canada,2490
United States,426
Mexico,160
Peru,129
Pakistan,83
India,56
United Kingdom,36
Germany,24
Netherlands,24
Bahamas,18
Colombia,14
Nigeria,10
China,9
Spain,9
Chile,7
France,6
Israel,6
Dominican Republic,5
Barbados,4
Finland,4
Jamaica,4
Bangladesh,4
Lithuania,4
Ethiopia,4
Uganda,3
Singapore,3
Italy,3
Argentina,3
South Africa,3
Australia,3
Philippines,3
Czech Republic,3
United Arab Emirates,2
Turkey,2
Saudi Arabia,2
Viet Nam,2
Nepal,2
Belgium,2
Portugal,2
Panama,2
Kenya,2
Thailand,2
Austria,2
Ireland,2
Algeria,2
British Virgin Islands,2
Cayman Islands,2
Trinidad and Tobago,2
Greece,1
Hong Kong SAR of China,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,3614
Ontario (Canada),1311
Alberta (Canada),362
British Columbia (Canada),342
Quebec (Canada),218
Metropolitana De Lima (Peru),102
Nova Scotia (Canada),92
California (United States),81
Ciudad De Mexico (Mexico),67
Florida (United States),56
Punjab (Pakistan),53
New Brunswick (Canada),52
Manitoba (Canada),51
Saskatchewan (Canada),42
New York (United States),42
Ohio (United States),26
Texas (United States),25
Zuid-Holland (Netherlands),21
Newfoundland and Labrador (Canada),19
London (United Kingdom),18
Mexico (Mexico),18
Sindh - South (Pakistan),17
Arizona (United States),17
Jalisco (Mexico),16
Oregon (United States),15
New Providence (Bahamas),15
Pennsylvania (United States),13
Washington (United States),13
Virginia (United States),12
New Jersey (United States),12
Bayern (Germany),11
Colorado (United States),10
Illinois (United States),10
Prince Edward Island (Canada),10
Maharashtra (India),10
Islamabad (Pakistan),10
Islington (United Kingdom),9
Georgia (United States),9
Nevada (United States),9
Nuevo Leon (Mexico),9
South Carolina (United States),8
North Carolina (United States),8
Karnataka (India),8
Louisiana (United States),8
La Libertad (Peru),8
Wyoming (United States),8
Uttar Pradesh (India),7
Massachusetts (United States),7
District of Columbia (United States),7
Region Metro De Santiago (Chile),7
Lagos (Nigeria),7


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Dec 26, 2021 - Jan 1, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,3609
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,1182
SB:en:swm:Important Tax Dates For 2021 - Scotia Wealth Management,656
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,468
