#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 2, 2022 - Jan 8, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jan 2, 2022 - Jan 8, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,69956,47738,28667,147.6253865182437
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28430,24681,12397,77.63838294091515
SB:en:itrade:Winter Offer | Scotia iTRADE®,10470,9415,7358,79.9051094890511
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3401,2756,2241,94.37017994858611
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2491,2098,1505,313.1974595842956
SB:en:itrade:Winter Offer for Scotiabank Employees | Scotia iTRADE®,1892,1405,1133,225.1155462184874
SB:en:itrade:Winter Offer - Triage,1535,1262,1157,83.89827586206897
SB:en:itrade:Competitive pricing | Scotia iTRADE,1462,1278,1102,267.59183673469386
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1220,1128,949,320.45432098765434
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1041,852,709,265.75941422594144
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,892,675,585,235.32417582417582


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),69538,49047,28809
https://www.scotiaitrade.com/en/home.html,27905,25328,12307
(Low Traffic),5636,4991,3494
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,3130,2988,2871
https://www.scotiaitrade.com/en/home/open-trading-account.html,3373,2798,2236
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2489,2626,1697
https://www.scotiaitrade.com/en/home/pricing-fees.html,1457,1341,1131
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1534,1268,1158
https://www.scotiaitrade.com/en/home/contact-us.html,1214,1146,955
https://www.scotiaitrade.com/en/home/winter-offer-emp.html?cid=em__iTrade,1084,959,798
https://www.scotiaitrade.com/en/home/winter-offer.html,936,834,746


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),39850,27483,13921
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22810,19358,8379
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1280,1052,962
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,803,702,614
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,649,616,585
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,736,613,582
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,716,600,222
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,565,538,522
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,604,509,261
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,573,502,454
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,456,390,294


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,49125
Other,32672
Mobile Phone,14638
Tablet,1809
Media Player,6


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,48470,0.263255622034248
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,22719,0.11210880760596857
SB:en:itrade:Winter Offer | Scotia iTRADE®,8335,0.47618476304739055
phoenix:Login,2374,0
SB:en:itrade:Winter Offer for Scotiabank Employees | Scotia iTRADE®,1367,0.6693489392831017
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1259,0.2073073868149325
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1037,0.21311475409836064
BNS Home page en,722,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,575,0.06086956521739131
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,544,0.7205882352941176
SB:en:itrade:Competitive pricing | Scotia iTRADE,541,0.5341959334565619


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,49125,49125,0.2708600508905852
Natural Search,21047,22052,0.22031643464626788
Direct,11825,11462,0.2160676532769556
Referring Domains,9511,14357,0.18063295131952475
Other Campaigns,3195,3227,0.8632237871674492
Session Refresh,1525,1495,0.31344262295081965
email,1461,1510,0.7056810403832992
Paid Search,343,271,0.052478134110787174
Display,149,146,0.44966442953020136
Social Networks,65,73,0.676923076923077
Paid Social Networks,4,3,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20700
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,647
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,639
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,327
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,304
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,214
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,17534
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+86 more,1035

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20700
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,365
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,207
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,178
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,96
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,95
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,19026
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+85 more,733


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Jan 2, 2022 - Jan 8, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
