#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 9, 2022 - Jan 15, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jan 9, 2022 - Jan 15, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,87919,62533,42599,142.8542998369607
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,30124,25540,12639,81.74236514128056
SB:en:itrade:Winter Offer | Scotia iTRADE®,26032,24509,22294,75.02083534291502
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3689,2945,2417,115.97390606182256
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,3025,2464,1691,300.3667649950836
SB:en:itrade:Winter Offer - Triage,1850,1524,1368,78.13146551724138
SB:en:itrade:Competitive pricing | Scotia iTRADE,1556,1376,1170,229.5028901734104
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1279,1048,854,313.6058252427184
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1208,1105,927,305.1712158808933
SB:en:itrade:Types of accounts for investment & trading | Scotia iTRADE®,1013,905,867,59.167605633802815
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,874,668,591,195.7284946236559


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),87492,63971,42763
https://www.scotiaitrade.com/en/home.html,29595,26260,12564
https://www.scotiaitrade.com/en/home/winter-offer.html,9490,9323,9192
(Low Traffic),6651,5947,4430
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,3011,2987,1861
https://www.scotiaitrade.com/en/home/open-trading-account.html,3653,2983,2408
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,2880,2751,2620
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1850,1533,1368
https://www.scotiaitrade.com/en/home/pricing-fees.html,1546,1432,1177
https://www.scotiaitrade.com/en/home/winter-offer.html?intcmp=iTrade_XTV04|SOLUI_ANALYTICS_CAMPID_EN,1361,1273,1185
https://www.scotiaitrade.com/en/home/winter-offer.html?intcmp=iTrade_XTU04|SOLUI_ANALYTICS_CAMPID_EN,1309,1231,1148


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),47647,32139,17691
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,24112,19846,8293
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,1987,1810,1630
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Start application,1630,1393,1378
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1419,1111,1029
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1067,909,753
SB:en:itrade:Winter Offer | Scotia iTRADE®:nav-btn:Accounts,884,761,751
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,711,675,644
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,789,671,648
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,855,640,227
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,625,562,491


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,64040
Other,39792
Mobile Phone,22032
Tablet,2192
Media Player,19
Gaming Console,3
Television,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,63352,0.3306920065664857
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,23337,0.11076830783733985
SB:en:itrade:Winter Offer | Scotia iTRADE®,20256,0.6445003949447078
phoenix:Login,4299,0
BNS Home page en,1499,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1293,0.21191028615622584
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1114,0.2127468581687612
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,637,0.06279434850863422
SB:en:itrade:Competitive pricing | Scotia iTRADE,557,0.5439856373429084
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,541,0.6617375231053605
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,505,0.7168316831683168


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,64040,64040,0.3357432854465959
Natural Search,21827,22804,0.19572089613781096
Direct,21704,21301,0.4548470328050129
Referring Domains,10885,16589,0.16720257234726688
