#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 16, 2022 - Jan 22, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jan 16, 2022 - Jan 22, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,81580,56708,38191,145.8020105260227
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,27286,23567,12017,80.36276601279984
SB:en:itrade:Winter Offer | Scotia iTRADE®,20903,19435,16942,77.24969263440259
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3491,2749,2206,89.26315789473684
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,3226,2653,2421,170.4553376906318
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2966,2439,1648,315.0426921145153
SB:en:itrade:Winter Offer - Triage,1778,1429,1262,91.06032482598607
SB:en:itrade:Competitive pricing | Scotia iTRADE,1535,1367,1155,279.88495575221236
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1149,1051,898,347.11027568922304
SB:en:itrade:Winter Offer for Scotiabank Employees | Scotia iTRADE®,1066,856,824,136.7566844919786
SB:en:itrade:Types of accounts for investment & trading | Scotia iTRADE®,937,820,765,69.08064516129032


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),81174,57889,38287
https://www.scotiaitrade.com/en/home.html,26750,24151,11916
(Low Traffic),8652,7631,5672
https://www.scotiaitrade.com/en/home/winter-offer.html,5885,5715,5609
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,3325,3127,2987
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2961,2918,1780
https://www.scotiaitrade.com/en/home/open-trading-account.html,3470,2803,2203
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1777,1439,1261
https://www.scotiaitrade.com/en/home/pricing-fees.html,1534,1422,1156
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,1228,1136,975
https://www.scotiaitrade.com/en/home/contact-us.html,1147,1065,900


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),43035,28970,15959
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,21599,18148,7940
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,1280,1166,994
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1326,1075,976
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1103,928,739
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Start application,1028,895,876
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,750,619,600
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,710,596,206
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,638,593,563
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,620,581,535
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,632,561,483


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,57978
Other,37450
Mobile Phone,18570
Tablet,1949
Media Player,8
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,57371,0.3108887765595859
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21521,0.11444635472329352
SB:en:itrade:Winter Offer | Scotia iTRADE®,16188,0.576599950580677
phoenix:Login,3601,0
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1609,0.6581727781230577
BNS Home page en,1335,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1231,0.19821283509341997
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1091,0.23648029330889092
SB:en:itrade:Winter Offer for Scotiabank Employees | Scotia iTRADE®,706,0.6671388101983002
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,589,0.04584040747028863
SB:en:itrade:Competitive pricing | Scotia iTRADE,529,0.5614366729678639


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,57978,57978,0.3162406430025182
Natural Search,21278,22254,0.19719898486699877
Direct,18035,17604,0.41835320210701415
Referring Domains,10040,15631,0.16165338645418326
Session Refresh,4090,4057,0.4511002444987775
Other Campaigns,3409,3441,0.8248753300088002
email,461,471,0.4360086767895879
Paid Search,394,318,0.03299492385786802
