#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 30, 2022 - Feb 5, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jan 30, 2022 - Feb 5, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,85276,59063,39146,145.2903517641424
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,29070,25099,13040,75.96228333494723
SB:en:itrade:Winter Offer | Scotia iTRADE®,19553,18005,15104,89.31122508450868
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,4950,4325,3902,192.5594688221709
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3865,3063,2479,102.93226176808267
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2857,2340,1602,286.43380429094714
SB:en:itrade:Winter Offer - Triage,1771,1465,1295,73.49360421369451
SB:en:itrade:Competitive pricing | Scotia iTRADE,1674,1447,1226,241.12301587301587
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1129,1035,885,381.63852242744065
SB:en:itrade:Winter Offer for Scotiabank Employees | Scotia iTRADE®,1060,920,902,126.01416430594901
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,950,728,612,207.76904176904176


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),78288,56172,34257
https://www.scotiaitrade.com/en/home.html,29362,26666,12682
(Low Traffic),6574,5882,4278
https://www.scotiaitrade.com/en/home/winter-offer.html,3624,3479,3374
https://www.scotiaitrade.com/en/home/open-trading-account.html,3550,2918,2371
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,3103,2909,2773
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2911,2872,1749
https://www.scotiaitrade.com/en/home/pricing-fees.html,1421,1382,1139
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1675,1353,1191
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,1392,1282,1078
https://www.scotiaitrade.com/en/home/contact-us.html,1177,1095,920


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),46796,31520,16314
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,25098,20691,8742
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,1954,1627,1195
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1296,1053,978
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1104,918,737
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Start application,817,706,681
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,738,645,628
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,723,597,221
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,617,576,555
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,573,538,489
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,615,496,271


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,56250
Other,37459
Mobile Phone,16814
Tablet,1970
Media Player,6
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,55473,0.2664900041461612
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,23741,0.10820942673012932
SB:en:itrade:Winter Offer | Scotia iTRADE®,13266,0.4944972109151214
phoenix:Login,3222,0
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1470,0.6707482993197279
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1316,0.23328267477203649
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1078,0.19758812615955473
BNS Home page en,966,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,599,0.07178631051752922
SB:en:itrade:Competitive pricing | Scotia iTRADE,524,0.46564885496183206
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,481,0.683991683991684


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,60585,60585,0.3147973920937526
Natural Search,22376,23416,0.19547729710404005
Direct,18520,18091,0.40739740820734344
Referring Domains,10549,16639,0.18011185894397574
Other Campaigns,3730,3816,0.8249329758713136
Session Refresh,3531,3491,0.39733786462758425
email,1046,1033,0.5640535372848948
Paid Search,421,350,0.03800475059382423
