#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Feb 6, 2022 - Feb 12, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Feb 6, 2022 - Feb 12, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,77578,52075,32655,147.7122700431524
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,27625,23747,11780,83.53229353106623
SB:en:itrade:Winter Offer | Scotia iTRADE®,14703,13430,10956,79.20693692375238
SB:en:itrade:Winter Offer - Triage,4226,3380,3041,70.44120569725075
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,4155,3615,3061,234.2731451083388
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3565,2857,2362,101.34627126035761
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2746,2306,1553,290.23085163363686
SB:en:itrade:Competitive pricing | Scotia iTRADE,1326,1179,988,236.35608308605342
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1087,1013,888,292.02680965147454
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,820,634,518,234.88397790055248
SB:en:itrade:Winter Offer - Confirmation | Scotia iTRADE®,788,708,620,224.71428571428572


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),77171,53354,32787
https://www.scotiaitrade.com/en/home.html,27099,24376,11665
(Low Traffic),6628,5974,4266
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,4199,3386,3042
https://www.scotiaitrade.com/en/home/winter-offer.html,3084,2976,2858
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,3174,2897,2479
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2742,2768,1687
https://www.scotiaitrade.com/en/home/open-trading-account.html,3398,2758,2234
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,2539,2382,2295
https://www.scotiaitrade.com/en/home/pricing-fees.html,1325,1290,1033
https://www.scotiaitrade.com/en/home/contact-us.html,1077,1030,890


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),44551,30116,16218
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22801,18755,7973
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,2392,2184,2012
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1284,1018,928
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1012,861,683
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,944,822,597
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,687,638,610
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,744,625,608
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,740,601,217
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Start application,621,541,527
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,567,526,476


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,53451
Other,35475
Mobile Phone,16101
Tablet,1871
Media Player,3
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,52796,0.2636942192590348
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21858,0.10481288315490896
SB:en:itrade:Winter Offer | Scotia iTRADE®,11338,0.4840359851825719
phoenix:Login,2690,0
SB:en:itrade:Winter Offer - Triage,2239,0.1272889682894149
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1698,0.6625441696113075
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1401,0.31263383297644537
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1052,0.23288973384030418
BNS Home page en,848,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,599,0.05843071786310518
SB:en:itrade:Competitive pricing | Scotia iTRADE,458,0.4432314410480349


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,53451,53451,0.2704533123795626
Natural Search,20804,21817,0.1991443953085945
Direct,16319,15957,0.31166125375329373
Referring Domains,10471,16360,0.19138573202177442
Other Campaigns,2570,2593,0.8408560311284047
Session Refresh,2216,2180,0.35018050541516244
Paid Search,364,289,0.04395604395604396
email,269,269,0.22304832713754646
Display,268,264,0.4253731343283582
