#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Feb 13, 2022 - Feb 19, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Feb 13, 2022 - Feb 19, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,66852,45251,28334,141.3909607471752
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,24775,21477,10731,76.73688030370701
SB:en:itrade:Winter Offer | Scotia iTRADE®,12444,11360,9180,74.02582781456954
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3420,2686,2175,92.02558029369966
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2620,2125,1429,331.2504347826087
SB:en:itrade:Winter Offer - Triage,1617,1295,1127,84.64741907261592
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1571,1383,1180,240.25914149443562
SB:en:itrade:Competitive pricing | Scotia iTRADE,1274,1100,951,220.81703470031545
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1009,905,777,277.14886731391584
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,877,631,510,249.2449567723343
SB:en:itrade:Financial Goal Planning Tool | Scotia iTRADE®,867,788,766,131.51329243353783


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),66449,46379,28432
https://www.scotiaitrade.com/en/home.html,24195,21980,10569
(Low Traffic),8059,7015,5204
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2602,2538,1551
https://www.scotiaitrade.com/en/home/open-trading-account.html,3161,2528,1998
https://www.scotiaitrade.com/en/home/winter-offer.html,2205,2076,1979
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1974,1877,1806
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1608,1297,1125
https://www.scotiaitrade.com/en/home/pricing-fees.html,1253,1176,972
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,1065,967,803
https://www.scotiaitrade.com/en/home/contact-us.html,1000,912,777


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),44551,30116,16218
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22801,18755,7973
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,2392,2184,2012
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1284,1018,928
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1012,861,683
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,944,822,597
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,687,638,610
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,744,625,608
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,740,601,217
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Start application,621,541,527
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,567,526,476


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,46445
Other,31383
Mobile Phone,13417
Tablet,1636
Media Player,7
Gaming Console,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,45852,0.2787446567216261
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19715,0.12051737255896526
SB:en:itrade:Winter Offer | Scotia iTRADE®,9670,0.48355739400206826
phoenix:Login,2541,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1333,0.31057764441110275
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,942,0.24416135881104034
BNS Home page en,816,0
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,809,0.6699629171817059
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,527,0.0777988614800759
SB:en:itrade:How are stocks taxed in Canada? | Posts,481,0.9334719334719335
SB:en:itrade:Competitive pricing | Scotia iTRADE,444,0.5225225225225225


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,46445,46445,0.2856927548713532
Natural Search,19085,19875,0.22420749279538904
Direct,12643,12355,0.331013208890295
Referring Domains,9176,13342,0.18079773321708806
Session Refresh,2302,2276,0.4174630755864466
Other Campaigns,2053,2065,0.8538723818801753
Display,398,393,0.6331658291457286
Paid Search,359,296,0.04456824512534819
email,211,207,0.18009478672985782
Paid Social Networks,155,157,0.6580645161290323
Social Networks,63,58,0.38095238095238093


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17201
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17201
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,251
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,231
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,152
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,83
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,69
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,15775
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+85 more,640


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Feb 13, 2022 - Feb 19, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,5356,1511,1181,234.7651421508035
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE,800,38,37,164.3783783783784
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,588,488,278,107.45432098765433
SB:fr:itrade:FAQ – Nouveaux clients | Scotia iTRADE,483,8,8,444.5
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,209,190,170,78.0609756097561
SB:fr:itrade:Négocier des titres en bourse – Un guide détaillé | Scotia iTRADE,189,4,4,299
SB:fr:itrade:Ouvrez un compte de personne morale aujourd’hui | Scotia iTRADE,188,10,10,141.44444444444446
SB:fr:itrade:Ouvrez un compte de placement enregistré en dollars US aujourd’hui | Scotia iTRADE,181,10,10,180.11111111111111
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,176,102,95,388.3333333333333
SB:fr:itrade:Politique de Scotia iTRADE concernant la négociation sur les marchés multiples et l'e,148,7,7,159.57142857142858
SB:fr:itrade:Ouvrez un compte de placement FERR aujourd’hui | Scotia iTRADE,141,12,12,115.91666666666667


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),5321,1560,1199
https://www.scotiaitrade.com/fr/accueil.html,567,487,267
(Low Traffic),1208,222,210
