#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Feb 20, 2022 - Feb 26, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Feb 20, 2022 - Feb 26, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,64721,43956,28329,142.055709937806
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,23641,20406,10836,76.63846374319289
SB:en:itrade:Winter Offer | Scotia iTRADE®,12661,11429,9194,70.37677053824362
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3654,2839,2340,109.4605092792404
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2623,2138,1483,304.838133640553
SB:en:itrade:Winter Offer - Triage,1614,1277,1153,76.19733333333333
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1401,1192,1031,238.61406518010293
SB:en:itrade:Competitive pricing | Scotia iTRADE,1174,1043,898,231.85615251299828
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1059,947,796,294.97553516819573
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,760,594,512,229.91641791044776
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,722,676,614,170.97560975609755


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),64278,44988,28431
https://www.scotiaitrade.com/en/home.html,23165,20921,10726
(Low Traffic),7335,6511,4720
https://www.scotiaitrade.com/en/home/open-trading-account.html,3427,2681,2163
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2616,2570,1605
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,2090,1966,1888
https://www.scotiaitrade.com/en/home/winter-offer.html,1862,1775,1667
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1612,1282,1151
https://www.scotiaitrade.com/en/home/pricing-fees.html,1169,1119,941
https://www.scotiaitrade.com/en/home/contact-us.html,1056,961,803
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,945,845,705


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),36246,23906,13148
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,18906,15774,7321
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1368,1013,930
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,920,778,622
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,773,665,640
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,579,534,512
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,583,498,201
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,564,494,349
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,529,456,413
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,560,455,246
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,466,423,381


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,45091
Other,29853
Mobile Phone,13683
Tablet,1548
Television,3
Media Player,2
Gaming Console,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,44540,0.2796587337224966
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,18677,0.11822027092145419
SB:en:itrade:Winter Offer | Scotia iTRADE®,9650,0.47046632124352333
phoenix:Login,2228,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1364,0.2763929618768328
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,991,0.2391523713420787
BNS Home page en,835,0
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,667,0.6626686656671664
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,652,0.906441717791411
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,500,0.066
SB:en:itrade:How are stocks taxed in Canada? | Posts,471,0.9469214437367304


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,45091,45091,0.2860437781375441
Natural Search,20075,20831,0.23870485678704856
Direct,11545,11263,0.3184062364660026
Referring Domains,8078,12514,0.17974746224312949
Other Campaigns,2163,2169,0.8257050392972723
Session Refresh,2079,2047,0.37566137566137564
Display,367,366,0.670299727520436
Paid Search,354,248,0.059322033898305086
email,258,250,0.16279069767441862
Paid Social Networks,129,131,0.6666666666666666
Social Networks,42,36,0.35714285714285715


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,16525
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,16525
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Feb 20, 2022 - Feb 26, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,5356,1511,1181,234.7651421508035
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE,800,38,37,164.3783783783784
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,588,488,278,107.45432098765433
SB:fr:itrade:FAQ – Nouveaux clients | Scotia iTRADE,483,8,8,444.5
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,209,190,170,78.0609756097561
SB:fr:itrade:Négocier des titres en bourse – Un guide détaillé | Scotia iTRADE,189,4,4,299
SB:fr:itrade:Ouvrez un compte de personne morale aujourd’hui | Scotia iTRADE,188,10,10,141.44444444444446
SB:fr:itrade:Ouvrez un compte de placement enregistré en dollars US aujourd’hui | Scotia iTRADE,181,10,10,180.11111111111111
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,176,102,95,388.3333333333333
SB:fr:itrade:Politique de Scotia iTRADE concernant la négociation sur les marchés multiples et l'e,148,7,7,159.57142857142858
SB:fr:itrade:Ouvrez un compte de placement FERR aujourd’hui | Scotia iTRADE,141,12,12,115.91666666666667


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),5321,1560,1199
https://www.scotiaitrade.com/fr/accueil.html,567,487,267
(Low Traffic),1208,222,210
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,176,102,95
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,100,81,70
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,84,81,65
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html,82,79,77
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-sur-les-marc,84,76,73
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.croissance-et-investisseme,278,55,49
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver-triage.html,65,55,50
https://www.scotiaitrade.com/fr/accueil/contactez-nous.html,54,51,47


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),1534,652,415
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,482,390,211
SB:fr:itrade:Offre d’hiver | Scotia iTRADE:page top CTA:Demarrez,43,37,21
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,35,29,28
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,24,22,22
