#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Mar 6, 2022 - Mar 12, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Mar 6, 2022 - Mar 12, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,69138,47858,28713,131.9608670181605
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28153,24218,11940,76.68684930192391
SB:en:itrade:Winter Offer | Scotia iTRADE®,12503,11203,8548,64.41697040384896
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3255,2577,2087,96.26744186046511
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,2759,2465,2074,216.63211125158028
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2693,2215,1508,299.4181204276871
SB:en:itrade:Winter Offer - Triage,1309,1043,944,80.70793650793651
SB:en:itrade:Competitive pricing | Scotia iTRADE,1202,1067,910,222.79638752052546
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1102,1002,850,286.59718309859153
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,690,590,297,54.97131931166348
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,663,499,428,209.97979797979798


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),68583,49011,28803
https://www.scotiaitrade.com/en/home.html,27570,24825,11824
(Low Traffic),7085,6243,4341
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2687,2621,1628
https://www.scotiaitrade.com/en/home/open-trading-account.html,2997,2425,1905
https://www.scotiaitrade.com/en/home/winter-offer.html,1928,1839,1746
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,1806,1678,1441
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1316,1247,1174
https://www.scotiaitrade.com/en/home/pricing-fees.html,1198,1160,954
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1306,1047,944
https://www.scotiaitrade.com/en/home/contact-us.html,1089,1013,854


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),40353,27556,14005
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,23058,19356,8389
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1144,895,810
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1026,868,669
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,952,757,521
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,641,541,237
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,636,529,491
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,514,473,449
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,557,457,231
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,422,394,359
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,410,362,330


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,49132
Other,33559
Mobile Phone,13906
Tablet,1664
Media Player,2
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,48491,0.2533459817285682
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,22326,0.10920003583266147
SB:en:itrade:Winter Offer | Scotia iTRADE®,9466,0.4019649271075428
phoenix:Login,2451,0
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1968,0.774390243902439
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1265,0.3019762845849802
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,968,0.2396694214876033
BNS Home page en,633,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,533,0.06378986866791744
SB:en:itrade:How are stocks taxed in Canada? | Posts,484,0.9111570247933884
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,474,0.6666666666666666


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,49132,49132,0.2607465602865749
Natural Search,21380,22172,0.1901309635173059
Direct,13924,13671,0.3430048836541224
Referring Domains,8959,13213,0.16921531420917513
Session Refresh,1962,1924,0.345565749235474
Other Campaigns,1463,1460,0.8086124401913876
email,543,537,0.3701657458563536
Display,400,399,0.65
Paid Search,327,276,0.0672782874617737
Paid Social Networks,128,130,0.640625
Social Networks,46,48,0.6086956521739131


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,19464
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,540
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,478
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,443
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,221
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,199
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,16639
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+71 more,944

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,19464
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,366
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,242
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,170
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,101
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,78
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,17773
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+81 more,734


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Mar 6, 2022 - Mar 12, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2528,1524,1134,198.3086269744836
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,698,609,343,107.07584830339322
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,200,194,182,45.38666666666666
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,127,101,88,93.22535211267606
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,105,92,81,342.5357142857143
SB:fr:itrade:Outil Planification des objectifs financiers | Scotia iTRADE,98,2,2,832
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,78,74,68,444
SB:fr:itrade:404 | Scotia iTRADE,69,2,2,1934
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,65,55,39,369.3777777777778
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,60,51,44,192.7
