#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Mar 13, 2022 - Mar 19, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Mar 13, 2022 - Mar 19, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,59019,41216,24293,131.1601520452099
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,24610,21405,10304,73.8564762059797
SB:en:itrade:Winter Offer | Scotia iTRADE®,11038,9976,7714,60.141796083727215
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2952,2356,1941,97.32577433628319
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2400,1986,1320,325.16906700062617
SB:en:itrade:Winter Offer - Triage,1321,1022,895,79.77826564215148
SB:en:itrade:Competitive pricing | Scotia iTRADE,1157,1006,829,223
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1016,850,727,276.4052757793765
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,866,796,659,313.99676375404533
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,610,540,233,43.15866388308977
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,593,465,399,241.1259842519685


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),68583,49011,28803
https://www.scotiaitrade.com/en/home.html,27570,24825,11824
(Low Traffic),7085,6243,4341
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2687,2621,1628
https://www.scotiaitrade.com/en/home/open-trading-account.html,2997,2425,1905
https://www.scotiaitrade.com/en/home/winter-offer.html,1928,1839,1746
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,1806,1678,1441
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1316,1247,1174
https://www.scotiaitrade.com/en/home/pricing-fees.html,1198,1160,954
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1306,1047,944
https://www.scotiaitrade.com/en/home/contact-us.html,1089,1013,854


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),34719,24082,11898
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,20149,17058,7192
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,865,742,586
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,985,728,667
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,564,481,176
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,572,477,447
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,507,472,443
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,541,467,342
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,521,425,220
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,369,346,323
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,363,320,290


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,42348
Other,29117
Mobile Phone,11795
Tablet,1427
Media Player,4
Gaming Console,3
Television,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,41777,0.242908777557029
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19767,0.10927303080892396
SB:en:itrade:Winter Offer | Scotia iTRADE®,8333,0.42397695907836314
phoenix:Login,2263,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1230,0.33983739837398375
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,933,0.23365487674169347
SB:en:itrade:How are stocks taxed in Canada? | Posts,517,0.9168278529980658
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,498,0.6586345381526104
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,478,0.06485355648535565
SB:en:itrade:Competitive pricing | Scotia iTRADE,457,0.5010940919037199
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,361,0.6454293628808865


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,42348,42348,0.250779257580051
Natural Search,19102,19791,0.20102607056852687
Direct,11064,10828,0.30730296456977585
Referring Domains,8013,11520,0.16111319106452016
Session Refresh,1657,1613,0.3427881713940857
Other Campaigns,1319,1326,0.8476118271417741
Display,424,422,0.6320754716981132
Paid Search,339,274,0.02654867256637168
email,304,304,0.16447368421052633
Paid Social Networks,97,99,0.6494845360824743
Social Networks,29,28,0.4482758620689655


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,16664
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,540
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,478
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,443
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,221
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,199
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,16639
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+71 more,944

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,16664
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,366
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,242
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,170
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,101
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,78
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,17773
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+81 more,734


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Mar 13, 2022 - Mar 19, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2528,1524,1134,198.3086269744836
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,698,609,343,107.07584830339322
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,200,194,182,45.38666666666666
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,127,101,88,93.22535211267606
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,105,92,81,342.5357142857143
SB:fr:itrade:Outil Planification des objectifs financiers | Scotia iTRADE,98,2,2,832
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,78,74,68,444
SB:fr:itrade:404 | Scotia iTRADE,69,2,2,1934
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,65,55,39,369.3777777777778
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,60,51,44,192.7
