#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Mar 27, 2022 - Apr 2, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Mar 27, 2022 - Apr 2, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,61029,42761,25446,130.1186424100156
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,26915,23316,11463,71.57761966364812
SB:en:itrade:Winter Offer | Scotia iTRADE®,8764,8070,6418,68.78266756939743
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3349,2725,2290,88.39522821576763
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2571,2100,1384,298.31600955794505
SB:en:itrade:Winter Offer - Triage,1347,1007,859,87.71444444444444
SB:en:itrade:Competitive pricing | Scotia iTRADE,1147,1016,843,239.59425493716338
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,907,817,668,254.04761904761904
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,862,749,638,222.03316326530611
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,664,506,438,202.23232323232324
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,654,520,473,86.42995169082126


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),60591,43970,25588
https://www.scotiaitrade.com/en/home.html,25197,22941,10735
(Low Traffic),5929,5387,3856
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2564,2515,1491
https://www.scotiaitrade.com/en/home/open-trading-account.html,2727,2209,1784
https://www.scotiaitrade.com/en/home/winter-offer.html,1671,1585,1502
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1542,1477,1419
https://www.scotiaitrade.com/en/home/pricing-fees.html,1138,1108,880
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1347,1008,859
https://www.scotiaitrade.com/en/home/contact-us.html,892,825,672
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,659,615,504


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),36950,25544,12695
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,21837,18218,7852
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,933,795,610
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,957,764,716
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,598,489,185
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,531,484,455
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,566,479,461
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,554,430,218
SB:en:itrade:Winter Offer | Scotia iTRADE®:page top CTA:Sign in,476,417,306
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,387,341,295
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,372,332,305


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,44033
Other,30142
Mobile Phone,12308
Tablet,1567
Media Player,11
Television,4
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,43358,0.2480741731629688
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21556,0.10572462423455187
SB:en:itrade:Winter Offer | Scotia iTRADE®,6868,0.46782178217821785
phoenix:Login,2328,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1584,0.44002525252525254
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,974,0.23203285420944558
SB:en:itrade:How are stocks taxed in Canada? | Posts,574,0.9128919860627178
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,489,0.04703476482617587
SB:en:itrade:Competitive pricing | Scotia iTRADE,431,0.5475638051044084
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,394,0.6421319796954315
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,383,0.6475195822454308


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,44033,44033,0.256671133013876
Natural Search,19085,19843,0.20523971705527902
Direct,11912,11667,0.29239422431161854
Referring Domains,8563,12114,0.16045778348709563
Session Refresh,1589,1551,0.3713027061044682
Other Campaigns,1567,1565,0.8768347160178686
Display,662,668,0.6737160120845922
