#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Apr 3, 2022 - Apr 9, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Apr 3, 2022 - Apr 9, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,51719,36042,20594,123.9555846803553
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28781,25059,12887,67.13111830681872
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3156,2517,2109,103.11341772151899
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2373,1939,1283,287.23875
SB:en:itrade:Competitive pricing | Scotia iTRADE,1071,969,819,180.95246478873239
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,947,854,775,113.23175965665236
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,856,756,629,316.0544747081712
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,816,649,601,72.7
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,805,571,503,143.37017994858613
SB:en:itrade:404 | Scotia iTRADE,697,520,357,96.22419928825623
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,666,510,441,206.23287671232876


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),51301,37170,20718
https://www.scotiaitrade.com/en/home.html,23379,21421,10338
(Low Traffic),5019,4626,3233
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2370,2350,1407
https://www.scotiaitrade.com/en/home/open-trading-account.html,2846,2310,1894
https://www.scotiaitrade.com/en/home/pricing-fees.html,1063,1080,887
https://www.scotiaitrade.com/en/home/trading-account-types/registered/tax-free-savings-accounts-tfsa,1013,879,795
https://www.scotiaitrade.com/en/home/contact-us.html,843,756,627
https://www.scotiaitrade.com/en/home/where-to-start.html,813,653,600
https://www.scotiaitrade.com/en/home/special-offers-programs.html,792,576,496
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,535,529,216


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),32117,22529,11215
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,19680,16641,7313
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1022,835,623
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,994,807,747
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,553,464,172
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,519,436,427
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,516,430,234
Internal Search,380,256,240
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,280,242,225
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,278,241,139
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,228,224,222


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,37254
Other,26776
Mobile Phone,9199
Tablet,1272
Media Player,3
Television,3
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,36624,0.2018075578855395
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,23284,0.11574471740250816
phoenix:Login,1844,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1234,0.2941653160453809
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,921,0.2280130293159609
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,681,0.5066079295154186
SB:en:itrade:How are stocks taxed in Canada? | Posts,512,0.939453125
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,462,0.0670995670995671
SB:en:itrade:404 | Scotia iTRADE,414,0.5120772946859904
SB:en:itrade:Competitive pricing | Scotia iTRADE,396,0.43686868686868685
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,351,0.6923076923076923


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,37254,37254,0.2123798786707468
Natural Search,17799,18483,0.21152873756952636
Direct,9610,9399,0.22622268470343393
Referring Domains,7666,10759,0.15770936603182886
Session Refresh,1099,1059,0.3202911737943585
Display,310,311,0.5
Paid Search,257,204,0.042801556420233464
Other Campaigns,180,172,0.5
email,175,173,0.13142857142857142
Paid Social Networks,95,95,0.8947368421052632
Social Networks,63,62,0.7619047619047619


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20544
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,498
