#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Apr 10, 2022 - Apr 16, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Apr 10, 2022 - Apr 16, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,47044,32377,19671,135.2344481174602
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,25360,21697,11814,74.30626228587475
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2482,2052,1727,81.93880048959608
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1971,1553,1074,295.2851469420175
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,1034,731,565,153.72707423580786
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,971,838,698,331.42900302114805
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,958,869,798,124.1324200913242
SB:en:itrade:Competitive pricing | Scotia iTRADE,948,838,716,204.08146639511202
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,780,622,574,84.1910569105691
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,751,674,631,222.73228346456693
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,619,471,418,182.293893129771


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),46719,33255,19806
https://www.scotiaitrade.com/en/home.html,20432,18286,9427
(Low Traffic),5282,4432,3057
https://www.scotiaitrade.com/en/home/open-trading-account.html,2285,1916,1593
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1878,1845,1165
https://www.scotiaitrade.com/en/home/pricing-fees.html,945,939,779
https://www.scotiaitrade.com/en/home/trading-account-types/registered/tax-free-savings-accounts-tfsa,999,897,815
https://www.scotiaitrade.com/en/home/contact-us.html,952,840,694
https://www.scotiaitrade.com/en/home/special-offers-programs.html,975,733,550
https://www.scotiaitrade.com/en/home/learning-centre/faqs/holiday-schedule.html,749,674,631
https://www.scotiaitrade.com/en/home/where-to-start.html,778,626,577


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),27679,18727,9844
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,16737,13738,6353
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,808,663,633
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,746,615,503
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,514,411,171
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,403,351,186
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,400,350,344
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,244,235,232
Internal Search,499,227,221
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,217,193,182
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,204,191,190


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,33308
Other,23319
Mobile Phone,8822
Tablet,1164
Media Player,3


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,32828,0.2375715852321189
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,20155,0.13708757132225255
phoenix:Login,1649,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,977,0.2917093142272262
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,755,0.21986754966887417
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,694,0.5432276657060519
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,620,0.8403225806451613
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,537,0.4171322160148976
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,447,0.8926174496644296
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,427,0.667447306791569
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,417,0.050359712230215826


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,33308,33308,0.2456767143028702
Natural Search,16438,17074,0.25915561503832585
Direct,8529,8271,0.25993668659866337
Referring Domains,6622,9411,0.17351253397765026
Session Refresh,927,890,0.3149946062567422
Paid Search,256,194,0.05859375
Paid Social Networks,166,168,0.891566265060241
email,129,126,0.031007751937984496
Display,123,125,0.37398373983739835
Other Campaigns,71,66,0.16901408450704225
Social Networks,47,49,0.851063829787234


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17585
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17585
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
