#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Apr 17, 2022 - Apr 23, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Apr 17, 2022 - Apr 23, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,49538,35068,20615,135.0551443676291
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,27146,23565,12188,77.34726619091056
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2891,2432,2077,92.53939045428407
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2155,1731,1149,307.0021052631579
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,1106,743,551,143.35040983606558
SB:en:itrade:Competitive pricing | Scotia iTRADE,1030,902,757,212.50369003690037
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,877,791,662,287.6454849498328
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,733,592,556,88.06753812636165
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,667,611,555,137.45302013422818
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,629,575,525,140.625
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,602,522,245,62.259023354564754


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),49216,36244,20770
https://www.scotiaitrade.com/en/home.html,24117,21906,10652
(Low Traffic),3656,3380,2778
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2150,2086,1269
https://www.scotiaitrade.com/en/home/open-trading-account.html,2409,2055,1689
https://www.scotiaitrade.com/en/home/pricing-fees.html,1027,1022,837
https://www.scotiaitrade.com/en/home/contact-us.html,876,802,664
https://www.scotiaitrade.com/en/home/special-offers-programs.html,1010,732,533
https://www.scotiaitrade.com/en/home/trading-account-types/registered/tax-free-savings-accounts-tfsa,711,634,572
https://www.scotiaitrade.com/en/home/where-to-start.html,732,595,557
https://www.scotiaitrade.com/en/home/learning-centre/faqs/holiday-schedule.html,629,575,525


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),31935,22475,11171
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,20178,16917,7500
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,949,804,618
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,820,686,633
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,596,476,196
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,486,415,214
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,420,354,345
Internal Search,403,256,246
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,247,239,237
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,277,238,222
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,256,224,123


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,36275
Other,25402
Mobile Phone,9606
Tablet,1264
Media Player,2
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,35680,0.2314461883408072
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21868,0.13060179257362356
phoenix:Login,1866,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1461,0.3928815879534565
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,791,0.202275600505689
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,520,0.85
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,501,0.3852295409181637
SB:en:itrade:Open a TFSA Investment account today | Scotia iTRADE®,478,0.5941422594142259
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,471,0.04883227176220807
SB:en:itrade:How are stocks taxed in Canada? | Posts,463,0.9200863930885529
SB:en:itrade:Competitive pricing | Scotia iTRADE,400,0.435


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,36275,36275,0.2407994486560992
Natural Search,17426,18162,0.2556524733157351
Direct,9342,9118,0.23378291586384073
Referring Domains,7140,10056,0.15196078431372548
Session Refresh,1078,1039,0.3228200371057514
Paid Social Networks,413,413,0.9346246973365617
Display,297,299,0.5723905723905723
Paid Search,293,238,0.09215017064846416
email,141,141,0.0425531914893617
