#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Apr 24, 2022 - Apr 30, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Apr 24, 2022 - Apr 30, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,49915,34875,20823,134.9477537850583
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,25676,22122,11364,77.02534970025692
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2502,2013,1705,91.44526527871055
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,2472,1552,1473,110.2581227436823
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2157,1760,1158,308.06375606375605
SB:en:itrade:Mobile Beta App | Scotia iTRADE®,1435,1300,1094,96.55018137847642
SB:en:itrade:Mobile Beta App Scotia iTrade Confirmation,1071,1020,872,227.71241830065358
SB:en:itrade:Competitive pricing | Scotia iTRADE,1020,899,740,214.63314711359405
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,874,786,671,305.4718309859155
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,874,645,453,123.2544080604534
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,728,584,550,95.52941176470588


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),49661,36013,20986
https://www.scotiaitrade.com/en/home.html,24893,22351,11062
(Low Traffic),3559,2443,2219
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2141,2116,1264
https://www.scotiaitrade.com/en/home/open-trading-account.html,2064,1761,1438
https://www.scotiaitrade.com/en/home/mobile-beta-app-scotia-itrade.html,1243,1166,1048
https://www.scotiaitrade.com/en/home/mobile-beta-app-scotia-itrade/mobile-beta-app-scotia-itrade-con,1069,1018,870
https://www.scotiaitrade.com/en/home/pricing-fees.html,1014,999,787
https://www.scotiaitrade.com/en/home/contact-us.html,867,791,670
https://www.scotiaitrade.com/en/home/special-offers-programs.html,781,625,434
https://www.scotiaitrade.com/en/home/where-to-start.html,724,585,549


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),31081,22327,11023
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,20211,16974,7562
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,962,840,662
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,712,582,551
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,580,487,200
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,435,369,189
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,383,332,325
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,272,266,263
Internal Search,358,239,221
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,280,238,227
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,260,231,132


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,36014
Other,24499
Mobile Phone,10274
Tablet,1230
Media Player,6
Television,3
Gaming Console,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,35467,0.244311613612654
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,20633,0.13197305287646005
phoenix:Login,1699,0
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1320,0.7212121212121212
SB:en:itrade:Mobile Beta App | Scotia iTRADE®,1273,0.3605655930871956
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1209,0.33664185277088504
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,825,0.21575757575757576
SB:en:itrade:How are stocks taxed in Canada? | Posts,494,0.9271255060728745
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,473,0.4312896405919662
SB:en:itrade:Scotia itrade mobile application terms and conditions,472,0.7563559322033898
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,458,0.04148471615720524


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,36014,36014,0.2532626200921864
Natural Search,15050,15711,0.2156810631229236
Direct,10257,10076,0.2671346397582139
Referring Domains,7350,10526,0.19727891156462585
Session Refresh,1085,1060,0.34470046082949307
Display,964,973,0.6109958506224067
Other Campaigns,554,566,0.7833935018050542
Paid Social Networks,314,315,0.7101910828025477
Paid Search,258,215,0.11627906976744186
email,143,143,0.055944055944055944
Social Networks,39,41,0.6923076923076923


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17420
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,456
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,314
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,175
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,167
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,139
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,15307
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+73 more,862

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,17420
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,198
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,105
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,78
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,66
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,56
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,16370
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+74 more,547


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Apr 24, 2022 - Apr 30, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,1725,1170,882,186.8432
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,517,444,272,81.73480662983425
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,117,108,98,413
SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE,100,79,60,197.1315789473684
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,83,64,45,300.3333333333333
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,74,49,40,180.30232558139534
SB:fr:itrade:Les actions sont-elles des actifs liquides? | Publication,44,38,38,997.6666666666666
SB:fr:itrade:Version bêta de la nouvelle appli mobile | Scotia iTRADE,43,10,4,2462.6666666666665
SB:fr:itrade:Comment les actions sont-elles imposées au Canada? | Publication,39,36,30,489.57142857142856
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,32,31,26,140.58333333333334
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,28,28,25,58.90909090909091


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),1719,1213,900
https://www.scotiaitrade.com/fr/accueil.html,504,454,269
(Low Traffic),375,249,208
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,117,108,98
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,80,72,48
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,73,48,39
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.les-actions-sont-e,44,38,38
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.comment-les-action,39,36,30
https://www.scotiaitrade.com/fr/accueil/frais-et-tarification.html,28,33,29
https://www.scotiaitrade.com/fr/accueil/contactez-nous.html,32,31,26
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.croissance-et-investisseme,33,28,25


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),650,449,285
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,425,348,210
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,20,20,10
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,26,18,17
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page top CTA:Dem,15,15,8
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,14,11,11
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:page top CT,12,10,8
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE:page middle CTA:Ouv,8,8,8
Internal Search,10,6,4
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Comptes,13,5,4
SB:fr:itrade:Investir dans les CPG – Un placement sécuritaire – Ouvrez un compte | Scotia iTRAD,5,5,5
SB:fr:itrade:Ouvrez un compte de placement CELI aujourd’hui | Scotia iTRADE:page top CTA:Ouvrez un,5,4,4
SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE:nav-btn:Comptes,5,4,4
SB:fr:itrade:Investissez avec Scotia iTRADE:page top CTA:Renseignez-vous sur l'ouverture de compte,4,4,4
D=v65,4,4,4
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:page top CTA:Demarrez,4,4,3
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Ouvrez un,8,3,3
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:page middle CTA:Vidéos de formation,3,3,3
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Placements,3,3,2
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Àpropos,4,2,2
SB:fr:itrade:Acheter des titres en bourse – Ouvrez un compte aujourd’hui | Scotia iTRADE:page to,3,2,2
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:nav-btn:Formation,2,2,2
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:nav-btn:Tarification,2,2,2
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:nav-btn:Comptes,2,2,2
SB:fr:itrade:Cotisations et retraits simplifiés | Publication:page top CTA:Demarrez,2,2,2
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:nav-btn:Com,2,2,2


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,1213
Other,783
Mobile Phone,383
Tablet,47


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,1202,0.4093178036605657
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,321,0.13395638629283488
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,107,0.9158878504672897
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,88,0
SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE,53,0.660377358490566
SB:fr:itrade:Les actions sont-elles des actifs liquides? | Publication,38,0.9210526315789473
phoenix:Login,36,0
SB:fr:itrade:Comment les actions sont-elles imposées au Canada? | Publication,35,0.8285714285714286
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,23,0.782608695652174
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,22,0.18181818181818182
SB:fr:itrade:Sur la succession : quand et comment transférer des biens de votre vivant | Publicatio,21,0.8571428571428571


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,1213,1213,0.4130255564715581
Natural Search,601,556,0.6089850249584027
Referring Domains,296,422,0.125
Direct,206,195,0.20388349514563106
Paid Social Networks,42,41,0.6428571428571429
Session Refresh,42,41,0.38095238095238093
Social Networks,12,12,1
email,6,5,0
Other Campaigns,4,9,0.25
Display,3,2,0
Paid Search,1,0,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,392
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Investissez avec Scotia iTRADE,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE,

Previous
Focus,Backstep 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,392
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Forfait Ultime,
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Trousse de bienvenue | Scotia iTRADE,


#=================================================================
# CTAs Clicked - EN
# Report suite: Scotiabank Global
"# Date: Apr 24, 2022 - Apr 30, 2022"
# Segments: iTrade Hits
#=================================================================


##############################################
# Start direct investing -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),22743,18549,8795
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,20233,16996,7572
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,962,840,662
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,273,267,264
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,280,238,227
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,192,179,175
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,198,175,172
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Pricing,156,152,137
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:footer:footer-link-cont,150,146,145
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,122,113,104
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn more,78,74,74


##############################################
# Getting started - CTAs
##############################################
,,Occurrences,Visits,Unique Visitors
Custom Link (c65),,35,31,30
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,,18,17,17
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,Custom Link (v65),18,17,17
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open an Account,18,17,17
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,,5,4,3
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,Custom Link (v65),7,7,7
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn more about account openings,5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn how to place a trade,2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,,4,4,4
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,Custom Link (v65),4,4,4
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign in,4,4,4


##############################################
# Growing and Investing - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),0,0,0


##############################################
# Planning for Retirement - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),0,0,0


##############################################
# In Retirement- CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),0,0,0


##############################################
# Bonds - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),31,29,29
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:nav-btn:,14,13,13
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:page top,12,11,11
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:page mid,5,5,5


##############################################
# Invest in low cost ETF's - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),71,45,44
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Investments,22,16,16
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Accounts,11,11,11
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page top CTA:Sign in,7,6,5
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Pricing,6,6,6
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page bottom CTA:Watch,6,6,6
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:About,8,5,5
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Education,4,3,3
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page top CTA:Open an,3,3,3
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page bottom CTA:Open,2,2,2
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:footer:footer-link-op,1,1,1


##############################################
"# Invest in GIC's - CTAs "
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),80,64,61
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Investments,20,18,18
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page top CTA:Sign in,16,14,11
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page middle CTA:Lear,15,14,14
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Accounts,10,10,10
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page top CTA:Open an,5,5,5
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Pricing,5,5,5
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Education,3,3,3
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:footer:footer-link-c,2,2,2
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page middle CTA:See,2,2,2
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:About,2,2,2


##############################################
# Invest in Mutual Funds- CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),56,33,30
SB:en:itrade:Invest in mutual funds & build your portfolio | Scotia iTRADE®:nav-btn:Investments,14,12,12
SB:en:itrade:Invest in mutual funds & build your portfolio | Scotia iTRADE®:nav-btn:Accounts,14,12,11
