#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 1, 2022 - May 7, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 1, 2022 - May 7, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,72503,52204,36509,141.9182565394768
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28206,23743,13357,97.9863782051282
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,16669,14085,12717,111.80722198244857
SB:en:itrade:Mobile Beta App | Scotia iTRADE®,3481,3205,2918,83.73751783166904
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3407,2703,2362,89.06680265170831
SB:en:itrade:Mobile Beta App Scotia iTrade Confirmation,2913,2799,2389,222.35243553008596
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2007,1676,1123,275.9777117384844
SB:en:itrade:Competitive pricing | Scotia iTRADE,1052,939,813,216.3720508166969
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,956,824,704,295.8203389830509
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,775,617,476,116.55367231638418
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,657,534,479,194.5171102661597


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),72215,53857,36910
https://www.scotiaitrade.com/en/home.html,27755,24485,13297
(Low Traffic),8288,7419,6755
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,6070,5632,5075
https://www.scotiaitrade.com/en/home/mobile-beta-app-scotia-itrade.html,3145,2983,2779
https://www.scotiaitrade.com/en/home/mobile-beta-app-scotia-itrade/mobile-beta-app-scotia-itrade-con,2913,2802,2389
https://www.scotiaitrade.com/en/home/open-trading-account.html,2829,2488,2112
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2006,2012,1216
https://www.scotiaitrade.com/en/home/pricing-fees.html,1047,1034,871
https://www.scotiaitrade.com/en/home/contact-us.html,940,835,710
https://www.scotiaitrade.com/en/home/special-offers-programs.html,723,601,453


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),37172,25361,14069
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,24616,18987,9557
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,961,843,674
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,858,726,696
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,710,497,219
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,543,475,460
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,571,421,242
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,298,260,245
Internal Search,400,236,219
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,231,227,224
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,248,223,109


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,53859
Other,31225
Mobile Phone,20694
Tablet,1929
Media Player,10
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,52928,0.3096092805320435
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21964,0.12661628118739757
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,13510,0.5176165803108809
SB:en:itrade:Mobile Beta App | Scotia iTRADE®,3130,0.3405750798722045
phoenix:Login,2190,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1407,0.31130063965884863
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,888,0.21621621621621623
SB:en:itrade:Mobile Beta App Scotia iTrade Confirmation,856,0.883177570093458
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,485,0.6907216494845361
SB:en:itrade:Competitive pricing | Scotia iTRADE,471,0.46284501061571126
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,469,0.03411513859275053


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,53859,53859,0.3186097031136857
Direct,16811,16568,0.30254000356909166
Natural Search,15726,16556,0.20685488999109755
Referring Domains,10326,14758,0.2822971140809607
email,7266,7373,0.5335810624827966
Session Refresh,1275,1250,0.36470588235294116
Display,1261,1272,0.6891356066613799
Other Campaigns,605,606,0.7338842975206612
Paid Search,319,276,0.1786833855799373
Paid Social Networks,224,229,0.6919642857142857
Social Networks,46,48,0.8478260869565217


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20872
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,381
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,244
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,224
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,161
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,144
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,18909
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+73 more,809

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,20872
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: May 1, 2022 - May 7, 2022"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,3330,2485,2075,161.7909011373578
SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE,1704,1472,1289,114.58477508650519
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,548,459,312,80.3183023872679
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,88,68,55,336.08474576271186
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,78,73,64,419.85714285714283
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,68,51,46,127.74418604651163
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,50,44,41,444.3181818181818
SB:fr:itrade:Comment les actions sont-elles imposées au Canada? | Publication,48,45,38,631.75
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,47,43,40,104.80645161290323
SB:fr:itrade:Investir dans les FNB à faible coût – Ouvrez un compte dès aujourd’hui | Scotia,28,23,23,83.64285714285714
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE,28,22,20,112.6470588235294


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),3327,2561,2111
(Low Traffic),1321,1152,1029
https://www.scotiaitrade.com/fr/accueil.html,541,467,308
https://www.scotiaitrade.com/fr/accueil/types-de-placement/fnb-sans-commission.html,456,388,333
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/liste-de-formulaires.html,87,73,55
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,78,73,64
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,68,52,46
https://www.scotiaitrade.com/fr/accueil/frais-et-tarification.html,46,48,44
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.comment-les-action,48,45,38
https://www.scotiaitrade.com/fr/accueil/contactez-nous.html,49,44,40
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-sur-les-marc,25,25,24


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),933,543,391
