#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 8, 2022 - May 14, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 8, 2022 - May 14, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,49079,40570,32816,101.879282150195
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,22288,20274,14470,60.06563386126288
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,6550,6395,6312,51.793323330832706
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2754,2532,2282,53.28185554903112
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1936,1644,1119,284.4602048857368
SB:en:itrade:Scotia itrade mobile application terms and conditions,1067,898,857,173.69402985074626
SB:en:itrade:Competitive pricing | Scotia iTRADE,998,942,846,178.5089463220676
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,731,683,598,222.29880478087648
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,639,566,551,70.50260416666667
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,632,533,437,103.6423076923077
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,582,527,511,111.42342342342343


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),48860,42493,33813
https://www.scotiaitrade.com/en/home.html,22060,20945,14512
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,5534,5538,5538
https://www.scotiaitrade.com/en/home/open-trading-account.html,2721,2532,2263
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1922,1930,1201
https://www.scotiaitrade.com/en/home/pricing-fees.html,994,1044,910
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,1066,897,856
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,855,793,756
https://www.scotiaitrade.com/en/home/contact-us.html,719,697,600
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool?intcmp=,9,641,635
https://www.scotiaitrade.com/en/home/where-to-start.html,639,571,554


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),29386,22329,15767
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,17944,15299,10010
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,898,766,742
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,783,685,548
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,665,652,650
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,569,459,280
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,458,422,413
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,410,353,209
Internal Search,702,247,240
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,236,213,117
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,246,211,205


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,42493
Other,24874
Mobile Phone,16452
Tablet,1164
Media Player,2
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,41362,0.3479038731202553
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19070,0.18578919769271107
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,6216,0.5939510939510939
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1993,0.35925740090316105
phoenix:Login,1832,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1045,0.261244019138756
SB:en:itrade:Scotia itrade mobile application terms and conditions,897,0.8517279821627648
SB:en:itrade:Competitive pricing | Scotia iTRADE,636,0.5
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,496,0.6854838709677419
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,475,0.08
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,435,0.5632183908045977


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,42493,42493,0.361565434306827
Direct,19200,19026,0.40640625
Natural Search,10765,11342,0.27719461216906643
Referring Domains,9655,10832,0.3431382703262558
Session Refresh,2141,2108,0.4857543204110229
Paid Search,239,213,0.11715481171548117
