#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 15, 2022 - May 21, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 15, 2022 - May 21, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,42753,36252,28512,95.32754083484573
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21772,20025,14031,55.05245605502675
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,4737,4655,4613,46.946102021174205
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2308,2121,1934,77.75125808770669
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1757,1496,987,295.52477876106195
SB:en:itrade:Competitive pricing | Scotia iTRADE,958,896,774,197.96502057613168
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,739,698,634,228.6280193236715
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,597,502,382,121.89575289575289
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,529,474,463,75.1919191919192
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,527,475,455,135.24519230769232
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,459,426,267,37.166666666666664


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),42525,37836,29252
https://www.scotiaitrade.com/en/home.html,21536,20645,14070
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,3932,3921,3921
https://www.scotiaitrade.com/en/home/open-trading-account.html,2278,2118,1917
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1750,1789,1065
https://www.scotiaitrade.com/en/home/pricing-fees.html,952,1001,826
https://www.scotiaitrade.com/en/home/contact-us.html,737,716,638
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,725,714,678
https://www.scotiaitrade.com/en/home/special-offers-programs.html,569,491,358
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,527,481,459
https://www.scotiaitrade.com/en/home/where-to-start.html,529,476,464


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),26873,21238,14480
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,17070,15067,9593
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,818,688,673
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,734,639,515
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,565,559,558
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,478,405,228
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,380,352,344
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,365,313,182
Internal Search,308,227,219
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,231,198,196
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,203,177,89


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,37836
Other,23559
Mobile Phone,13124
Tablet,1152
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,36913,0.3206187522011216
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,18939,0.17889012091451503
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,4441,0.5721684305336636
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1608,0.35758706467661694
phoenix:Login,1587,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,973,0.27029804727646456
SB:en:itrade:Competitive pricing | Scotia iTRADE,568,0.46830985915492956
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,521,0.7428023032629558
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,399,0.5338345864661654
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,392,0.08928571428571429
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,365,0.6575342465753424


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,37836,37836,0.3341526588434295
Direct,15862,15715,0.3775059891564746
Natural Search,11415,12073,0.273850197109067
Referring Domains,8215,9354,0.3096774193548387
Session Refresh,1767,1730,0.4617996604414261
Paid Search,226,198,0.10176991150442478
Display,150,147,0.4866666666666667
