#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 23, 2021 - May 29, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 23, 2021 - May 29, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,61799,43842,26158,147.6087899691961
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,30636,26993,13641,72.62830453629648
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,4468,3578,2891,147.33787323205868
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,1981,1897,1732,311.77777777777777
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1606,1396,755,62.32692307692308
SB:en:itrade:iTrade How-to Videos,1420,1337,1291,165.64912280701753
"SB:en:itrade:Stock Trading Fees, Commissions & Interest Rates | Scotia iTRADE®",1364,1182,1050,167.22127659574468
SB:en:itrade:Scotia iTRADE® Forms Library - Find all Forms Here,1338,1131,806,311.18394648829434
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1177,1112,1057,211.71311475409837
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1052,918,725,89.96825396825396
SB:en:itrade:How To Use Scotia iTRADE? | Scotia iTRADE,949,753,674,119.54367201426025


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),61799,44222,26310
https://www.scotiaitrade.com/en/direct-investing-and-online-trading.html,25769,22723,11408
(Low Traffic),5180,4607,3071
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/open-an-account.html,3833,3025,2540
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/powerful-platforms/scotia-itrade,2404,2040,1257
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/faqs/market-holiday-schedule.htm,1981,1897,1732
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/forms-library.html,1323,1701,1134
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/trading-fees/commissions-and-fee,1364,1225,1088
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/why-scotia-itrade/how-to-make-it,1830,1123,989
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/education/education-resource-lib,1177,1122,1064
https://www.scotiaitrade.com/en/direct-investing-and-online-trading/investment-types/registered-acco,1321,979,873


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),512,342,314
Internal Search,451,292,264
SB:en:itrade:404 | Scotia iTRADE®:link:scotiaiTrade-homepage,31,31,31
SB:en:itrade:404 | Scotia iTRADE®:link:Investment types,9,9,9
SB:en:itrade:404 | Scotia iTRADE®:link:Open an account,10,8,8
SB:en:itrade:404 | Scotia iTRADE®:link:ScotiaiTrade-help-centre,7,6,6
SB:en:itrade:404 | Scotia iTRADE®:link:Why Scotia iTRADE,2,2,2
SB:en:itrade:404 | Scotia iTRADE®:link:Sign in,1,1,1
SB:en:itrade:404 | Scotia iTRADE®:link:Webinars,1,1,1


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,44222
Other,28604
Mobile Phone,14121
Tablet,1490
Media Player,6
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,43980,0.4620964074579354
SB:en:itrade:Start Direct Investing & Online Trading Today | Scotia iTRADE®,24873,0.41225425159811846
SB:en:itrade:Market Holiday Schedule 2021 | Scotia iTRADE®,1845,0.9474254742547426
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,1842,0.5548317046688382
phoenix:Login,1768,0
SB:en:itrade:iTrade How-to Videos,1312,0.9260670731707317
SB:en:itrade:Scotia iTRADE® Trading Desk™ - One Page Trading Console,1232,0.349025974025974
SB:en:itrade:Education Resources Library - Tools for Direct Investing | Scotia iTRADE®,1039,0.9326275264677575
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,682,0.34750733137829914
"SB:en:itrade:The Knowledge Navigator, Learn about Investing | Scotia iTRADE®",573,0.9406631762652705
BNS Home page en,559,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,44222,44222,0.4632535841888653
Natural Search,16763,17584,0.46668257471812924
Referring Domains,13308,16761,0.21911632100991885
Direct,8769,8613,0.6673508951989965
Paid Social Networks,2212,2210,0.9525316455696202
Paid Search,957,993,0.35214211076280044
Session Refresh,874,836,0.43249427917620137
Display,789,793,0.8466413181242078
Other Campaigns,466,595,0.759656652360515
Social Networks,47,47,0.723404255319149
email,37,31,0.4594594594594595


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,22405
