#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: May 29, 2022 - Jun 4, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: May 29, 2022 - Jun 4, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,44393,33658,26589,96.2435440566268
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,20229,18736,13355,54.336754282339044
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,3477,3404,3380,54.42951251646904
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1847,1602,1454,55.016216216216215
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1685,1440,975,273.1283471837489
SB:en:itrade:Scotia itrade mobile application terms and conditions,1171,875,821,140.73417721518987
SB:en:itrade:Competitive pricing | Scotia iTRADE,929,875,769,211.1851851851852
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,742,585,476,124.74193548387096
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,730,642,604,283.4431137724551
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,595,467,457,58.832191780821915
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,555,461,455,112.61585365853658


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),44194,35028,27121
https://www.scotiaitrade.com/en/home.html,19981,19335,13362
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,2821,2832,2831
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1683,1701,1056
https://www.scotiaitrade.com/en/home/open-trading-account.html,1806,1583,1426
https://www.scotiaitrade.com/en/home/pricing-fees.html,923,976,824
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,1171,875,821
https://www.scotiaitrade.com/en/home/contact-us.html,729,651,606
https://www.scotiaitrade.com/en/home/special-offers-programs.html,704,568,449
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,591,561,533
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,526,485,283


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),26336,20000,13888
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,16770,14405,9461
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,696,607,469
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,565,450,439
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,491,422,236
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,370,350,346
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,334,290,175
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,298,276,275
Internal Search,325,204,197
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,201,167,152
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,182,161,94


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,35029
Other,22252
Mobile Phone,11693
Tablet,1082
Media Player,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,34181,0.3184225154325502
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17707,0.1733777602078274
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,3245,0.5701078582434514
phoenix:Login,1349,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1303,0.3246354566385265
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,958,0.267223382045929
SB:en:itrade:Scotia itrade mobile application terms and conditions,875,0.7291428571428571
SB:en:itrade:Competitive pricing | Scotia iTRADE,592,0.5574324324324325
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,481,0.814968814968815
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,473,0.5306553911205074
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,436,0.10091743119266056


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,35029,35029,0.3308687087841503
Direct,15218,15088,0.35418583256669733
Natural Search,9645,10184,0.2863659927423535
Referring Domains,8144,9074,0.3210952848722986
Session Refresh,1478,1435,0.4539918809201624
