#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 5, 2022 - Jun 11, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 5, 2022 - Jun 11, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,39779,33571,26685,95.81341005754315
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19626,18213,12942,55.15232245681382
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,3171,3118,3095,51.45720894371627
SB:en:itrade:Scotia itrade mobile application terms and conditions,2390,1805,1761,97.43045112781955
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1785,1682,1544,53.565449688334816
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1722,1488,1008,261.86017699115047
SB:en:itrade:Competitive pricing | Scotia iTRADE,876,832,730,218.75405405405405
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,731,707,641,210.82857142857142
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,606,530,415,109.70786516853933
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,565,506,489,76.31847133757962
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,507,454,438,127.046783625731


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),39587,34954,27152
https://www.scotiaitrade.com/en/home.html,19400,18867,12952
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,2614,2615,2615
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,2390,1805,1761
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1722,1803,1088
https://www.scotiaitrade.com/en/home/open-trading-account.html,1750,1661,1516
https://www.scotiaitrade.com/en/home/pricing-fees.html,874,914,774
https://www.scotiaitrade.com/en/home/contact-us.html,727,714,642
https://www.scotiaitrade.com/en/home/special-offers-programs.html,585,524,396
https://www.scotiaitrade.com/en/home/where-to-start.html,565,509,489
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,483,467,441


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),24758,19641,13534
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,15901,14064,9144
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,677,587,457
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,471,420,415
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,443,387,219
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,409,373,259
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,318,316,313
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,316,288,286
Internal Search,327,220,211
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,211,184,98
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,192,184,181


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,34956
Other,21641
Mobile Phone,12278
Tablet,1023
Media Player,13
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,34116,0.3284089576738187
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17330,0.17478361223312175
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,2995,0.6
SB:en:itrade:Scotia itrade mobile application terms and conditions,1804,0.7045454545454546
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1395,0.32759856630824374
phoenix:Login,1215,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,975,0.25333333333333335
SB:en:itrade:Competitive pricing | Scotia iTRADE,586,0.5921501706484642
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,533,0.7636022514071295
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,429,0.5128205128205128
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,393,0.08142493638676845


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,34956,34956,0.3406854331159171
Direct,15884,15765,0.37257617728531855
Natural Search,9073,9581,0.2927366912818252
Referring Domains,8019,8923,0.31749594712557677
Session Refresh,1522,1477,0.442838370565046
Paid Search,178,151,0.12359550561797752
Display,143,141,0.5314685314685315
email,72,73,0.06944444444444445
Other Campaigns,43,39,0.09302325581395349
Paid Social Networks,15,15,0.26666666666666666
Social Networks,7,8,0.5714285714285714


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,16998
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,223
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,79
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,55
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,46
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Types of accounts for investment & trading | Scotia iTRADE®,37
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,16285
