#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 12, 2022 - Jun 18, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 12, 2022 - Jun 18, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,41982,34436,27729,94.67655487958167
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19853,18139,13086,57.09668573219462
SB:en:itrade:Scotia itrade mobile application terms and conditions,4172,3139,3053,64.7551652892562
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,2817,2708,2684,60.75584415584416
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1814,1680,1550,64.23753399818676
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1668,1451,988,280.8377635197067
SB:en:itrade:Competitive pricing | Scotia iTRADE,981,901,776,178.92805755395685
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,647,626,582,261.0769230769231
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,637,545,437,119.31906614785993
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,585,533,522,60.178674351585016
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,480,431,418,123.5672514619883


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),41779,35654,28094
https://www.scotiaitrade.com/en/home.html,19605,18739,13073
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,4172,3139,3053
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,2159,2159,2159
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1666,1772,1077
https://www.scotiaitrade.com/en/home/open-trading-account.html,1774,1661,1521
https://www.scotiaitrade.com/en/home/pricing-fees.html,980,972,798
https://www.scotiaitrade.com/en/home/contact-us.html,642,637,582
https://www.scotiaitrade.com/en/home/special-offers-programs.html,622,552,429
https://www.scotiaitrade.com/en/home/where-to-start.html,584,540,526
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html,588,533,498


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),24109,19114,13278
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,15493,13585,8910
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,645,561,448
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,498,436,431
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,420,373,208
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,353,314,220
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,301,297,296
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,302,271,267
Internal Search,281,203,195
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,184,183,183
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,174,159,156


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,35657
Other,21231
Mobile Phone,13460
Tablet,960
Media Player,6


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,34875,0.3504802867383512
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17150,0.19230320699708456
SB:en:itrade:Scotia itrade mobile application terms and conditions,3137,0.6917437041759643
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,2572,0.5909797822706065
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1349,0.36100815418828763
phoenix:Login,1290,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,945,0.2634920634920635
SB:en:itrade:Competitive pricing | Scotia iTRADE,607,0.5535420098846787
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,458,0.7816593886462883
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,437,0.5949656750572082
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,413,0.39709443099273606


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,35657,35657,0.3608828561011863
Direct,16514,16393,0.4099551895361511
Natural Search,9444,9953,0.29828462515883103
Referring Domains,7745,8647,0.32730794060684315
Session Refresh,1447,1425,0.4187975120939876
Paid Search,218,186,0.11467889908256881
Display,130,131,0.5538461538461539
