#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 19, 2022 - Jun 25, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 19, 2022 - Jun 25, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,54335,30241,24032,94.32732665510102
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,25209,16252,11644,51.28335209072807
SB:en:itrade:Open a Trading/Investment Account Online | Scotia iTRADE®,5451,63,3,5.166666666666667
SB:en:itrade:Scotia itrade mobile application terms and conditions,3239,2395,2310,56.80673316708229
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,2285,410,379,153.87222222222223
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1933,1902,1892,52.638513513513516
SB:en:itrade:Scotia iTRADE® FAQs - We're here to help,1777,21,1,2.611111111111111
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1612,1498,1386,61.589285714285715
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1554,1349,876,274.4316888045541
SB:en:itrade:Competitive pricing | Scotia iTRADE,891,821,693,220.15364583333334
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,662,633,578,254.32142857142858


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),53960,31349,24370
https://www.scotiaitrade.com/en/home.html,17362,16684,11614
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,3238,2394,2309
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1547,1649,953
https://www.scotiaitrade.com/en/home/open-trading-account.html,1583,1489,1369
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,1484,1484,1483
https://www.scotiaitrade.com/en/home/pricing-fees.html,890,883,721
https://www.scotiaitrade.com/en/home/contact-us.html,651,642,580
https://www.scotiaitrade.com/en/home/where-to-start.html,542,504,488
(Low Traffic),3755,435,259
https://www.scotiaitrade.com/en/home/special-offers-programs.html,480,424,349


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),21502,16986,11746
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,13652,12051,7890
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,607,536,428
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,407,350,345
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,394,331,178
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,327,289,219
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,303,281,278
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,214,214,213
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,190,188,184
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,277,168,108
Internal Search,241,163,157


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,31349
Other,19381
Mobile Phone,11047
Tablet,916
Television,3
Media Player,2


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,30660,0.3366275277234181
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,15410,0.1856586632057106
SB:en:itrade:Scotia itrade mobile application terms and conditions,2393,0.6648558295027163
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1797,0.5531441291040623
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1182,0.32825719120135366
phoenix:Login,1083,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,898,0.23051224944320714
SB:en:itrade:Competitive pricing | Scotia iTRADE,573,0.5532286212914486
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,491,0.7739307535641547
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,375,0.4746666666666667
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,358,0.1340782122905028


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,31349,31349,0.3474114006826374
Direct,13951,13841,0.3771055838291162
Natural Search,8305,8725,0.3000602046959663
Referring Domains,7355,8156,0.3318830727396329
Session Refresh,1273,1249,0.44776119402985076
Paid Search,217,182,0.12903225806451613
Display,114,114,0.6666666666666666
email,52,52,0
