#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jun 26, 2022 - Jul 2, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jun 26, 2022 - Jul 2, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,30950,25564,20696,93.88487538409014
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,14894,13711,10077,53.13395573271793
SB:en:itrade:Scotia itrade mobile application terms and conditions,2496,1854,1795,66.16530278232406
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1741,1703,1693,55.134349030470915
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1372,1299,1211,48.68527315914489
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1252,1085,752,238.43028846153845
SB:en:itrade:Competitive pricing | Scotia iTRADE,706,657,587,219.76797385620915
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,653,472,443,293.78985507246375
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,436,380,373,73.34552845528455
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,373,295,250,159.52554744525548
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,372,335,319,100.45045045045045


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),30780,26580,21019
https://www.scotiaitrade.com/en/home.html,14688,14198,10089
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,2496,1854,1795
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,1343,1340,1340
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1246,1301,824
https://www.scotiaitrade.com/en/home/open-trading-account.html,1336,1281,1181
https://www.scotiaitrade.com/en/home/pricing-fees.html,705,720,611
https://www.scotiaitrade.com/en/home/contact-us.html,651,485,446
https://www.scotiaitrade.com/en/home/where-to-start.html,435,385,376
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,323,346,210
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,371,342,325


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),17753,14249,10072
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,11449,10189,6838
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,475,416,334
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,364,315,307
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,338,310,183
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,303,278,219
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,218,198,195
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,177,171,171
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,139,137,136
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,150,130,77
Internal Search,192,124,114


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,26582
Other,16134
Mobile Phone,9662
Tablet,780
Television,5
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,25960,0.3529275808936826
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,13021,0.20198141463789263
SB:en:itrade:Scotia itrade mobile application terms and conditions,1854,0.6704422869471414
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1622,0.593094944512947
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1066,0.3433395872420263
phoenix:Login,973,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,733,0.252387448840382
SB:en:itrade:Competitive pricing | Scotia iTRADE,439,0.5854214123006833
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,348,0.7729885057471264
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,304,0.08552631578947369
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,291,0.41580756013745707


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,26582,26582,0.3639680987134151
Direct,11990,11891,0.3952460383653044
Natural Search,7168,7538,0.3203125
Referring Domains,5837,6490,0.3371594997430187
Session Refresh,1161,1140,0.46770025839793283
Paid Search,205,176,0.13170731707317074
