#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jul 3, 2022 - Jul 9, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Jul 3, 2022 - Jul 9, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,34183,28087,22605,99.82183233458949
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,16616,15170,11030,53.52840533131676
SB:en:itrade:Scotia itrade mobile application terms and conditions,2669,2029,1966,66.69918699186992
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,2124,2085,2072,60.020431328036324
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1442,1373,1303,51.27947598253275
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1406,1228,862,249.7926167209555
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,869,665,615,345.56
SB:en:itrade:Competitive pricing | Scotia iTRADE,747,690,604,205.71760797342193
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,432,389,382,78.16806722689076
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,427,362,309,137.10365853658536
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,411,364,355,157.2265625


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),34030,29115,22942
https://www.scotiaitrade.com/en/home.html,16418,15655,11025
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,2669,2029,1966
https://www.scotiaitrade.com/en/home/investment-types-products/commission-free-etf.html#tool,1692,1700,1700
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1402,1453,923
https://www.scotiaitrade.com/en/home/open-trading-account.html,1410,1360,1279
https://www.scotiaitrade.com/en/home/pricing-fees.html,746,754,629
https://www.scotiaitrade.com/en/home/contact-us.html,867,677,617
https://www.scotiaitrade.com/en/home/where-to-start.html,432,396,388
(Low Traffic),479,387,342
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,385,386,240


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),19842,15792,11092
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,12768,11370,7552
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,548,480,386
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,370,328,321
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,354,327,191
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,321,286,236
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,254,238,237
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®:page top CTA:Open an account,215,212,212
Internal Search,348,160,153
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,147,143,142
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,167,137,127


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,29115
Other,18030
Mobile Phone,10259
Tablet,825
Television,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,28465,0.3451255928333041
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,14447,0.1913892157541358
SB:en:itrade:Scotia itrade mobile application terms and conditions,2028,0.6967455621301775
SB:en:itrade:Commission-Free ETFs Trading in Canada | Scotia iTRADE®,1996,0.5961923847695391
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1130,0.32035398230088497
phoenix:Login,1002,0
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,796,0.2663316582914573
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,490,0.773469387755102
SB:en:itrade:Competitive pricing | Scotia iTRADE,458,0.5982532751091703
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,357,0.11484593837535013
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,291,0.44329896907216493


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,29115,29115,0.3560707539069208
Direct,13372,13277,0.3959018845348489
Natural Search,7721,8122,0.2940033674394508
Referring Domains,6440,7181,0.33524844720496894
Session Refresh,1130,1102,0.4451327433628319
Paid Search,202,172,0.13861386138613863
Display,110,110,0.6909090909090909
