#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 7, 2022 - Aug 13, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Aug 7, 2022 - Aug 13, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,41188,34829,28364,100.7292766051011
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,19574,18300,13354,57.177185044058106
SB:en:itrade:Scotia itrade mobile application terms and conditions,3391,2590,2475,58.78007761966365
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1939,1573,1065,286.7911338448423
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1294,1197,1100,47.68557336621455
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1216,1173,1158,68.71232876712328
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,1211,1135,1067,126.10859728506787
SB:en:itrade:Competitive pricing | Scotia iTRADE,865,808,717,202.99445983379502
SB:en:itrade:Reasons to join - advantages & features of Scotia iTRADE®,831,811,809,154.575
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,647,627,578,254.8421052631579
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,479,454,284,47.73371104815864


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),40986,36089,28693
https://www.scotiaitrade.com/en/home.html,19326,18906,13356
https://www.scotiaitrade.com/en/home/campaigns/scotia-itrade-mobile-application-terms-and-conditions,3391,2590,2475
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1936,1933,1158
https://www.scotiaitrade.com/en/home/open-trading-account.html,1268,1196,1090
https://www.scotiaitrade.com/en/home/where-to-start.html,1216,1181,1164
https://www.scotiaitrade.com/en/home/special-offers-programs.html,1209,1152,1067
https://www.scotiaitrade.com/en/home/pricing-fees.html,863,885,752
https://www.scotiaitrade.com/en/home/why-itrade.html,827,811,807
https://www.scotiaitrade.com/en/home/contact-us.html,643,646,582
(Low Traffic),586,545,533


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),23606,18534,12858
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,15350,13610,9024
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,750,635,509
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,489,417,238
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,344,321,257
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,292,262,257
Internal Search,419,233,223
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,322,183,112
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,228,183,175
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,191,175,173
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,147,147,147


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,36089
Other,25444
Mobile Phone,9811
Tablet,831
Media Player,3


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,35235,0.4024407549311764
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17440,0.20430045871559632
SB:en:itrade:Scotia itrade mobile application terms and conditions,2590,0.7015444015444016
phoenix:Login,1126,0
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1054,0.8140417457305503
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®,1043,0.8523489932885906
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,993,0.283987915407855
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,964,0.31431535269709543
SB:en:itrade:Reasons to join - advantages & features of Scotia iTRADE®,788,0.9682741116751269
SB:en:itrade:Competitive pricing | Scotia iTRADE,575,0.5860869565217391
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,502,0.796812749003984


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,36089,36089,0.4118152345590069
Direct,16942,16830,0.46647385196552943
Natural Search,9065,9579,0.28361831218974076
Referring Domains,8504,9343,0.4407337723424271
Session Refresh,1165,1139,0.455793991416309
Paid Search,171,145,0.08187134502923976
Display,101,98,0.5841584158415841
Other Campaigns,60,60,0.08333333333333333
email,39,39,0
Paid Social Networks,22,22,0.7272727272727273
