#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 29, 2021 - Sep 4, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Aug 29, 2021 - Sep 4, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,61840,44944,27549,139.2776168508386
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,36121,31619,17985,91.21416888639656
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3995,3173,2460,88.34687619777692
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2585,2392,2075,78.4980879541109
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1987,1661,1150,284.424514200299
SB:en:itrade:Competitive pricing | Scotia iTRADE,1335,1202,1064,218.24020442930154
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1259,1173,1097,279.3125
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1105,913,855,95.13125
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,935,853,458,45.03403141361257
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",895,848,804,254.66233766233765
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,712,645,565,342.8627450980392


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),61444,46317,27702
https://www.scotiaitrade.com/en/home.html,34648,31491,17042
https://www.scotiaitrade.com/en/home/open-trading-account.html,3966,3205,2457
(Low Traffic),3087,2857,2740
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1985,2085,1276
https://www.scotiaitrade.com/en/home/learning-centre.html,1764,1682,1360
https://www.scotiaitrade.com/en/home/pricing-fees.html,1334,1263,1087
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,921,918,463
https://www.scotiaitrade.com/en/home/where-to-start.html,1071,898,827
https://www.scotiaitrade.com/en/home/contact-us.html,710,651,569
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,699,582,511


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),37281,26698,12748
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22618,19436,8159
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1308,1053,963
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1009,870,731
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,952,789,370
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,1028,771,371
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,697,629,419
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,678,564,540
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,355,297,286
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,343,291,275
Internal Search,423,286,264


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,46317
Other,27457
Mobile Phone,17257
Tablet,1594
Media Player,6
Gaming Console,2
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,45665,0.3309317858315997
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,29759,0.287845693739709
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2121,0.5973597359735974
phoenix:Login,1775,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1579,0.21279290690310323
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1084,0.9280442804428044
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",799,0.934918648310388
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,754,0.05305039787798409
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,733,0.23874488403819918
SB:en:itrade:Competitive pricing | Scotia iTRADE,518,0.5694980694980695
BNS Home page en,496,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,46317,46317,0.3378888960856705
Natural Search,14311,15051,0.18587100831528194
Direct,12476,12299,0.3675857646681629
Referring Domains,11369,14863,0.20758202128595302
Social Networks,6763,6777,0.8437084134259943
Session Refresh,861,835,0.3089430894308943
Paid Search,304,275,0.08881578947368421
Other Campaigns,118,114,0.15254237288135594
email,68,66,0.25
