#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Sep 12, 2021 - Sep 18, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Sep 12, 2021 - Sep 18, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,53271,37836,22356,127.4178233679073
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28772,25027,13008,72.7655985670216
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3759,2930,2395,85.57118786857625
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2347,2211,1931,64.60175879396985
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2005,1700,1106,287.7248752672844
SB:en:itrade:Competitive pricing | Scotia iTRADE,1477,1324,1138,226.15846153846155
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1047,1004,975,138.20212765957447
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1000,944,898,190.41666666666666
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,969,793,723,111.17578772802653
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,721,585,515,156.96774193548387
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,718,673,312,44.6453781512605


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),52936,39076,22462
https://www.scotiaitrade.com/en/home.html,26726,24305,11730
https://www.scotiaitrade.com/en/home/open-trading-account.html,3734,2956,2392
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2004,2096,1209
https://www.scotiaitrade.com/en/home/pricing-fees.html,1472,1407,1161
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,1403,1260,1014
https://www.scotiaitrade.com/en/home/learning-centre.html,1157,1103,815
https://www.scotiaitrade.com/en/home/where-to-start.html,959,793,720
https://www.scotiaitrade.com/en/home/learning-centre.html?cid=fb_bns_1kHtnOWjypefWjIpMhKSC5b2QcWyRsL,794,762,757
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,706,719,315
https://www.scotiaitrade.com/en/home/contact-us.html,711,688,570


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),35993,25299,12278
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,21598,18440,7907
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1349,1063,986
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1089,933,763
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,745,637,254
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,662,556,533
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,847,541,305
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,545,480,277
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,350,310,302
Internal Search,443,298,268
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,342,293,274


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,39076
Other,25673
Mobile Phone,11964
Tablet,1433
Media Player,6


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,38477,0.2609091145359566
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,23240,0.15382960413080896
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1983,0.6732223903177005
phoenix:Login,1707,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1370,0.2678832116788321
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",966,0.9337474120082816
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,871,0.928817451205511
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,765,0.1869281045751634
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,627,0.051036682615629984
SB:en:itrade:Competitive pricing | Scotia iTRADE,593,0.5615514333895447
BNS Home page en,482,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,39076,39076,0.2692701402395332
Natural Search,13934,14668,0.1746088703889766
Direct,10100,9947,0.2606930693069307
Referring Domains,9398,12729,0.16067248350712918
Paid Social Networks,1978,1979,0.9393326592517695
