#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Sep 19, 2021 - Sep 25, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Sep 19, 2021 - Sep 25, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,57198,39978,23757,131.1315585708492
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,30361,26325,13770,71.79944962101096
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3863,3121,2591,90.45972495088408
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2664,2459,2223,86.73923739237392
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2382,1759,1142,303.71369006254344
SB:en:itrade:Competitive pricing | Scotia iTRADE,1667,1430,1185,267.2894375857339
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1084,1036,984,144.36458333333334
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1070,977,923,208.8543046357616
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,882,711,643,125.61376673040154
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,833,724,336,50.75235109717868
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,825,738,601,302.7867132867133


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),56843,41217,23860
https://www.scotiaitrade.com/en/home.html,27574,24914,11952
https://www.scotiaitrade.com/en/home/open-trading-account.html,3843,3151,2588
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2382,2176,1285
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,2056,1888,1529
https://www.scotiaitrade.com/en/home/pricing-fees.html,1666,1550,1217
https://www.scotiaitrade.com/en/home/learning-centre.html,1205,1114,906
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,825,768,336
https://www.scotiaitrade.com/en/home/contact-us.html,817,750,601
https://www.scotiaitrade.com/en/home/where-to-start.html,875,716,642
https://www.scotiaitrade.com/en/home/learning-centre.html?cid=fb_bns_1kHtnOWjypefWjIpMhKSC5b2QcWyRsL,728,682,670


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),37242,26088,12533
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22208,19026,8008
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1330,1088,1027
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,944,834,677
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,746,684,661
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,810,660,259
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,800,606,332
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,694,594,570
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,436,400,271
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,345,299,283
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,342,291,281


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,41219
Other,26686
Mobile Phone,12892
Tablet,1638
Media Player,2
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,40626,0.2708117954019593
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,24490,0.16337280522662312
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2207,0.708201178069778
phoenix:Login,1751,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1423,0.2768798313422347
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",982,0.9429735234215886
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,906,0.8951434878587197
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,755,0.21456953642384105
SB:en:itrade:Competitive pricing | Scotia iTRADE,664,0.5256024096385542
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,660,0.06666666666666667
BNS Home page en,535,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,41219,41219,0.2785123365438269
Natural Search,14755,15541,0.17200948830904778
Direct,10078,9925,0.26483429251835683
