#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Sep 26, 2021 - Oct 2, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Sep 26, 2021 - Oct 2, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,56386,40701,24499,132.955335631417
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,31535,27248,14407,81.92823735059291
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3947,3169,2574,87.54274509803922
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2171,2055,1878,73.07042253521126
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1938,1629,1079,280.66415094339624
SB:en:itrade:Competitive pricing | Scotia iTRADE,1305,1186,990,263.86863711001644
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1122,1058,1011,154.2429906542056
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,939,867,809,218.45925925925926
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,763,705,351,59.97106109324759
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,759,710,610,338.2549800796813
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,748,612,576,92.51219512195122


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),56038,41966,24625
https://www.scotiaitrade.com/en/home.html,28198,25408,12164
https://www.scotiaitrade.com/en/home/open-trading-account.html,3929,3215,2569
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,2440,2204,1796
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1937,1994,1199
https://www.scotiaitrade.com/en/home/pricing-fees.html,1299,1254,1006
https://www.scotiaitrade.com/en/home/learning-centre.html,889,845,694
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,753,757,353
https://www.scotiaitrade.com/en/home/contact-us.html,748,723,611
https://www.scotiaitrade.com/en/home/where-to-start.html,741,614,575
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,733,597,506


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),37242,26088,12533
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22208,19026,8008
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1330,1088,1027
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,944,834,677
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,746,684,661
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,810,660,259
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,800,606,332
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,694,594,570
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources:page top CTA:Sign in,436,400,271
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,345,299,283
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,342,291,281


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,41967
Other,26570
Mobile Phone,13782
Tablet,1613
Media Player,2


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,41366,0.2874824735289851
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,25357,0.17454746223922388
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1842,0.7785016286644951
phoenix:Login,1736,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1378,0.29753265602322204
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1001,0.929070929070929
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,792,0.9065656565656566
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,723,0.24204702627939143
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,643,0.06376360808709176
SB:en:itrade:Competitive pricing | Scotia iTRADE,551,0.5390199637023594
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,501,0.8483033932135728


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,41967,41967,0.2951128267448233
Natural Search,16473,17231,0.21768955260122624
Direct,9752,9592,0.26599671862182117
Referring Domains,9037,12470,0.16587363062963373
Other Campaigns,2770,2899,0.7617328519855595
Paid Social Networks,2111,2113,0.936049265750829
Session Refresh,833,796,0.234093637454982
Display,628,509,0.5875796178343949
Paid Search,262,239,0.10305343511450382
email,62,64,0.24193548387096775
Social Networks,39,30,0.358974358974359


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,21884
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1025
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,445
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,406
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,239
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,189
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Exits,18735
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+84 more,845

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,21884
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,238
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,182
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,118
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,74
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,68
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,Entries,20624
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,+83 more,580


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Sep 26, 2021 - Oct 2, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,2505,1765,1394,171.9188481675393
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,619,533,275,64.53897550111358
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,386,370,357,67.875
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,349,331,321,218.19354838709677
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,107,87,80,72.85507246376811
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,90,55,50,229.5625
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,61,54,47,322.27659574468083
SB:fr:itrade:Glossaire des termes de placement et de négociation les plus courants | Scotia iTRADE,53,11,11,559
SB:fr:itrade:iClub de Scotia iTRADE – Programme à deux niveaux | Scotia iTRADE,42,34,34,61.666666666666664
