#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 10, 2021 - Oct 16, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Oct 10, 2021 - Oct 16, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,57384,41410,25479,140.540228148372
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,32576,28511,15765,86.81167869259808
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,4046,3154,2647,96.09356014580801
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1889,1775,1656,87.61004784688996
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1887,1577,1029,291.77032359905286
SB:en:itrade:Competitive pricing | Scotia iTRADE,1213,1090,927,233.54434782608695
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1130,1057,992,235.87586206896552
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1000,936,901,185.9904761904762
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,858,696,645,123.937106918239
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,823,701,312,58.49432739059968
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,783,601,515,212.03703703703704


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),57016,42533,25583
https://www.scotiaitrade.com/en/home.html,26855,24509,11851
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,4961,4413,3612
https://www.scotiaitrade.com/en/home/open-trading-account.html,4028,3194,2650
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1882,1913,1142
https://www.scotiaitrade.com/en/home/pricing-fees.html,1212,1160,955
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,817,745,314
https://www.scotiaitrade.com/en/home/where-to-start.html,856,700,645
https://www.scotiaitrade.com/en/home/contact-us.html,715,689,549
https://www.scotiaitrade.com/en/home/learning-centre.html,686,647,560
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,781,622,529


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),36592,25318,12515
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,21971,18763,7991
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1462,1138,1035
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1230,1112,1046
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,844,750,624
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,793,645,257
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,742,612,590
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,770,532,313
Internal Search,965,288,260
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,290,271,259
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,275,268,265


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,42533
Other,25908
Mobile Phone,14993
Tablet,1627
Media Player,4
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,42016,0.3083111195734958
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,26586,0.2177837959828481
phoenix:Login,1646,0
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1588,0.8337531486146096
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1361,0.2975753122703894
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,969,0.9205366357069144
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",894,0.9172259507829977
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,710,0.24225352112676057
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,641,0.06396255850234009
SB:en:itrade:Competitive pricing | Scotia iTRADE,465,0.5376344086021505
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,449,0.8953229398663697


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,42533,42533,0.3144617120823831
Natural Search,15816,16497,0.20763783510369246
Direct,9426,9257,0.2524931041799279
Referring Domains,8446,12085,0.16871892019891072
