#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 17, 2021 - Oct 23, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Oct 17, 2021 - Oct 23, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,65022,46183,27995,135.147312798041
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,35396,30549,16204,76.78354256162156
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,5030,4098,3393,91.94482966536026
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2644,2114,1402,308.4225113122172
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,2244,2148,1998,74.13487475915221
SB:en:itrade:Competitive pricing | Scotia iTRADE,1364,1261,1093,246.19508196721313
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1316,1218,1132,244.77710843373495
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",1083,1019,970,252.19444444444446
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,1007,797,748,112.52364273204904
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,937,815,383,72.48101265822785
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,877,668,577,207.14088397790056


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),64603,47621,28130
https://www.scotiaitrade.com/en/home.html,31733,28684,13681
https://www.scotiaitrade.com/en/home/open-trading-account.html,5011,4156,3390
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2639,2578,1557
https://www.scotiaitrade.com/en/home.html?cid=vd_bns_SlTgwPXYbXB1ZgFflcm7e6dmFjFzFkAHJPvgK72n&dclid=,2779,2448,2171
https://www.scotiaitrade.com/en/home/pricing-fees.html,1359,1336,1120
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,927,871,384
https://www.scotiaitrade.com/en/home/contact-us.html,854,827,695
https://www.scotiaitrade.com/en/home/where-to-start.html,1004,798,746
https://www.scotiaitrade.com/en/home/learning-centre.html,805,768,648
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,877,681,588


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),42775,29899,14643
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,25679,21716,9055
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,2043,1655,1492
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1594,1438,1341
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1164,982,795
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,968,764,312
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,840,711,677
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,818,650,379
Internal Search,499,333,316
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,331,325,323
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,349,316,305


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,47621
Other,30529
Mobile Phone,15218
Tablet,1871
Media Player,3


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,46937,0.280056245605812
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,28457,0.16702393084302633
phoenix:Login,2101,0
SB:en:itrade:Scotia iTRADE® U - Free Tools & Educational Resources,1929,0.8216692586832556
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1689,0.27767910005920665
SB:en:itrade:iTRADE how-to videos | Scotia iTRADE®,1116,0.921146953405018
"SB:en:itrade:The knowledge navigator, learn about investing | Scotia iTRADE®",967,0.9183040330920372
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,957,0.18286311389759666
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,740,0.05810810810810811
SB:en:itrade:Competitive pricing | Scotia iTRADE,556,0.5899280575539568
BNS Home page en,546,0


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,47621,47621,0.2878561978958863
Natural Search,18036,18786,0.18036149922377467
Direct,11982,11798,0.2788349190452345
Referring Domains,9883,14437,0.1706971567337853
Other Campaigns,2901,2976,0.7452602550844536
Paid Social Networks,2285,2288,0.9439824945295405
