#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Nov 21, 2021 - Nov 27, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Nov 21, 2021 - Nov 27, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,60776,42130,23973,141.1823243088474
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,35006,29815,15504,77.70753564154786
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,4906,3974,3272,106.1885014137606
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2849,2347,1611,345.78126608337624
SB:en:itrade:Competitive pricing | Scotia iTRADE,1259,1139,1006,258.1512605042017
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,1093,983,836,319.7445652173913
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,878,701,641,95.28810408921933
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,868,642,548,195.8219584569733
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,821,714,316,66.94209702660407
SB:en:itrade:How are stocks taxed in Canada? | Posts,654,615,548,491.2040816326531
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,642,597,539,137.98765432098764


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),60374,43507,24069
https://www.scotiaitrade.com/en/home.html,28463,25500,12798
(Low Traffic),6529,5908,3806
https://www.scotiaitrade.com/en/home/open-trading-account.html,4502,3706,2974
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2836,2882,1795
https://www.scotiaitrade.com/en/home/pricing-fees.html,1256,1192,1022
https://www.scotiaitrade.com/en/home/contact-us.html,1092,1012,838
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,808,766,319
https://www.scotiaitrade.com/en/home/where-to-start.html,876,705,641
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,861,655,555
https://www.scotiaitrade.com/en/home/learning-centre/posts.stocks.how-are-equity-stocks-taxes-in-can,654,615,548


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),38167,26244,13352
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,22828,19015,8568
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1778,1395,1258
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1047,945,884
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,985,844,697
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,873,722,477
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,797,688,652
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,844,672,245
Internal Search,517,321,297
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,352,297,160
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,430,272,183


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,43586
Other,31994
Mobile Phone,10115
Tablet,1476
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,42915,0.1934288710241174
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,27738,0.11125531761482443
phoenix:Login,2235,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1818,0.29757975797579755
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1067,0.21087160262417995
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,634,0.055205047318611984
SB:en:itrade:How are stocks taxed in Canada? | Posts,611,0.9198036006546645
BNS Home page en,605,0
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,573,0.8848167539267016
SB:en:itrade:Competitive pricing | Scotia iTRADE,481,0.6133056133056133
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,444,0.6554054054054054


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,43586,43586,0.202932134171523
Natural Search,20096,21105,0.2067575636942675
Direct,11868,11519,0.22320525783619818
Referring Domains,9627,13936,0.15903188947751118
Session Refresh,1021,996,0.267384916748286
Paid Search,351,300,0.08262108262108261
Display,298,298,0.540268456375839
Other Campaigns,189,186,0.0582010582010582
email,86,81,0.1511627906976744
