#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Nov 28, 2021 - Dec 4, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Nov 28, 2021 - Dec 4, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,56300,39632,22004,133.2615328126043
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,32844,28409,14404,70.88090261485304
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,4600,3737,3118,98.03727770177838
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2771,2308,1536,335.3951067152525
SB:en:itrade:Competitive pricing | Scotia iTRADE,1274,1131,968,250.6469534050179
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,947,886,770,281.8392857142857
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,783,624,588,103.02631578947368
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,762,602,515,225.08132530120483
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,728,663,307,55.05507745266782
SB:en:itrade:How are stocks taxed in Canada? | Posts,582,554,510,433
SB:en:itrade:Scotia iTRADE® FAQs - we're here to help,518,475,397,195.94137931034481


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),55919,41163,22129
https://www.scotiaitrade.com/en/home.html,27725,25314,12291
(Low Traffic),4161,3676,2519
https://www.scotiaitrade.com/en/home/open-trading-account.html,4167,3421,2753
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2762,2890,1737
https://www.scotiaitrade.com/en/home/pricing-fees.html,1273,1202,990
https://www.scotiaitrade.com/en/home/contact-us.html,946,906,772
https://www.scotiaitrade.com/en/home/why-itrade/powerful-platforms/scotia-itrade-trading-desk.html,717,712,315
https://www.scotiaitrade.com/en/home/where-to-start.html,782,628,589
https://www.scotiaitrade.com/en/home/open-practice-trading-acccount.html,752,618,525
https://www.scotiaitrade.com/en/home/learning-centre/posts.stocks.how-are-equity-stocks-taxes-in-can,582,555,511


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),38617,26840,13238
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,23764,19835,8662
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1837,1348,1227
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1124,1000,940
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,986,855,678
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,862,729,450
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,758,641,608
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,735,610,238
Internal Search,581,304,271
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,296,258,158
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,447,246,155


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,41205
Other,30361
Mobile Phone,9371
Tablet,1470
Gaming Console,3


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,40386,0.184024166790472
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,26262,0.11122534460437133
phoenix:Login,2195,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1776,0.32882882882882886
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,1054,0.21537001897533206
BNS Home page en,634,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,594,0.05218855218855219
SB:en:itrade:How are stocks taxed in Canada? | Posts,542,0.9280442804428044
SB:en:itrade:Competitive pricing | Scotia iTRADE,516,0.5775193798449613
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,380,0.6736842105263158
SB:en:itrade:Open a practice trading account online | Scotia iTRADE®,337,0.5875370919881305


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,41205,41205,0.1958257493022691
Natural Search,18645,19522,0.18761061946902655
Direct,10863,10580,0.2043634355150511
Referring Domains,9516,13293,0.1757040773434216
Session Refresh,1134,1104,0.291005291005291
Display,378,375,0.6746031746031746
Paid Search,366,309,0.08469945355191257
Other Campaigns,171,174,0.07017543859649122
Social Networks,64,66,0.40625
email,63,64,0.3492063492063492
Paid Social Networks,5,5,0.6


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,23072
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,23072
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
