#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Dec 12, 2021 - Dec 18, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Dec 12, 2021 - Dec 18, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,84922,62616,43353,161.0774348237201
SB:en:itrade:Winter Offer | Scotia iTRADE®,27986,26239,22614,183.5435577543558
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,26359,22725,11643,74.5893177007002
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,3879,3438,2814,274.6577253218884
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,3430,2741,2208,80.92433910665451
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2518,2078,1380,325.73135198135196
SB:en:itrade:Winter Offer - Triage,1312,1004,873,45.00545851528384
SB:en:itrade:Competitive pricing | Scotia iTRADE,1301,1171,1010,254.1739837398374
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,843,776,673,273.0103448275862
SB:en:itrade:Scotia iTRADE® iClub - two level membership program | Scotia iTRADE®,820,686,620,82.94392523364486
SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,778,657,593,93.90084388185655


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),84553,63858,43508
(Low Traffic),31566,28560,23925
https://www.scotiaitrade.com/en/home.html,23697,21458,10544
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2510,2611,1567
https://www.scotiaitrade.com/en/home/open-trading-account.html,3193,2597,2037
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,2748,2528,2095
https://www.scotiaitrade.com/en/home/pricing-fees.html,1298,1226,1024
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1310,1198,1124
https://www.scotiaitrade.com/en/home/winter-offer-ec.html#form,1105,1029,892
https://www.scotiaitrade.com/en/home/contact-us.html,841,795,678
https://www.scotiaitrade.com/en/home/special-offers-programs/scotia-itrade-club.html,820,688,620


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),32936,22836,11593
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,18755,15993,6923
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,1285,1017,917
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,880,759,608
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,713,660,607
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,642,533,197
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,577,504,476
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,676,466,245
Internal Search,394,272,248
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:page top CTA:Sign in,258,235,142
SB:en:itrade:Scotia iTRADE® forms library - find all forms here:nav-btn:Accounts,423,234,150


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,63908
Mobile Phone,31104
Other,31072
Tablet,1731
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,63225,0.4844760775009885
SB:en:itrade:Winter Offer | Scotia iTRADE®,25521,0.8249284902629207
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21011,0.11731949930988529
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,3023,0.7777042672841548
phoenix:Login,1865,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1345,0.2936802973977695
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,970,0.20927835051546392
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,536,0.06529850746268656
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,517,0.8201160541586073
BNS Home page en,505,0
SB:en:itrade:Competitive pricing | Scotia iTRADE,499,0.5551102204408818


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,63908,63908,0.4878106027414408
email,22453,22604,0.8600187057408809
Natural Search,16711,17471,0.22673687989946742
Direct,11881,11556,0.3327161013382712
Referring Domains,9324,14020,0.21975546975546975
Other Campaigns,1806,1820,0.8255813953488372
Session Refresh,1141,1111,0.32690622261174407
Paid Search,288,247,0.09375
Display,249,248,0.5742971887550201
Social Networks,49,50,0.8163265306122449
Paid Social Networks,6,5,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,18409
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Contact us - customer support | Scotia iTRADE®,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,18409
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Dec 12, 2021 - Dec 18, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,5410,3107,2489,238.3613000755858
SB:fr:itrade:404 | Scotia iTRADE,1495,1290,1158,56.00391389432485
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,717,622,387,61.70161290322581
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,587,489,423,300.09090909090907
SB:fr:itrade:Investir dans les FNB à faible coût – Ouvrez un compte dès aujourd’hui | Scotia,304,29,29,463.85714285714283
SB:fr:itrade:Offre d'hiver - Triage,187,136,125,79.07751937984496
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,171,139,114,136
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,150,117,107,91.91304347826087
SB:fr:itrade:Investissez avec Scotia iTRADE,81,74,60,71.97872340425532
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,80,72,63,489
SB:fr:itrade:À propos de Scotia iTRADE | Scotia iTRADE,78,76,70,136.48648648648648


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),5389,3158,2511
(Low Traffic),2743,1906,1648
https://www.scotiaitrade.com/fr/accueil.html,693,622,380
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,150,117,107
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver-ce.html,110,95,81
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html?cid=S1eWINT1121-002,139,94,84
