#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Dec 19, 2021 - Dec 25, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Dec 19, 2021 - Dec 25, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,56417,40116,24550,146.4641023584149
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21785,18975,9355,76.46756739030629
SB:en:itrade:Winter Offer | Scotia iTRADE®,9212,8315,6136,80.11348205625606
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,2703,2492,2302,200.47838616714697
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,2560,2259,2074,165.91132075471697
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2381,1936,1559,98.87967581047381
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2103,1717,1114,300.4332179930796
SB:en:itrade:Winter Offer - Triage,1155,922,790,88.56264775413712
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1103,933,741,297.23514851485146
SB:en:itrade:Competitive pricing | Scotia iTRADE,1008,907,771,253.520697167756
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,787,719,613,338.3296703296703


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),56074,41209,24656
https://www.scotiaitrade.com/en/home.html,21210,19343,9147
(Low Traffic),8404,7474,5276
https://www.scotiaitrade.com/en/home/learning-centre/faqs/market-holiday-schedule.html,2703,2496,2302
https://www.scotiaitrade.com/en/home/learning-centre/faqs/holiday-schedule.html,2559,2264,2073
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,2101,2209,1275
https://www.scotiaitrade.com/en/home/open-trading-account.html,2360,1963,1556
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,1509,1425,1350
https://www.scotiaitrade.com/en/home/pricing-fees.html,1005,974,794
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1153,931,790
https://www.scotiaitrade.com/en/home/winter-offer-ec.html,830,755,592


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),29164,20383,9891
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,17161,14669,6153
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,967,753,674
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,731,638,514
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,628,506,178
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,505,467,435
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,440,393,349
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,436,385,365
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,439,381,373
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,459,346,183
Internal Search,346,240,224


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,41281
Other,25894
Mobile Phone,13768
Tablet,1617
Gaming Console,1
Media Player,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,40688,0.31547384978372
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17445,0.12737173975351104
SB:en:itrade:Winter Offer | Scotia iTRADE®,7452,0.4577294685990338
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,2296,0.8972125435540069
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,1957,0.8083801737353091
phoenix:Login,1766,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,880,0.23977272727272728
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,849,0.17550058892815076
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,597,0.7035175879396985
BNS Home page en,545,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,499,0.05410821643286573


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,41281,41281,0.3220367723650105
Natural Search,19397,20149,0.3375264216115894
Direct,8906,8626,0.24275769144397036
Referring Domains,8170,11558,0.17723378212974297
email,1677,1703,0.7978533094812165
Other Campaigns,1593,1597,0.8279974890144381
Session Refresh,954,918,0.29035639412997905
Paid Search,276,231,0.09420289855072464
