#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Dec 26, 2021 - Jan 1, 2022"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Dec 26, 2021 - Jan 1, 2022"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,56417,40116,24550,146.4641023584149
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21785,18975,9355,76.46756739030629
SB:en:itrade:Winter Offer | Scotia iTRADE®,9212,8315,6136,80.11348205625606
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,2703,2492,2302,200.47838616714697
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,2560,2259,2074,165.91132075471697
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2381,1936,1559,98.87967581047381
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2103,1717,1114,300.4332179930796
SB:en:itrade:Winter Offer - Triage,1155,922,790,88.56264775413712
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1103,933,741,297.23514851485146
SB:en:itrade:Competitive pricing | Scotia iTRADE,1008,907,771,253.520697167756
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,787,719,613,338.3296703296703


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),59416,43984,28897
https://www.scotiaitrade.com/en/home.html,21567,19654,10047
https://www.scotiaitrade.com/en/home/learning-centre/faqs/market-holiday-schedule.html,5850,5403,4984
https://www.scotiaitrade.com/en/home/learning-centre/faqs/holiday-schedule.html,4598,4042,3669
(Low Traffic),4173,3707,2845
https://www.scotiaitrade.com/en/home/open-trading-account.html,2685,2201,1782
https://www.scotiaitrade.com/en/home/winter-offer.html?cid=S1eWINT1121-001,2214,2127,2057
https://www.scotiaitrade.com/en/home/learning-centre/forms-library.html,1596,1678,1084
https://www.scotiaitrade.com/en/home/pricing-fees.html,1058,981,860
https://www.scotiaitrade.com/en/home/winter-offer-triage.html,1008,851,776
https://www.scotiaitrade.com/en/home/contact-us.html,884,813,674


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),29423,20841,11015
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,17499,14949,6880
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:start-application-CTA,981,801,751
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,627,541,472
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console:page top CTA:Sign in,600,514,194
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page middle CTA:Learn more a,591,494,475
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,472,456,438
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®:page top CTA:Sign in,486,396,213
SB:en:itrade:Winter Offer - Triage:page middle CTA:New to iTrade offer details,418,393,381
SB:en:itrade:Winter Offer - Triage:page middle CTA:Existing client offer details,324,296,270
SB:en:itrade:Special offers & exclusive programs | Scotia iTRADE®:PageMiddleCTA:Learn more about wi,238,205,191


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,44028
Other,25430
Mobile Phone,16800
Tablet,1791
Media Player,4
Gaming Console,1
Television,1
Set-top Box,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,43534,0.3766021959847475
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,17976,0.12494437027147308
SB:en:itrade:Winter Offer | Scotia iTRADE®,5209,0.5667114609330006
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,5097,0.8934667451442024
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,3413,0.8098447113975974
phoenix:Login,1696,0
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,1063,0.23047977422389465
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,616,0.23214285714285715
SB:en:itrade:How are stocks taxed in Canada? | Posts,568,0.9119718309859155
BNS Home page en,562,0
SB:en:itrade:Scotia iTRADE® Trading Desk™ - one page trading console,512,0.072265625


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,41281,41281,0.3220367723650105
Natural Search,19397,20149,0.3375264216115894
Direct,8906,8626,0.24275769144397036
Referring Domains,8170,11558,0.17723378212974297
email,1677,1703,0.7978533094812165
Other Campaigns,1593,1597,0.8279974890144381
