Week,Spend
3/30/2020,0
4/6/2020,0
4/13/2020,0
4/20/2020,0
4/27/2020,0
5/4/2020,0
5/11/2020,0
5/18/2020,0
5/25/2020,0
6/1/2020,0
6/8/2020,0
6/15/2020,0
6/22/2020,0
6/29/2020,0
7/6/2020,0
7/13/2020,0
7/20/2020,0
7/27/2020,0
8/3/2020,0
8/10/2020,0
8/17/2020,0
8/24/2020,0
8/31/2020,0
9/7/2020,0
9/14/2020,0
9/21/2020,0
9/28/2020,0
10/5/2020,0
10/12/2020,0
10/19/2020,0
10/26/2020,0
11/2/2020,0
11/9/2020,0
11/16/2020,0
11/23/2020,0
11/30/2020,0
12/7/2020,0
12/14/2020,0
12/21/2020,0
12/28/2020,0
1/4/2021,0
1/11/2021,0
1/18/2021,0
1/25/2021,0
2/1/2021,0
2/8/2021,0
2/15/2021,10400
2/22/2021,10400
3/1/2021,10400
3/8/2021,10400
3/15/2021,10400
3/22/2021,0
3/29/2021,0
4/5/2021,0
4/12/2021,0
4/19/2021,0
4/26/2021,0
5/3/2021,0
5/10/2021,0
5/17/2021,0
5/24/2021,0
5/31/2021,0
6/7/2021,0
6/14/2021,0
6/21/2021,0
6/28/2021,0
7/5/2021,0
7/12/2021,0
7/19/2021,0
7/26/2021,0
8/2/2021,0
8/9/2021,0
8/16/2021,0
8/23/2021,0
8/30/2021,0
9/6/2021,0
9/13/2021,0
9/20/2021,0
9/27/2021,0
10/4/2021,0
10/11/2021,0
10/18/2021,0
10/25/2021,0
11/1/2021,0
11/8/2021,0
11/15/2021,0
11/22/2021,0
11/29/2021,0
12/6/2021,0
12/13/2021,0
12/20/2021,0
12/27/2021,0
1/3/2022,0
1/10/2022,0
1/17/2022,0
1/24/2022,0
1/31/2022,58824
2/7/2022,0
2/14/2022,18366.588
2/21/2022,18366.588
2/28/2022,18366.588
3/7/2022,18366.588
3/14/2022,18366.588
3/21/2022,0
3/28/2022,0
4/4/2022,0
4/11/2022,0
4/18/2022,0
4/25/2022,0
