Week,Spend
2020-04-26,1062.27
2020-05-03,6391.05
2020-05-10,5950.8
2020-05-17,5065.37
2020-05-24,4984.86
2020-05-31,5285.84
2020-06-07,5954.26
2020-06-14,3841.3
2020-06-21,5081.96
2020-06-28,6135.68
2020-07-05,5061.47
2020-07-12,5360.92
2020-07-19,5741.82
2020-07-26,4185.64
2020-08-02,4927.2
2020-08-09,5547.15
2020-08-16,5209.8
2020-08-23,5148.6
2020-08-30,6400.58
2020-09-06,6048.79
2020-09-13,5228.3099999999995
2020-09-20,4719.39
2020-09-27,2648.96
2020-10-04,5661.92
2020-10-11,5230.43
2020-10-18,4864.68
2020-10-25,4628.42
2020-11-01,6237.08
2020-11-08,6430.11
2020-11-15,3712.87
2020-11-22,4126.7699999999995
2020-11-29,3062.95
2020-12-06,2482.01
2020-12-13,6232.02
2020-12-20,3340.94
2020-12-27,2391.04
2021-01-03,2430.01
2021-01-10,1737.04
2021-01-17,1058.6
2021-01-24,884.18
2021-01-31,7962.5
2021-02-07,9381.01
2021-02-14,10321.130000000001
2021-02-21,9324.82
2021-02-28,7641.32
2021-03-07,9814.91
2021-03-14,7541.89
2021-03-21,5945.0599999999995
2021-03-28,6123.73
2021-04-04,6882.33
2021-04-11,8137.9400000000005
2021-04-18,8646.15
2021-04-25,9267.43
2021-05-02,5320.2
2021-05-09,2317.69
2021-05-16,8765.21
2021-05-23,7747.299999999999
2021-05-30,5408.57
2021-06-06,4866.14
2021-06-13,5104.1900000000005
2021-06-20,5062.12
2021-06-27,1586.1599999999999
2021-07-04,5714.780000000001
2021-07-11,4747.34
2021-07-18,5031.88
2021-07-25,2944.82
2021-08-01,4778.66
2021-08-08,5171.48
2021-08-15,5210.26
2021-08-22,13064.16
2021-08-29,7339.14
2021-09-05,9744.24
2021-09-12,8902.82
2021-09-19,5424.43
2021-09-26,911.1
2021-10-03,5878.889999999999
2021-10-10,14249.16
2021-10-17,7934.34
2021-10-24,199.0
2021-10-31,1859.3600000000001
2021-11-07,4499.28
2021-11-14,5114.92
2021-11-21,4243.69
2021-11-28,962.4300000000001
2021-12-05,2444.43
2021-12-12,4299.02
2021-12-19,4508.84
2021-12-26,3578.23
2022-01-02,5125.15
2022-01-09,4289.14
2022-01-16,11367.7
2022-01-23,8705.43
2022-01-30,9006.83
2022-02-06,10726.09
2022-02-13,9316.83
2022-02-20,1789.1200000000001
2022-02-27,846.51
2022-03-06,2633.8
2022-03-13,15230.66
2022-03-20,10636.23
2022-03-27,3144.12
2022-04-03,11803.850199
2022-04-10,8298.21
2022-04-17,4395.69
2022-04-24,3500.039761
