Week,Spend
3/29/2020,9907
4/5/2020,3695.58
4/12/2020,4297
4/19/2020,3872
4/26/2020,3754
5/3/2020,6087
5/10/2020,11588
5/17/2020,7490.25
5/24/2020,9154.75
5/31/2020,7289
6/7/2020,7901
6/14/2020,13079
6/21/2020,15756
6/28/2020,42915.21
7/5/2020,5983.79
7/12/2020,14761
7/19/2020,18921
7/26/2020,37039
8/2/2020,33895
8/9/2020,11791
8/16/2020,38224
8/23/2020,77520
8/30/2020,38033.685
9/6/2020,38033.685
9/13/2020,38033.685
9/20/2020,38033.685
9/27/2020,49885.7425
10/4/2020,49885.7425
10/11/2020,49885.7425
10/18/2020,49885.7425
10/25/2020,9607
11/10/2020,21814
11/24/2020,16614
12/1/2020,44921
12/8/2020,46172
12/15/2020,49331
1/3/2021,57610
1/10/2021,50072
1/17/2021,38277
1/24/2021,4802
1/31/2021,4285
2/7/2021,2906
2/14/2021,2309
2/21/2021,3418
3/7/2021,4741
3/14/2021,2173
3/21/2021,2839
3/28/2021,2230
4/4/2021,1798
4/11/2021,3644
4/18/2021,8164
4/25/2021,25089
5/2/2021,23345
5/9/2021,25970
5/16/2021,29549
5/23/2021,7719
5/30/2021,6866
6/6/2021,6605
6/13/2021,7335
6/20/2021,6813
6/27/2021,2297
7/4/2021,10523
7/11/2021,9073
7/18/2021,8356
8/1/2021,12405
8/8/2021,3002
8/15/2021,9465
8/22/2021,75850
8/29/2021,57814
9/5/2021,48517
9/12/2021,37752
9/19/2021,37317.5
9/26/2021,36388.5
10/3/2021,39638
10/10/2021,36452
10/17/2021,41757
10/24/2021,31436
10/31/2021,19403.14
11/7/2021,4637.142222
11/14/2021,4637.142222
11/21/2021,4637.142222
11/28/2021,4637.142222
12/5/2021,4637.142222
12/12/2021,15253.745
12/19/2021,15253.745
12/26/2021,15253.745
1/2/2022,15253.745
1/9/2022,29442.04
1/16/2022,41451.52
1/23/2022,49641.57
1/30/2022,7624.98
2/6/2022,53660.88
2/13/2022,30943.15
2/20/2022,36185.91
2/27/2022,22709.62
3/6/2022,20963.72
3/13/2022,49976.66
3/20/2022,19286.82
3/27/2022,18319
4/3/2022,2831.83
4/10/2022,2790.48
4/17/2022,3628.28
4/24/2022,11222.39
