Week,Spend
5/25/2020,5850
5/25/2020,300
6/1/2020,5900
6/1/2020,450
6/8/2020,5900
6/8/2020,300
6/15/2020,5850
6/15/2020,400
6/22/2020,5950
6/22/2020,300
6/29/2020,4800
6/29/2020,1450
7/6/2020,5950
7/6/2020,150
7/13/2020,6050
7/13/2020,400
7/20/2020,5950
7/20/2020,250
7/27/2020,5900
7/27/2020,350
8/3/2020,4850
8/3/2020,1400
8/10/2020,6000
8/10/2020,200
8/17/2020,5950
8/17/2020,250
8/24/2020,150
1/10/2022,0
1/10/2022,11250
1/10/2022,3333
1/10/2022,0
1/10/2022,3750
1/17/2022,0
1/17/2022,11250
1/17/2022,3333
1/17/2022,0
1/17/2022,3750
1/24/2022,0
1/24/2022,11250
1/24/2022,3333
1/24/2022,0
1/24/2022,3750
1/31/2022,0
1/31/2022,11250
1/31/2022,3333
1/31/2022,0
1/31/2022,3750
2/7/2022,0
2/7/2022,11250
2/7/2022,3333
2/7/2022,0
2/7/2022,3750
2/14/2022,0
2/14/2022,11250
2/14/2022,3333
2/14/2022,0
2/14/2022,3750
5/2/2022,0
5/2/2022,6603
5/2/2022,2309.5
5/9/2022,0
5/9/2022,6603
5/9/2022,2309.5
5/16/2022,0
5/16/2022,6603
5/16/2022,2309.5
5/23/2022,0
5/23/2022,6603
5/23/2022,2309.5
5/30/2022,0
5/30/2022,6603
5/30/2022,2309.5
6/6/2022,0
6/6/2022,6603
6/6/2022,2309.5
6/13/2022,0
6/13/2022,6603
6/13/2022,2309.5
6/20/2022,0
6/20/2022,6603
6/20/2022,2309.5
6/27/2022,0
6/27/2022,6603
6/27/2022,2309.5
7/4/2022,0
7/4/2022,6603
7/4/2022,2309.5
7/11/2022,0
7/11/2022,6390
7/11/2022,2235
7/18/2022,0
7/18/2022,6390
7/18/2022,2235
7/25/2022,0
7/25/2022,6390
7/25/2022,2235
