Date,Spend
5/1/2020,990.97
5/2/2020,982.24
5/3/2020,918.2
5/4/2020,1148.18
5/5/2020,1142.27
5/6/2020,1053.22
5/7/2020,1017.79
5/8/2020,971.01
5/9/2020,946.3
5/10/2020,982.61
5/11/2020,981.31
5/12/2020,958.6
5/13/2020,937.51
5/14/2020,931.51
5/15/2020,884.88
5/16/2020,817.7
5/17/2020,755.22
5/18/2020,903.29
5/19/2020,1095.06
5/20/2020,948.97
5/21/2020,2323.58
5/22/2020,2230.73
5/23/2020,1356.28
5/24/2020,1470.19
5/25/2020,2123.78
5/26/2020,1719.01
5/27/2020,1791.67
5/28/2020,2601.61
5/29/2020,1887.19
5/30/2020,1425.88
5/31/2020,1408.34
6/1/2020,1896.08
6/2/2020,509.49
6/3/2020,2319.11
6/4/2020,2414.3
6/5/2020,1903.63
6/6/2020,1416.86
6/7/2020,1370.97
6/8/2020,2525.45
6/9/2020,2162.86
6/10/2020,1871.19
6/11/2020,2014.89
6/12/2020,1710.46
6/13/2020,952.57
6/14/2020,759.27
6/15/2020,1998.18
6/16/2020,1996.74
6/17/2020,1754.53
6/18/2020,1204.14
6/19/2020,1650.6
6/20/2020,924.78
6/21/2020,829.83
6/22/2020,1654.05
6/23/2020,1559.58
6/24/2020,1985.59
6/25/2020,1807.7
6/26/2020,1424.62
6/27/2020,737.67
6/28/2020,1005.25
6/29/2020,1337.48
6/30/2020,1632.42
7/1/2020,1120.33
7/2/2020,1408.18
7/3/2020,1323.42
7/4/2020,774.78
7/5/2020,821.04
7/6/2020,1808.27
7/7/2020,1857.03
7/8/2020,1144.42
7/9/2020,1331.33
7/10/2020,1289.18
7/11/2020,803.22
7/12/2020,752.51
7/13/2020,1813.1
7/14/2020,1863.68
7/15/2020,1996.79
7/16/2020,1601.93
7/17/2020,2170.7
7/18/2020,1142.57
7/19/2020,1350.87
7/20/2020,2661.41
7/21/2020,2426.27
7/22/2020,2436.09
7/23/2020,2462.39
7/24/2020,2799.25
7/25/2020,1886.93
7/26/2020,1814.26
7/27/2020,2988.68
7/28/2020,2874.21
7/29/2020,2957.04
7/30/2020,2728.61
7/31/2020,1652.48
8/2/2020,1394.38
8/3/2020,1421.53
8/4/2020,3751.83
8/5/2020,2388.8
8/6/2020,2612.29
8/7/2020,2031.81
8/8/2020,1476.32
8/9/2020,1443.38
8/10/2020,2226.27
8/11/2020,2141.01
8/12/2020,2196.81
8/13/2020,1667.9
8/14/2020,1798.71
8/15/2020,1119.59
8/16/2020,1326.95
8/17/2020,2258.87
8/18/2020,2080.29
8/19/2020,2586.99
8/20/2020,2561.31
8/21/2020,2268.36
8/22/2020,1264.83
8/23/2020,1213.06
8/24/2020,1859.55
8/25/2020,2306
8/26/2020,2725.98
8/27/2020,1353.04
8/28/2020,1148.87
8/29/2020,852.62
8/30/2020,894.42
8/31/2020,871.37
9/1/2020,1151.86
9/2/2020,1114.98
9/3/2020,1125.96
9/4/2020,931.72
9/5/2020,834.83
9/6/2020,974.59
9/7/2020,769.91
9/8/2020,1087.88
9/9/2020,1033.65
9/10/2020,2010.01
9/11/2020,1871.69
9/12/2020,1959.36
9/13/2020,2363.45
9/14/2020,2788.66
9/15/2020,2639.17
9/16/2020,2614.61
9/17/2020,2695.72
9/18/2020,2363.7
9/19/2020,1033.55
9/20/2020,1336.11
9/21/2020,2163.36
9/22/2020,1913.2
9/23/2020,2368.17
9/24/2020,2007.52
9/25/2020,2425.73
9/26/2020,1263.76
9/27/2020,1558.23
9/28/2020,2718.77
9/29/2020,1744.34
9/30/2020,1840.31
10/1/2020,884.3
10/2/2020,971.91
10/3/2020,1151.22
10/4/2020,1856.46
10/5/2020,1940.4
10/6/2020,1899.03
10/7/2020,1873.12
10/8/2020,1866.74
10/9/2020,1826.3
10/10/2020,1045.27
10/11/2020,1112.8
10/12/2020,1905.88
10/13/2020,2963.17
10/14/2020,2774.48
10/15/2020,2862.29
10/16/2020,2815.51
10/17/2020,2258.03
10/18/2020,2099.69
10/19/2020,2987.99
10/20/2020,2755.52
10/21/2020,3016.43
10/22/2020,2947.04
10/23/2020,2851.29
10/24/2020,2478.32
10/25/2020,2869.36
10/26/2020,3015.02
10/27/2020,2925.28
10/28/2020,2314.23
10/29/2020,2662.72
10/30/2020,2744.65
10/31/2020,2005.04
11/1/2020,1998.64
11/2/2020,2100.66
11/3/2020,2022.59
11/4/2020,2010.27
11/5/2020,2081.3
11/6/2020,2001.48
11/7/2020,1587.45
11/8/2020,1214.63
11/9/2020,2759.04
11/10/2020,2179.29
11/11/2020,2005.61
11/12/2020,1998.96
11/13/2020,1935.13
11/14/2020,1096.95
11/15/2020,1092.48
11/16/2020,2383.03
11/17/2020,2124.72
11/18/2020,2055.56
11/19/2020,2012.2
11/20/2020,1931.38
11/21/2020,1231.68
11/22/2020,1096.5
11/23/2020,2237.14
11/24/2020,2207.1
11/25/2020,1949.08
11/26/2020,2091.56
11/27/2020,2079.79
11/28/2020,1480.2
11/29/2020,2014.19
11/30/2020,2523.59
12/1/2020,2938.06
12/2/2020,2321.03
12/3/2020,2321
12/4/2020,2013.77
12/5/2020,1648.57
12/6/2020,1809.25
12/7/2020,2080.04
12/8/2020,2043
12/9/2020,1903.36
12/10/2020,2140.06
12/11/2020,1826.43
12/12/2020,690.55
12/13/2020,812.19
12/14/2020,2082.13
12/15/2020,2028.14
12/16/2020,2116.8
12/17/2020,1876.73
12/18/2020,1771.33
12/19/2020,1865.12
12/20/2020,1802.92
12/21/2020,2013.1
12/22/2020,1948.75
12/23/2020,1783.11
12/24/2020,1356.2
12/25/2020,560.05
12/26/2020,1568.8
12/27/2020,2423.56
12/28/2020,2242.28
12/29/2020,2135.34
12/30/2020,1820.25
12/31/2020,1428.69
1/1/2021,1519.42
1/2/2021,1987.67
1/3/2021,1977.68
1/4/2021,2063.3
1/5/2021,2040.63
1/6/2021,2049.63
1/7/2021,2037.08
1/8/2021,1991.46
1/9/2021,1281.12
1/10/2021,1366.7
1/11/2021,2141.45
1/12/2021,2110.51
1/13/2021,2052.14
1/14/2021,1551.14
1/15/2021,917.47
1/16/2021,840.45
1/17/2021,819.55
1/18/2021,882.45
1/19/2021,860.83
1/20/2021,845.48
1/21/2021,841.08
1/22/2021,785.95
1/23/2021,720.27
1/24/2021,772.34
1/25/2021,891.34
1/26/2021,864.61
1/27/2021,821.53
1/28/2021,813.75
1/29/2021,773.43
1/30/2021,530.76
1/31/2021,743.97
2/1/2021,1869.17
2/2/2021,1801.29
2/3/2021,1775.69
2/4/2021,1897.08
2/5/2021,1419.68
2/6/2021,883.69
2/7/2021,1417.25
2/8/2021,1441.63
2/9/2021,1478.64
2/10/2021,1490.33
2/11/2021,1420.57
2/12/2021,1083.7
2/13/2021,858.45
2/14/2021,659.54
2/15/2021,1124.84
2/16/2021,1191.9
2/17/2021,1242.8
2/18/2021,1192.6
2/19/2021,1111.15
2/20/2021,566.24
2/21/2021,693
2/22/2021,1305.64
2/23/2021,1324.97
2/24/2021,1368.83
2/25/2021,1301.31
2/26/2021,1179.29
2/27/2021,716.78
2/28/2021,909.26
3/1/2021,1433.4
3/2/2021,1430.81
3/3/2021,1367.54
3/4/2021,1444.27
3/5/2021,1370.16
3/6/2021,650.57
3/7/2021,1424.79
3/8/2021,1475.03
3/9/2021,1462.11
3/10/2021,1427.08
3/11/2021,1434.96
3/12/2021,1380.54
3/13/2021,918.15
3/14/2021,1077.07
3/15/2021,1509.57
3/16/2021,1466.57
3/17/2021,1463.22
3/18/2021,1441.41
3/19/2021,1406.37
3/20/2021,965.45
3/21/2021,837.4
3/22/2021,1568.39
3/23/2021,1530.21
3/24/2021,1506.69
3/25/2021,1348.32
3/26/2021,1468.82
3/27/2021,1085.99
3/28/2021,1197.52
3/29/2021,1699.25
3/30/2021,1628.74
3/31/2021,1580.09
4/1/2021,1708.65
4/2/2021,1357.28
4/3/2021,1451.95
4/4/2021,1729.29
4/5/2021,1812.46
4/6/2021,1894.83
4/7/2021,1764.12
4/8/2021,1726.53
4/9/2021,1578.16
4/10/2021,1321.25
4/11/2021,1738.26
4/12/2021,1810.61
4/13/2021,1767.16
4/14/2021,1715.87
4/15/2021,1530.12
4/16/2021,1707.27
4/17/2021,1338.16
4/18/2021,1367.63
4/19/2021,1872.16
4/20/2021,1859.86
4/21/2021,1833.97
4/22/2021,1798.75
4/23/2021,1633.79
4/24/2021,1196.66
4/25/2021,1811.07
4/26/2021,1891.68
4/27/2021,1861.58
4/28/2021,1707.81
4/29/2021,1679.52
4/30/2021,1555.14
5/1/2021,1053.64
5/2/2021,1288.93
5/3/2021,1629.08
5/4/2021,1581.7
5/5/2021,1565.58
5/6/2021,1481.87
5/7/2021,1413.31
5/8/2021,1508.41
5/9/2021,1488.33
5/10/2021,1595.17
5/11/2021,1565.59
5/12/2021,1436.14
5/13/2021,1534.07
5/14/2021,1460.93
5/15/2021,769.86
5/16/2021,1003.36
5/17/2021,1640.64
5/18/2021,1606.61
5/19/2021,1692.67
5/20/2021,1609.03
5/21/2021,1314.96
5/22/2021,1010.74
5/23/2021,1515.32
5/24/2021,1539.47
5/25/2021,1667.03
5/26/2021,1619.31
5/27/2021,1595.25
5/28/2021,1532.19
5/29/2021,648.82
5/30/2021,977.8
5/31/2021,2707.18
6/1/2021,1640.82
6/2/2021,1601.71
6/3/2021,1560.98
6/4/2021,1520.69
6/5/2021,1148.64
6/6/2021,1346.48
6/7/2021,1634.51
6/8/2021,1606.44
6/9/2021,1601.59
6/10/2021,1575.42
