Week,Spend
2020-04-26,1973.21
2020-05-03,7196.97
2020-05-10,6494.12
2020-05-17,9613.13
2020-05-24,13019.33
2020-05-31,11867.81
2020-06-07,12608.390000000001
2020-06-14,10288.24
2020-06-21,9999.039999999999
2020-06-28,8601.86
2020-07-05,9054.49
2020-07-12,11341.28
2020-07-19,16023.21
2020-07-26,15015.28
2020-08-02,15076.96
2020-08-09,12593.67
2020-08-16,14347.599999999999
2020-08-23,11459.119999999999
2020-08-30,6925.14
2020-09-06,9707.09
2020-09-13,16498.86
2020-09-20,13477.85
2020-09-27,10869.08
2020-10-04,12307.32
2020-10-11,16692.16
2020-10-18,19136.28
2020-10-25,18536.3
2020-11-01,13802.39
2020-11-08,13189.61
2020-11-15,12831.05
2020-11-22,13141.369999999999
2020-11-29,15780.210000000001
2020-12-06,12492.69
2020-12-13,12552.44
2020-12-20,11032.93
2020-12-27,13557.210000000001
2021-01-03,13440.900000000001
2021-01-10,10979.86
2021-01-17,5755.610000000001
2021-01-24,5467.76
2021-01-31,10390.57
2021-02-07,9190.57
2021-02-14,7089.07
2021-02-21,7889.82
2021-02-28,8606.01
2021-03-07,9522.66
2021-03-14,9329.66
2021-03-21,9345.82
2021-03-28,10623.48
2021-04-04,11826.64
2021-04-11,11607.45
2021-04-18,11562.82
2021-04-25,11560.44
2021-05-02,10468.88
2021-05-09,9850.09
2021-05-16,9878.01
2021-05-23,10117.39
2021-05-30,11157.82
2021-06-06,10034.61
2021-06-13,10206.77
2021-06-20,11285.95
2021-06-27,9352.22
2021-07-04,10328.039999999999
2021-07-11,10464.58
2021-07-18,10198.49
2021-07-25,10757.76
2021-08-01,10721.61
2021-08-08,10323.2
2021-08-15,11618.36
2021-08-22,11703.79
2021-08-29,9192.609999999999
2021-09-05,11870.39
2021-09-12,12289.85
2021-09-19,12438.7
2021-09-26,13467.16
2021-10-03,16626.26
2021-10-10,16499.39
2021-10-17,10743.65
2021-10-24,7534.75
2021-10-31,8948.59
2021-11-07,12877.34
2021-11-14,10828.92
2021-11-21,7503.95
2021-11-28,4775.7
2021-12-05,5591.11
2021-12-12,7546.41
2021-12-19,15571.79
2021-12-26,9643.1
2022-01-02,19693.42
2022-01-09,15934.57
2022-01-16,9885.39
2022-01-23,11184.64
2022-01-30,12807.7
2022-02-06,14077.48
2022-02-13,15236.119999999999
2022-02-20,15767.54
2022-02-27,13929.15
2022-03-06,11823.86
2022-03-13,14806.09
2022-03-20,13342.32
2022-03-27,15051.25
2022-04-03,15435.69
2022-04-10,16362.57
2022-04-17,14798.77
2022-04-24,2176.88
