Week,Spend
3/29/2020,9012.3
4/5/2020,11497.3
4/12/2020,13580.68
4/19/2020,8673.79
4/26/2020,10300.17
5/3/2020,8489.36
5/10/2020,7581.74
5/17/2020,10492.37
5/24/2020,13658.28
5/31/2020,12846.38
6/7/2020,13941.16
6/14/2020,11561.58
6/21/2020,11838.65
6/28/2020,10317.1
7/5/2020,10331.94
7/12/2020,12588.82
7/19/2020,17390.29
7/26/2020,16026.6
8/2/2020,16198.92
8/9/2020,13655.6
8/16/2020,15467.18
8/23/2020,12782.68
8/30/2020,8613.21
9/6/2020,11188.23
9/13/2020,18052.14
9/20/2020,14464.82
9/27/2020,11592.29
10/4/2020,13400.31
10/11/2020,17361.46
10/18/2020,19413.56
10/25/2020,18632.84
11/1/2020,13802.39
11/8/2020,13189.61
11/15/2020,12831.05
11/22/2020,13141.37
11/29/2020,15780.21
12/6/2020,12492.69
12/13/2020,12552.44
12/20/2020,11032.93
12/27/2020,13557.21
1/3/2021,13440.9
1/10/2021,10979.86
1/17/2021,5755.61
1/24/2021,5467.76
1/31/2021,10390.57
2/7/2021,9190.57
2/14/2021,7089.07
2/21/2021,7889.82
2/28/2021,8606.01
3/7/2021,9522.66
3/14/2021,9329.66
3/21/2021,9345.82
3/28/2021,10623.48
4/4/2021,11826.64
4/11/2021,11607.45
4/18/2021,11562.82
4/25/2021,11560.44
5/2/2021,10468.88
5/9/2021,9850.09
5/16/2021,9878.01
5/23/2021,10117.39
5/30/2021,11157.82
6/6/2021,10034.61
6/13/2021,10206.77
6/20/2021,11285.95
6/27/2021,9352.22
7/4/2021,10328.04
7/11/2021,10464.58
7/18/2021,10198.49
7/25/2021,10757.76
8/1/2021,10721.61
8/8/2021,10323.2
8/15/2021,11618.36
8/22/2021,11703.79
8/29/2021,9192.61
9/5/2021,11870.39
9/12/2021,12289.85
9/19/2021,12438.7
9/26/2021,13467.16
10/3/2021,16626.26
10/10/2021,16499.39
10/17/2021,10743.65
10/24/2021,7534.75
10/31/2021,8948.59
11/7/2021,12877.34
11/14/2021,10828.92
11/21/2021,7503.95
11/28/2021,4775.7
12/5/2021,5591.11
12/12/2021,7546.41
12/19/2021,15571.79
12/26/2021,9643.1
1/2/2022,19693.42
1/9/2022,15934.57
1/16/2022,9885.39
1/23/2022,11184.64
1/30/2022,12807.7
2/6/2022,14077.48
2/13/2022,15236.12
2/20/2022,15767.54
2/27/2022,13929.15
3/6/2022,11823.86
3/13/2022,14806.09
3/20/2022,13342.32
3/27/2022,15051.25
4/3/2022,15435.69
4/10/2022,16362.57
4/17/2022,14798.77
4/24/2022,2176.88
