Week,Spend
3/29/2020,18049
4/5/2020,18093
4/12/2020,8925
4/19/2020,9062
4/26/2020,2652
5/3/2020,3652
5/10/2020,11042
5/17/2020,4544.1
5/24/2020,5553.9
5/31/2020,3736
6/7/2020,3028
6/14/2020,3987
6/21/2020,5199
6/28/2020,4374.92
7/5/2020,4350.08
7/12/2020,4355
7/19/2020,4482
7/26/2020,15015
8/2/2020,17362
8/9/2020,18722
8/16/2020,19980
8/23/2020,25956
8/30/2020,15188.7725
9/6/2020,15188.7725
9/13/2020,15188.7725
9/20/2020,15188.7725
9/27/2020,12533.34
10/4/2020,12533.34
10/11/2020,12533.34
10/18/2020,12533.34
10/25/2020,4782.473
11/10/2020,8000
11/24/2020,9894
12/1/2020,10395
12/8/2020,10319
12/15/2020,31044
1/3/2021,10620
1/10/2021,11285
1/17/2021,7795
1/24/2021,7997
1/31/2021,8090
2/7/2021,7935
2/14/2021,8393
2/21/2021,4391
3/7/2021,14586
3/14/2021,5957
3/21/2021,10181
3/28/2021,8205
4/4/2021,8287
4/11/2021,5332
4/18/2021,6115
4/25/2021,8276
5/2/2021,8726
5/9/2021,6991
5/16/2021,2453
5/23/2021,5031
5/30/2021,5142
6/6/2021,6051
6/13/2021,7894
6/20/2021,8493
6/27/2021,8616
7/4/2021,8562
7/11/2021,9182
7/18/2021,9468
8/1/2021,25361
8/8/2021,16542
8/15/2021,16312
8/22/2021,16151
8/29/2021,21224
9/5/2021,15047
9/12/2021,14915
9/19/2021,18760
9/26/2021,19240
10/3/2021,19037
10/10/2021,15006
10/17/2021,17201
10/24/2021,12764
10/31/2021,10863
11/7/2021,10920
11/14/2021,11123
11/21/2021,13662
11/28/2021,6441
12/5/2021,19725
12/12/2021,5613.5
12/19/2021,5613.5
12/26/2021,5613.5
1/2/2022,5613.5
1/9/2022,11289
1/16/2022,11151
1/23/2022,11140
1/30/2022,11178
2/6/2022,12194
2/13/2022,9433
2/20/2022,10360
2/27/2022,10434
3/6/2022,7545
3/13/2022,7027
3/20/2022,7265
3/27/2022,3431.86
4/3/2022,4098.14
4/10/2022,3675
4/17/2022,8467
4/24/2022,5456
