Week,Spend
3/30/2020,1908
3/30/2020,396
4/6/2020,1316
4/6/2020,440
4/13/2020,2021
4/13/2020,484
4/20/2020,2099
4/20/2020,484
4/27/2020,1992
4/27/2020,484
5/4/2020,2275
5/4/2020,484
5/11/2020,2188
5/11/2020,440
5/18/2020,2170
5/18/2020,440
5/25/2020,1916
5/25/2020,440
6/1/2020,2000
6/1/2020,440
6/8/2020,1974
6/8/2020,440
6/15/2020,1842
6/15/2020,396
6/22/2020,1829
6/22/2020,352
6/29/2020,1921
6/29/2020,528
7/6/2020,1974
7/6/2020,396
7/13/2020,1887
7/13/2020,528
7/20/2020,1995
7/20/2020,308
7/27/2020,1908
7/27/2020,396
8/3/2020,1768
8/3/2020,572
8/10/2020,2035
8/10/2020,396
8/17/2020,1847
8/17/2020,484
8/24/2020,1943
8/24/2020,440
8/31/2020,1842
8/31/2020,440
9/7/2020,1947
9/7/2020,484
9/14/2020,1868
9/14/2020,440
9/21/2020,1868
9/21/2020,440
9/28/2020,1787
9/28/2020,352
10/5/2020,1802
10/5/2020,352
10/12/2020,1868
10/12/2020,440
10/19/2020,1857
10/19/2020,440
10/26/2020,2000
10/26/2020,440
11/2/2020,1804
11/2/2020,484
11/9/2020,1868
11/9/2020,528
11/9/2020,450
11/16/2020,141
11/16/2020,315
11/23/2020,34
11/23/2020,495
11/30/2020,40
11/30/2020,405
12/7/2020,921
12/7/2020,450
12/14/2020,781
12/14/2020,450
12/21/2020,1532
12/21/2020,450
12/28/2020,1726
12/28/2020,405
1/4/2021,1779
1/4/2021,450
1/11/2021,1763
1/11/2021,405
1/18/2021,1700
1/18/2021,405
1/25/2021,1705
1/25/2021,450
2/1/2021,1930
2/1/2021,675
2/8/2021,1717
2/8/2021,450
2/15/2021,1675
2/15/2021,405
2/22/2021,1711
2/22/2021,450
3/1/2021,1711
3/1/2021,450
3/8/2021,1711
3/8/2021,450
3/15/2021,1928
3/15/2021,450
3/22/2021,2132
3/22/2021,450
3/29/2021,2070
3/29/2021,450
4/5/2021,2130
4/5/2021,405
4/12/2021,2142
4/12/2021,495
4/26/2021,2070
4/26/2021,450
5/3/2021,2409
5/3/2021,450
5/10/2021,2132
5/10/2021,450
5/17/2021,2126
5/17/2021,450
5/24/2021,2113
5/24/2021,405
5/31/2021,2132
5/31/2021,450
6/7/2021,2132
6/7/2021,450
6/14/2021,2132
6/14/2021,450
6/21/2021,2132
6/21/2021,450
6/28/2021,2062
6/28/2021,450
7/5/2021,2132
7/5/2021,450
7/12/2021,2056
7/12/2021,450
7/19/2021,2118
7/19/2021,450
7/26/2021,2168
7/26/2021,450
8/2/2021,2266
8/2/2021,450
8/9/2021,2132
8/9/2021,450
8/16/2021,2129
8/16/2021,450
8/23/2021,2135
8/23/2021,405
8/30/2021,2194
8/30/2021,450
9/6/2021,2181
9/6/2021,405
9/13/2021,2248
9/13/2021,570
9/20/2021,2237
9/20/2021,480
9/27/2021,2237
9/27/2021,480
10/4/2021,2239
10/4/2021,480
10/11/2021,2235
10/11/2021,480
10/18/2021,2239
10/18/2021,480
10/25/2021,2131
10/25/2021,480
11/8/2021,2571
11/8/2021,270
11/15/2021,2650
11/15/2021,270
11/22/2021,2233
11/22/2021,225
11/29/2021,2098
11/29/2021,270
12/6/2021,2036
12/6/2021,270
12/13/2021,1952
12/13/2021,180
12/20/2021,1952
12/20/2021,225
12/27/2021,1890
12/27/2021,225
1/3/2022,1890
1/3/2022,180
1/10/2022,2014
1/10/2022,225
1/17/2022,2059
1/17/2022,225
1/24/2022,1859
1/24/2022,225
1/31/2022,1997
1/31/2022,225
2/7/2022,2001
2/7/2022,225
2/14/2022,1952
2/14/2022,225
2/21/2022,1952
2/21/2022,225
2/28/2022,1952
2/28/2022,225
3/7/2022,1875
3/7/2022,225
3/14/2022,2028
3/14/2022,225
3/21/2022,1952
3/21/2022,225
3/28/2022,330
3/28/2022,45
3/28/2022,1691
3/28/2022,180
4/4/2022,2097
4/4/2022,225
4/11/2022,1952
4/11/2022,225
4/18/2022,1952
4/18/2022,225
4/25/2022,1952
4/25/2022,225
5/2/2022,1952
5/2/2022,225
5/9/2022,1952
5/9/2022,225
5/16/2022,1952
5/16/2022,225
5/23/2022,1955
5/23/2022,225
5/30/2022,1955
5/30/2022,225
6/6/2022,1955
6/6/2022,225
6/13/2022,1955
6/13/2022,225
6/20/2022,1955
6/20/2022,225
6/27/2022,1955
6/27/2022,225
7/4/2022,1955
7/4/2022,225
7/11/2022,1955
7/11/2022,225
7/18/2022,1955
7/18/2022,225
7/25/2022,1955
7/25/2022,225
8/1/2022,1955
8/1/2022,225
8/8/2022,1955
8/8/2022,225
8/15/2022,1955
8/15/2022,225
8/22/2022,1955
8/22/2022,225
8/29/2022,1955
8/29/2022,225
9/5/2022,2417
9/5/2022,225
9/12/2022,2265
9/12/2022,240
9/19/2022,2265
9/19/2022,240
9/26/2022,2265
9/26/2022,240
10/3/2022,2265
10/3/2022,240
10/10/2022,2265
10/10/2022,240
10/17/2022,2265
10/17/2022,240
10/24/2022,2265
10/24/2022,240
