Week,Business Unit,Digital,DigitalOOH,OOH,Print,Radio,SEM,SEM2,Social,TV
3/29/2020,Wealth,0,0,0,0,0,0,0,0,0
3/29/2020,iTrade,9907,0,0,0,0,9012.3,0,18049,2304
4/5/2020,Wealth,0,0,0,0,0,0,0,0,0
4/5/2020,iTrade,3695.58,0,0,0,0,11497.3,0,18093,1756
4/12/2020,Wealth,0,0,0,0,0,0,0,0,0
4/12/2020,iTrade,4297,0,0,0,0,13580.68,0,8925,2505
4/19/2020,Wealth,0,0,0,0,0,0,0,0,0
4/19/2020,iTrade,3872,0,0,0,0,8673.79,0,9062,2583
4/26/2020,Wealth,0,0,0,0,0,1062.27,0,0,0
4/26/2020,iTrade,3754,0,0,0,0,10300.17,1973.21,2652,2476
5/3/2020,Wealth,0,0,0,0,0,6391.05,0,0,0
5/3/2020,iTrade,6087,0,0,0,0,8489.36,7196.97,3652,2759
5/10/2020,Wealth,0,0,0,0,0,5950.8,0,0,0
5/10/2020,iTrade,11588,0,0,0,0,7581.74,6494.12,11042,2628
5/17/2020,Wealth,0,0,0,0,0,5065.37,0,0,0
5/17/2020,iTrade,7490.25,0,0,0,0,10492.37,9613.13,4544.1,2610
5/24/2020,Wealth,0,0,0,0,0,4984.86,0,0,0
5/24/2020,iTrade,9154.75,0,0,0,6150,13658.28,13019.33,5553.9,2356
5/31/2020,Wealth,0,0,0,0,0,5285.84,0,0,0
5/31/2020,iTrade,7289,0,0,0,6350,12846.38,11867.81,3736,2440
6/7/2020,Wealth,0,0,0,0,0,5954.26,0,0,0
6/7/2020,iTrade,7901,0,0,0,6200,13941.16,12608.39,3028,2414
6/14/2020,Wealth,0,0,0,0,0,3841.3,0,0,0
6/14/2020,iTrade,13079,0,0,0,6250,11561.58,10288.24,3987,2238
6/21/2020,Wealth,0,0,0,0,0,5081.96,0,0,0
6/21/2020,iTrade,15756,0,0,0,6250,11838.65,9999.04,5199,2181
6/28/2020,Wealth,0,0,0,0,0,6135.68,0,0,0
6/28/2020,iTrade,42915.21,0,0,0,6250,10317.1,8601.86,4374.92,2449
7/5/2020,Wealth,0,0,0,0,0,5061.47,0,0,0
7/5/2020,iTrade,5983.79,0,0,0,6100,10331.94,9054.49,4350.08,2370
7/12/2020,Wealth,0,0,0,0,0,5360.92,0,0,0
7/12/2020,iTrade,14761,0,0,0,6450,12588.82,11341.28,4355,2415
7/19/2020,Wealth,0,0,0,0,0,5741.82,0,0,0
7/19/2020,iTrade,18921,0,0,0,6200,17390.29,16023.21,4482,2303
7/26/2020,Wealth,0,0,0,0,0,4185.64,0,0,0
7/26/2020,iTrade,37039,0,0,0,6250,16026.6,15015.28,15015,2304
8/2/2020,Wealth,0,0,0,0,0,4927.2,0,0,0
8/2/2020,iTrade,33895,0,0,0,6250,16198.92,15076.96,17362,2340
8/9/2020,Wealth,0,0,0,0,0,5547.15,0,0,0
8/9/2020,iTrade,11791,0,0,0,6200,13655.6,12593.67,18722,2431
8/16/2020,Wealth,0,0,0,0,0,5209.8,0,0,0
8/16/2020,iTrade,38224,0,0,0,6200,15467.18,14347.6,19980,2331
8/23/2020,Wealth,0,0,0,0,0,5148.6,0,0,0
8/23/2020,iTrade,77520,0,0,0,150,12782.68,11459.12,25956,2383
8/30/2020,Wealth,0,0,0,0,0,6400.58,0,0,0
8/30/2020,iTrade,38033.685,0,0,0,0,8613.21,6925.14,15188.7725,2282
9/6/2020,Wealth,0,0,0,0,0,6048.79,0,0,0
9/6/2020,iTrade,38033.685,0,0,0,0,11188.23,9707.09,15188.7725,2431
9/13/2020,Wealth,0,0,0,0,0,5228.31,0,0,0
9/13/2020,iTrade,38033.685,0,0,0,0,18052.14,16498.86,15188.7725,2308
9/20/2020,Wealth,0,0,0,0,0,4719.39,0,0,0
9/20/2020,iTrade,38033.685,0,0,0,0,14464.82,13477.85,15188.7725,2308
9/27/2020,Wealth,0,0,0,0,0,2648.96,0,0,0
9/27/2020,iTrade,49885.7425,0,0,0,0,11592.29,10869.08,12533.34,2139
10/4/2020,Wealth,0,0,0,0,0,5661.92,0,0,0
10/4/2020,iTrade,49885.7425,0,0,0,0,13400.31,12307.32,12533.34,2154
10/11/2020,Wealth,0,0,0,0,0,5230.43,0,0,0
10/11/2020,iTrade,49885.7425,0,0,0,0,17361.46,16692.16,12533.34,2308
10/18/2020,Wealth,0,0,0,0,0,4864.68,0,0,0
10/18/2020,iTrade,49885.7425,0,0,0,0,19413.56,19136.28,12533.34,2297
10/25/2020,Wealth,0,0,0,0,0,4628.42,0,0,0
10/25/2020,iTrade,9607,0,0,0,0,18632.84,18536.3,4782.473,2440
11/1/2020,Wealth,0,0,0,0,0,6237.08,0,0,0
11/1/2020,iTrade,0,0,0,0,0,13802.39,13802.39,0,2288
11/8/2020,Wealth,0,0,0,0,0,6430.11,0,0,0
11/8/2020,iTrade,21814,0,0,0,0,13189.61,13189.61,8000,2846
11/15/2020,Wealth,0,0,0,0,0,3712.87,0,0,0
11/15/2020,iTrade,0,0,0,0,0,12831.05,12831.05,0,456
11/22/2020,Wealth,0,0,0,0,0,4126.77,0,0,0
11/22/2020,iTrade,16614,0,0,0,0,13141.37,13141.37,9894,529
11/29/2020,Wealth,0,0,0,0,0,3062.95,0,0,0
11/29/2020,iTrade,44921,0,0,0,0,15780.21,15780.21,10395,445
12/6/2020,Wealth,0,0,0,0,0,2482.01,0,0,0
12/6/2020,iTrade,46172,0,0,0,0,12492.69,12492.69,10319,1371
12/13/2020,Wealth,0,0,0,0,0,6232.02,0,0,0
12/13/2020,iTrade,49331,0,0,0,0,12552.44,12552.44,31044,1231
12/20/2020,Wealth,0,0,0,0,0,3340.94,0,0,0
12/20/2020,iTrade,0,0,0,0,0,11032.93,11032.93,0,1982
12/27/2020,Wealth,0,0,0,0,0,2391.04,0,720.18,0
12/27/2020,iTrade,0,0,0,0,0,13557.21,13557.21,0,2131
1/3/2021,Wealth,0,0,0,0,0,2430.01,0,940.15,0
1/3/2021,iTrade,57610,0,0,0,0,13440.9,13440.9,10620,2229
1/10/2021,Wealth,0,0,0,0,0,1737.04,0,417.57,0
1/10/2021,iTrade,50072,0,0,0,0,10979.86,10979.86,11285,2168
1/17/2021,Wealth,0,0,0,0,0,1058.6,0,0,0
1/17/2021,iTrade,38277,0,0,0,0,5755.61,5755.61,7795,2105
1/24/2021,Wealth,0,0,0,0,0,884.18,0,0,0
1/24/2021,iTrade,4802,0,0,0,0,5467.76,5467.76,7997,2155
1/31/2021,Wealth,0,0,0,0,0,7962.5,0,967.75,0
1/31/2021,iTrade,4285,0,0,0,0,10390.57,10390.57,8090,2605
2/7/2021,Wealth,0,0,0,0,0,9381.01,0,899.36,0
2/7/2021,iTrade,2906,0,0,0,0,9190.57,9190.57,7935,2167
2/14/2021,Wealth,9923,0,0,10400,0,10321.13,0,1090,0
2/14/2021,iTrade,2309,0,0,0,0,7089.07,7089.07,8393,2080
2/21/2021,Wealth,9923,0,0,10400,0,9324.82,0,0,0
2/21/2021,iTrade,3418,0,0,0,0,7889.82,7889.82,4391,2161
2/28/2021,Wealth,9923,0,0,10400,0,7641.32,0,1070.51,0
2/28/2021,iTrade,0,0,0,0,0,8606.01,8606.01,0,2161
3/7/2021,Wealth,9923,0,0,10400,0,9814.91,0,1041.23,0
3/7/2021,iTrade,4741,0,0,0,0,9522.66,9522.66,14586,2161
3/14/2021,Wealth,9923,0,0,10400,0,7541.89,0,1062.65,0
3/14/2021,iTrade,2173,0,0,0,0,9329.66,9329.66,5957,2378
3/21/2021,Wealth,0,0,0,0,0,5945.06,0,147.31,0
3/21/2021,iTrade,2839,0,0,0,0,9345.82,9345.82,10181,2582
3/28/2021,Wealth,0,0,0,0,0,6123.73,0,0,0
3/28/2021,iTrade,2230,0,0,0,0,10623.48,10623.48,8205,2520
4/4/2021,Wealth,0,0,0,0,0,6882.33,0,0,0
4/4/2021,iTrade,1798,0,0,0,0,11826.64,11826.64,8287,2535
4/11/2021,Wealth,0,0,0,0,0,8137.94,0,0,0
4/11/2021,iTrade,3644,0,0,0,0,11607.45,11607.45,5332,2637
4/18/2021,Wealth,0,0,0,0,0,8646.15,0,0,0
4/18/2021,iTrade,8164,0,0,0,0,11562.82,11562.82,6115,0
4/25/2021,Wealth,0,0,0,0,0,9267.43,0,0,0
4/25/2021,iTrade,25089,0,0,0,0,11560.44,11560.44,8276,2520
5/2/2021,Wealth,0,0,0,0,0,5320.2,0,513.51,0
5/2/2021,iTrade,23345,0,0,0,0,10468.88,10468.88,8726,2859
5/9/2021,Wealth,0,0,0,0,0,2317.69,0,1192.76,0
