Week,Business Unit,Channel,Spend
2020-03-29,iTrade,SEM,9012.3
2020-04-05,iTrade,SEM,11497.3
2020-04-12,iTrade,SEM,13580.68
2020-04-19,iTrade,SEM,8673.79
2020-04-26,iTrade,SEM,10300.17
2020-05-03,iTrade,SEM,8489.36
2020-05-10,iTrade,SEM,7581.74
2020-05-17,iTrade,SEM,10492.37
2020-05-24,iTrade,SEM,13658.28
2020-05-31,iTrade,SEM,12846.38
2020-06-07,iTrade,SEM,13941.16
2020-06-14,iTrade,SEM,11561.58
2020-06-21,iTrade,SEM,11838.65
2020-06-28,iTrade,SEM,10317.1
2020-07-05,iTrade,SEM,10331.94
2020-07-12,iTrade,SEM,12588.82
2020-07-19,iTrade,SEM,17390.29
2020-07-26,iTrade,SEM,16026.6
2020-08-02,iTrade,SEM,16198.92
2020-08-09,iTrade,SEM,13655.6
2020-08-16,iTrade,SEM,15467.18
2020-08-23,iTrade,SEM,12782.68
2020-08-30,iTrade,SEM,8613.21
2020-09-06,iTrade,SEM,11188.23
2020-09-13,iTrade,SEM,18052.14
2020-09-20,iTrade,SEM,14464.82
2020-09-27,iTrade,SEM,11592.29
2020-10-04,iTrade,SEM,13400.31
2020-10-11,iTrade,SEM,17361.46
2020-10-18,iTrade,SEM,19413.56
2020-10-25,iTrade,SEM,18632.84
2020-11-01,iTrade,SEM,13802.39
2020-11-08,iTrade,SEM,13189.61
2020-11-15,iTrade,SEM,12831.05
2020-11-22,iTrade,SEM,13141.37
2020-11-29,iTrade,SEM,15780.21
2020-12-06,iTrade,SEM,12492.69
2020-12-13,iTrade,SEM,12552.44
2020-12-20,iTrade,SEM,11032.93
2020-12-27,iTrade,SEM,13557.21
2021-01-03,iTrade,SEM,13440.9
2021-01-10,iTrade,SEM,10979.86
2021-01-17,iTrade,SEM,5755.61
2021-01-24,iTrade,SEM,5467.76
2021-01-31,iTrade,SEM,10390.57
2021-02-07,iTrade,SEM,9190.57
2021-02-14,iTrade,SEM,7089.07
2021-02-21,iTrade,SEM,7889.82
2021-02-28,iTrade,SEM,8606.01
2021-03-07,iTrade,SEM,9522.66
2021-03-14,iTrade,SEM,9329.66
2021-03-21,iTrade,SEM,9345.82
2021-03-28,iTrade,SEM,10623.48
2021-04-04,iTrade,SEM,11826.64
2021-04-11,iTrade,SEM,11607.45
2021-04-18,iTrade,SEM,11562.82
2021-04-25,iTrade,SEM,11560.44
2021-05-02,iTrade,SEM,10468.88
