#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Oct 10, 2021 - Oct 16, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4218
Windows 10,2039
OS X 10.15,487
Mobile iOS 14.7.1,263
Android 11,238
Mobile iOS 14.8,146


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4218
Google Chrome 94.0,1447
Safari 14.1,400
Chrome Mobile 94.0,398
Microsoft Edge 94.0,309
Safari 14.1.2,179


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4218
None,2934
Apple iPhone,701
Apple iPad,115
Samsung Galaxy S10 (SM-G973W),14
Samsung Galaxy S20 FE 5G (SM-G781W),14


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4218
Canada,2874
United States,410
Mexico,208
Peru,165
India,125
Netherlands,56
Colombia,32
United Kingdom,28
France,23
Pakistan,22
Bahamas,19
Czech Republic,18
Finland,14
Jamaica,14
Ethiopia,12
Germany,11
Bangladesh,11
Nigeria,10
Chile,8
Nepal,8
China,7
Sri Lanka,7
Philippines,7
Dominican Republic,5
Barbados,5
Argentina,5
Switzerland,5
Spain,5
Brazil,5
Trinidad and Tobago,5
Costa Rica,4
Uganda,4
Turkey,4
Ghana,4
Indonesia,4
Sweden,4
South Africa,4
Russian Federation,4
Hong Kong SAR of China,3
Portugal,3
Lithuania,3
Cayman Islands,3
Malaysia,3
Luxembourg,2
United Arab Emirates,2
Greece,2
Italy,2
Serbia,2
Panama,2
Thailand,2


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4218
Ontario (Canada),1511
British Columbia (Canada),418
Alberta (Canada),365
Quebec (Canada),316
Metropolitana De Lima (Peru),128
Ciudad De Mexico (Mexico),104
Nova Scotia (Canada),79
California (United States),60
Virginia (United States),57
New Brunswick (Canada),55
Manitoba (Canada),54
Saskatchewan (Canada),54
Oregon (United States),49
Zuid-Holland (Netherlands),47
New York (United States),37
Texas (United States),34
Mexico (Mexico),29
Distrito Capital (Colombia),29
Maharashtra (India),25
Florida (United States),22
Ile-De-France (France),22
Newfoundland and Labrador (Canada),20
Jalisco (Mexico),19
Praha (Czech Republic),18
Washington (United States),18
New Providence (Bahamas),16
New Jersey (United States),15
Uusimaa (Finland),14
Gujarat (India),13
Tamil Nadu (India),12
La Libertad (Peru),12
Prince Edward Island (Canada),11
Kingston (Jamaica),11
Telangana (India),11
Karnataka (India),10
Iowa (United States),10
Louisiana (United States),10
Lagos (Nigeria),10
Addis Ababa (Ethiopia),10
Delhi (India),10
Michigan (United States),9
Punjab (Pakistan),9
Georgia (United States),9
Noord-Holland (Netherlands),9
